factor_id,mean_training_ic,absolute_mean_training_ic,training_ic_months,selection_rank,selected,direction,weight
029,0.07748522976339217,0.07748522976339217,12,1,True,1,0.06359368672596379
016,-0.07043248180230371,0.07043248180230371,12,2,True,-1,0.057805354604290995
012,0.06291312131240918,0.06291312131240918,12,3,True,1,0.05163406419405258
109,0.057326646135510965,0.057326646135510965,12,4,True,1,0.04704913164126969
030,0.05609632645055926,0.05609632645055926,12,5,True,1,0.046039383527254674
054,0.046314244715117726,0.046314244715117726,12,6,True,1,0.03801103227488036
011,-0.03939561233231916,0.03939561233231916,12,7,True,-1,0.032332771506120676
026,0.03782210299760585,0.03782210299760585,12,8,True,1,0.031041360743092727
102,0.03576920129606652,0.03576920129606652,12,9,True,1,0.029356503021362525
027,0.035507070350448366,0.035507070350448366,12,10,True,1,0.02914136688138173
071,0.03430324175915121,0.03430324175915121,12,11,True,1,0.028153360540812314
039,0.033976334598954945,0.033976334598954945,12,12,True,1,0.027885061258517124
097,-0.0333573854998149,0.0333573854998149,12,13,True,-1,0.027377077282342278
007,0.031424439966773375,0.031424439966773375,12,14,True,1,0.025790670001084287
045,0.029677227649651177,0.029677227649651177,12,15,True,1,0.024356697706259797
049,-0.02913159698726886,0.02913159698726886,12,16,True,-1,0.02390888764597377
053,-0.02677408044421169,0.02677408044421169,12,17,True,-1,0.021974026396310343
078,-0.026143477189162965,0.026143477189162965,12,18,True,-1,0.021456477619951318
041,0.025956073930592502,0.025956073930592502,12,19,True,1,0.021302671995920175
079,0.025462603958719934,0.025462603958719934,12,20,True,1,0.020897671263577243
062,0.02511752743860542,0.02511752743860542,12,21,True,1,0.020614460022110218
014,0.024493721420646652,0.024493721420646652,12,22,True,1,0.02010248987496118
070,0.024427053153430783,0.024427053153430783,12,23,True,1,0.020047773886987277
019,-0.022974057940246307,0.022974057940246307,12,24,True,-1,0.01885527148770765
024,-0.021249973643285902,0.021249973643285902,12,25,True,-1,0.017440280824263125
081,-0.020754860458097903,0.020754860458097903,12,26,True,-1,0.017033931473698055
061,0.020507481757460474,0.020507481757460474,12,27,True,1,0.016830902797922674
092,-0.020352180200716437,0.020352180200716437,12,28,True,-1,0.01670344368632434
002,-0.019781481850800166,0.019781481850800166,12,29,True,-1,0.01623506007062851
099,-0.019685797571897475,0.019685797571897475,12,30,True,-1,0.016156530058189775
021,0.01884593560774615,0.01884593560774615,12,31,True,1,0.015467238449913153
051,-0.0187832725785771,0.0187832725785771,12,32,True,-1,0.0154158096413719
090,0.018766544698147893,0.018766544698147893,12,33,True,1,0.015402080733412891
009,-0.0186902903415645,0.0186902903415645,12,34,True,-1,0.015339497249065462
031,-0.018418654926548844,0.018418654926548844,12,35,True,-1,0.015116560599862364
025,-0.018357461771190735,0.018357461771190735,12,36,True,-1,0.015066338146325091
085,0.01823425313778746,0.01823425313778746,12,37,True,1,0.014965218342479795
008,-0.01799261393456061,0.01799261393456061,12,38,True,-1,0.014766900187682508
100,-0.017875608644145835,0.017875608644145835,12,39,True,-1,0.014670871592211619
093,0.01786490152538392,0.01786490152538392,12,40,True,1,0.014662084044463975
020,0.017422898468229538,0.017422898468229538,12,41,False,1,0.0
058,-0.01709794087283224,0.01709794087283224,12,42,False,-1,0.0
075,-0.017065959930455506,0.017065959930455506,12,43,False,-1,0.0
105,0.017048262846302894,0.017048262846302894,12,44,False,1,0.0
064,-0.016921328836937696,0.016921328836937696,12,45,False,-1,0.0
096,-0.016106986793069804,0.016106986793069804,12,46,False,-1,0.0
055,0.01582258326874824,0.01582258326874824,12,47,False,1,0.0
038,-0.0157840539956598,0.0157840539956598,12,48,False,-1,0.0
072,0.0157000273886681,0.0157000273886681,12,49,False,1,0.0
013,0.01512471113597069,0.01512471113597069,12,50,False,1,0.0
060,0.0148264234739017,0.0148264234739017,12,51,False,1,0.0
056,-0.01462107174712247,0.01462107174712247,12,52,False,-1,0.0
069,0.014517414426616804,0.014517414426616804,12,53,False,1,0.0
103,0.014369180545676694,0.014369180545676694,12,54,False,1,0.0
107,0.014336043688443928,0.014336043688443928,12,55,False,1,0.0
015,0.014072962398512646,0.014072962398512646,12,56,False,1,0.0
083,0.013797114676121595,0.013797114676121595,12,57,False,1,0.0
095,0.01375006354657169,0.01375006354657169,12,58,False,1,0.0
086,-0.013724091188690795,0.013724091188690795,12,59,False,-1,0.0
010,0.013698262057613078,0.013698262057613078,12,60,False,1,0.0
040,0.013615294720862994,0.013615294720862994,12,61,False,1,0.0
034,-0.013339456975389187,0.013339456975389187,12,62,False,-1,0.0
048,0.012774970001813516,0.012774970001813516,12,63,False,1,0.0
076,-0.012381780866080975,0.012381780866080975,12,64,False,-1,0.0
037,-0.01224960190315537,0.01224960190315537,12,65,False,-1,0.0
003,-0.01172929235009527,0.01172929235009527,12,66,False,-1,0.0
084,-0.011345864307550713,0.011345864307550713,12,67,False,-1,0.0
065,-0.01095397027845048,0.01095397027845048,12,68,False,-1,0.0
032,0.01090794767228877,0.01090794767228877,12,69,False,1,0.0
110,0.010323069652775187,0.010323069652775187,12,70,False,1,0.0
063,-0.010199420804393157,0.010199420804393157,12,71,False,-1,0.0
057,0.010068224020013844,0.010068224020013844,12,72,False,1,0.0
001,-0.009775417134660031,0.009775417134660031,12,73,False,-1,0.0
074,-0.009766073341744686,0.009766073341744686,12,74,False,-1,0.0
098,-0.009639424623076391,0.009639424623076391,12,75,False,-1,0.0
036,-0.009441323818772506,0.009441323818772506,12,76,False,-1,0.0
006,0.00885320046817696,0.00885320046817696,6,77,False,1,0.0
043,-0.00872484031153556,0.00872484031153556,12,78,False,-1,0.0
047,0.008194252779616771,0.008194252779616771,12,79,False,1,0.0
106,-0.008189021907042167,0.008189021907042167,12,80,False,-1,0.0
059,-0.007930848375556812,0.007930848375556812,12,81,False,-1,0.0
052,0.007776791787548201,0.007776791787548201,12,82,False,1,0.0
080,-0.007614180345411266,0.007614180345411266,12,83,False,-1,0.0
035,0.007536417766319405,0.007536417766319405,12,84,False,1,0.0
005,-0.007462910638982447,0.007462910638982447,12,85,False,-1,0.0
023,-0.0072185691131007495,0.0072185691131007495,12,86,False,-1,0.0
068,0.006980104873300581,0.006980104873300581,12,87,False,1,0.0
046,-0.0063846623685538595,0.0063846623685538595,12,88,False,-1,0.0
104,-0.006181390880225362,0.006181390880225362,12,89,False,-1,0.0
101,-0.005136253839929958,0.005136253839929958,12,90,False,-1,0.0
094,0.004939105879808141,0.004939105879808141,12,91,False,1,0.0
082,-0.004753752436163487,0.004753752436163487,12,92,False,-1,0.0
091,-0.004464263825826857,0.004464263825826857,12,93,False,-1,0.0
089,-0.004408276930599475,0.004408276930599475,12,94,False,-1,0.0
067,0.003961394274841494,0.003961394274841494,12,95,False,1,0.0
087,-0.0037799885008450956,0.0037799885008450956,12,96,False,-1,0.0
088,-0.0034851137519986697,0.0034851137519986697,12,97,False,-1,0.0
050,0.0031069960074963173,0.0031069960074963173,12,98,False,1,0.0
022,-0.002945625110340499,0.002945625110340499,12,99,False,-1,0.0
077,0.0027021582886340087,0.0027021582886340087,12,100,False,1,0.0
