factor_id,name,rows,finite_rows,finite_fraction
001,Intraday Range Position,305000,305000,1.0
002,EMA Deviation,305000,305000,1.0
003,Vol-VWAP Divergence,305000,295943,0.9703049180327868
004,High-Volume Relative Weakness,305000,304780,0.9992786885245901
005,Range-Position Vol-Volume Cov Reversal,305000,304779,0.9992754098360656
006,VWAP Deviation,305000,305000,1.0
007,Price-Volume Mean Reversal,305000,282398,0.9258950819672132
008,Normalized Money Strength Reversal,305000,305000,1.0
009,Volatility-Filtered Return Reversal,305000,300621,0.9856426229508197
010,Price-Volume Divergence Reversal,305000,305000,1.0
011,Price-VWAP Momentum Overextension,305000,279507,0.9164163934426229
012,Volume-Augmented VWAP Reversal,305000,305000,1.0
013,Illiquidity-Augmented VWAP Reversal,305000,304999,0.9999967213114754
014,Resilience-Momentum Blend Reversal,305000,305000,1.0
015,Volatility-Balanced Momentum Reversal,305000,288171,0.9448229508196722
016,VWAP-Deviation Acceleration Reversal,305000,305000,1.0
017,VWAP-Acceleration Volatility Reversal,305000,305000,1.0
018,Range-Position Volume Regime Reversal,305000,305000,1.0
019,VWAP-Gap Regime Range Reversal,305000,305000,1.0
020,Volume-Price Delta Divergence TsRank,305000,305000,1.0
021,Volume-Shock VWAP-Momentum Reversal,305000,305000,1.0
022,Lower-Shadow Ratio Reversal,305000,304781,0.9992819672131148
023,Normalized-Momentum TsRank Reversal,305000,305000,1.0
024,Open-Close Momentum Divergence,305000,305000,1.0
025,Open-Close Momentum Divergence V2,305000,305000,1.0
026,Price-Volume Covariance Position Long,305000,305000,1.0
027,Open-Volume Covariance Position,305000,305000,1.0
028,Close-Low × Volume Ratio,305000,304931,0.9997737704918033
029,High-Close × Volume Ratio,305000,304931,0.9997737704918033
030,Delta(High-Close)3 × Volume Ratio,305000,288172,0.9448262295081967
031,Price Trend Conditional Strategy,305000,305000,1.0
032,Returns-Volume Delta Divergence,305000,305000,1.0
033,Volume-Range Correlation Shock,305000,291634,0.9561770491803279
034,Price Trend Conditional Momentum V2,305000,305000,1.0
035,High-Low Expansion vs Close Accel,305000,291634,0.9561770491803279
036,Volatility Switch Candle Reversal,305000,304780,0.9992786885245901
037,Price-Volume Momentum Synchrony,305000,305000,1.0
