month,formation_month,gross_return,portfolio_excess_return,benchmark_excess_return,traded_notional,formation_universe,finite_signal_count,n_holdings,n_bought,n_sold,gross_exposure,missing_forward_return_gross_weight,missing_total_return_gross_weight,path_status,net_return
1999-08-31,1999-07-31,0.0,0.0,-0.0107377056419379,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
1999-09-30,1999-08-31,0.0,0.0,-0.0300026803446738,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
1999-10-31,1999-09-30,0.0,0.0,0.0668211859521041,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
1999-11-30,1999-10-31,0.0,0.0,0.0293943433086729,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
1999-12-31,1999-11-30,0.0,0.0,0.0755133274288461,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-01-31,1999-12-31,0.0,0.0,-0.0517736904904565,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-02-29,2000-01-31,0.0,0.0,0.0156964487266137,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-03-31,2000-02-29,0.0,0.0,0.0576486197300692,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-04-30,2000-03-31,0.0,0.0,-0.0582038042342276,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-05-31,2000-04-30,0.0,0.0,-0.0415378476678897,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-06-30,2000-05-31,0.0,0.0,0.0411915948532834,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-07-31,2000-06-30,0.0,0.0,-0.023592198465219,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-08-31,2000-07-31,0.0,0.0,0.070161930929197,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-09-30,2000-08-31,0.0,0.0,-0.0550417949435069,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-10-31,2000-09-30,0.0,0.0,-0.0231850452538787,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-11-30,2000-10-31,0.0,0.0,-0.1037128535805943,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2000-12-31,2000-11-30,0.0,0.0,0.0094801124388953,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-01-31,2000-12-31,0.0,0.0,0.0253329499359869,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-02-28,2001-01-31,0.0,0.0,-0.099534138694381,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-03-31,2001-02-28,0.0,0.0,-0.0724861718923589,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-04-30,2001-03-31,0.0,0.0,0.0778867538312512,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-05-31,2001-04-30,0.0,0.0,0.003117538610991,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-06-30,2001-05-31,0.0,0.0,-0.0244282101617113,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-07-31,2001-06-30,0.0,0.0,-0.0183992629116355,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-08-31,2001-07-31,0.0,0.0,-0.065277943468867,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-09-30,2001-08-31,0.0,0.0,-0.085800763704595,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-10-31,2001-09-30,0.0,0.0,0.0195581417658952,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-11-30,2001-10-31,0.0,0.0,0.0735978870143612,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2001-12-31,2001-11-30,0.0,0.0,0.011486992863829,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-01-31,2001-12-31,0.0,0.0,-0.0139474292308761,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-02-28,2002-01-31,0.0,0.0,-0.0211269317166761,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-03-31,2002-02-28,0.0,0.0,0.0383262724521529,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-04-30,2002-03-31,0.0,0.0,-0.0560968461680117,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-05-31,2002-04-30,0.0,0.0,-0.0104115810566789,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-06-30,2002-05-31,0.0,0.0,-0.0739415913135466,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
2002-07-31,2002-06-30,0.0,0.0,-0.0759766715869197,0.0,1000,0,0,0,0,0.0,0.0,0.0,training_or_validation_cash,0.0
