factor_name,factor_id,finite_rows,rows,finite_fraction
RangeExpansion_CloseNearLow_Intensity_252D,e9940ec4f468f006,304931,305000,0.9997737704918033
SellPressure_ReversalScore_252D_TrendWeak_10D,37942f4394bf0b9a,302114,305000,0.9905377049180328
SellPressure_ContinuationScore_252D_TrendStrong_10D,50044e92e9131efa,302114,305000,0.9905377049180328
ResidualMom_AbsorpGate_20D,db3aeeaea796dedb,301893,305000,0.9898131147540984
Absorption_Imbalance_RangeImpact_20D,a336a9c1821d3b5d,301948,305000,0.9899934426229509
ResidualMom_VolumeConfirm_20D,98b8594377945844,302171,305000,0.9907245901639344
CS_Absorption_Amihud_20D,5eface76df53b54a,301893,305000,0.9898131147540984
Directional_CS_Absorption_Amihud_20D_Drift3,dfa98493afcc72ef,297584,305000,0.9756852459016393
CS_Absorption_RangeImpact_20D,0a7ad5980beb13c8,301948,305000,0.9899934426229509
OvernightShare10_LogAbs,f48ba443ea33b673,302237,305000,0.9909409836065574
GapZ10_Overnight_vs_TR,74ebc12532c67f44,302234,305000,0.9909311475409837
IntradayContinuation10_CLVxVol,d24f6e6eeec984f6,304774,305000,0.9992590163934426
Uptrend_Squeeze_CLV_Composite_120_20_10,65fe23e595726d3c,302228,305000,0.990911475409836
Absorption_DollarVolMinusImpact_Z20,c2736fa5ad34434f,301932,305000,0.9899409836065574
MarketNeutral_ResidualStrength_TSsum20,4f2dbdee30d389bf,304781,305000,0.9992819672131148
TrendSqueeze_CLVRank_120_20_5,a52357c1c916b3d1,302164,305000,0.9907016393442623
Mom120_RangeStdRatio_SignedCLV_5,5170d6447c483cba,302286,305000,0.9911016393442623
DirPressureCount_5_Squeeze20_MomSign120,53f8cd7871efe2b7,302230,305000,0.9909180327868853
RSQR10_TrendContinuation_in_ROC60Decline,7a759fb2f02302b0,302304,305000,0.991160655737705
NoisyDecline_MeanReversion_5D_in_ROC60Decline,d7a123c4d46d3866,302237,305000,0.9909409836065574
RSQR10_x_ROC60DeclineMagnitude,58f1cee9c6a4be13,216358,305000,0.7093704918032787
Capitulation_Gated_Reversal_60D_20D,7bc9eff0d58aabe3,304891,305000,0.9996426229508196
Capitulation_Reversal_Rank_Product_60D_20D,f65342f611e0b1d9,216149,305000,0.7086852459016394
Extreme_Capitulation_CorrZ_Gated_60D_20D_60D,227c92233715f306,304891,305000,0.9996426229508196
Liquidity_Adjusted_ZScore_Reversal,2221355fb0f7f9eb,302295,305000,0.9911311475409836
Exhaustion_Intensity_Index_10D,a0a214687a26d8ba,304999,305000,0.9999967213114754
Relative_Liquidity_Deviation_Factor,0de23799ec5b3622,302295,305000,0.9911311475409836
Gap_CLV_ReversionScore_20D,6e8339ccda3a7a19,302113,305000,0.9905344262295082
Gap_IntradayAcceptanceScore_20D,8e67ad3f518b289e,302177,305000,0.990744262295082
Gap_IntradayAcceptance_VolWeighted_20D,441e15b91a17f8e7,302177,305000,0.990744262295082
Gated_CapitulAbsorb_Reversal_60D20D,85faf87d76e2e8b5,304168,305000,0.997272131147541
Gated_CapitulAbsorb_Reversal_50D15D,59095c0a8f49965f,304633,305000,0.9987967213114755
Absorption_ActivityMinusImpact_20D,b81df10d70b68c06,301893,305000,0.9898131147540984
TrendSNR40_LowVol5_VolDisp60,abd7b2dd10a54530,304998,305000,0.9999934426229509
Loser60_DownSNR10_AntiCrash5,6d6e9abc6b1bd3a8,303043,305000,0.9935836065573771
DualSleeve_CompositeSNR_40_10_5_60,45c2bffb3fcf1c40,302173,305000,0.9907311475409836
WickImbalance_ShockReversal_60D_025,b0b14bf53d045fac,305000,305000,1.0
CLV_ShockReversal_TSRank_60D_030,ec89ab7a53481bfe,305000,305000,1.0
WickImbalance_x_WickShare_Shock_40D_035,71c172682d32992b,305000,305000,1.0
Drawdown_Divergence_Product_60D_20D,7450182cf2b9d13a,299769,305000,0.9828491803278688
Drawdown_Gated_NegCorr_60D_20D_thr20pct,4a558c67f0eb097e,304902,305000,0.9996786885245902
NegCorr_plus_Drawdown_60D_20D,2a98d5f5871162fd,299769,305000,0.9828491803278688
RejectionVolAbsorption_Weighted_5_20,d9eb0bdb92752e5b,299608,305000,0.9823213114754098
RejectionVol_GatedByAbsorptionTop60_5_20,c5a1bfe5a51ef5d5,304394,305000,0.9980131147540984
RejectionPlusVolSlopePlusAbsorption_5_20,218e5deca3fbe3f5,297480,305000,0.975344262295082
TrendFit_R2_10D,5d631fc0bfc91ec4,284314,305000,0.9321770491803278
KineticLength_AbsRetSum_Z_10D,d085c5c0e240af22,304781,305000,0.9992819672131148
Capitulation_Composite_Z_60_20_5,ebec82a80eb5cc40,299715,305000,0.9826721311475409
