table,method,ticker,metric,paper_value,result_kind,exact_native_agent_pipeline_regeneration,paper_result_credit
Performance comparison across all methods,B&H,AAPL,CR,2.66,baseline_result,False,False
Performance comparison across all methods,B&H,AAPL,AR,4.07,baseline_result,False,False
Performance comparison across all methods,B&H,AAPL,SR,0.56,baseline_result,False,False
Performance comparison across all methods,B&H,AAPL,MDD,7.33,baseline_result,False,False
Performance comparison across all methods,B&H,GOOGL,CR,4.19,baseline_result,False,False
Performance comparison across all methods,B&H,GOOGL,AR,6.42,baseline_result,False,False
Performance comparison across all methods,B&H,GOOGL,SR,1.05,baseline_result,False,False
Performance comparison across all methods,B&H,GOOGL,MDD,6.41,baseline_result,False,False
Performance comparison across all methods,B&H,TSLA,CR,6.10,baseline_result,False,False
Performance comparison across all methods,B&H,TSLA,AR,9.41,baseline_result,False,False
Performance comparison across all methods,B&H,TSLA,SR,0.52,baseline_result,False,False
Performance comparison across all methods,B&H,TSLA,MDD,16.89,baseline_result,False,False
Performance comparison across all methods,MACD,AAPL,CR,-1.87,baseline_result,False,False
Performance comparison across all methods,MACD,AAPL,AR,-2.83,baseline_result,False,False
Performance comparison across all methods,MACD,AAPL,SR,-0.59,baseline_result,False,False
Performance comparison across all methods,MACD,AAPL,MDD,4.79,baseline_result,False,False
Performance comparison across all methods,MACD,GOOGL,CR,2.67,baseline_result,False,False
Performance comparison across all methods,MACD,GOOGL,AR,4.09,baseline_result,False,False
Performance comparison across all methods,MACD,GOOGL,SR,0.83,baseline_result,False,False
Performance comparison across all methods,MACD,GOOGL,MDD,4.11,baseline_result,False,False
Performance comparison across all methods,MACD,TSLA,CR,7.36,baseline_result,False,False
Performance comparison across all methods,MACD,TSLA,AR,11.38,baseline_result,False,False
Performance comparison across all methods,MACD,TSLA,SR,0.88,baseline_result,False,False
Performance comparison across all methods,MACD,TSLA,MDD,10.69,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,AAPL,CR,2.92,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,AAPL,AR,4.46,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,AAPL,SR,1.24,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,AAPL,MDD,1.78,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,GOOGL,CR,0.98,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,GOOGL,AR,1.49,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,GOOGL,SR,0.60,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,GOOGL,MDD,1.28,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,TSLA,CR,8.65,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,TSLA,AR,13.43,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,TSLA,SR,1.13,baseline_result,False,False
Performance comparison across all methods,KDJ+RSI,TSLA,MDD,6.37,baseline_result,False,False
Performance comparison across all methods,ZMR,AAPL,CR,2.50,baseline_result,False,False
Performance comparison across all methods,ZMR,AAPL,AR,3.83,baseline_result,False,False
Performance comparison across all methods,ZMR,AAPL,SR,0.64,baseline_result,False,False
Performance comparison across all methods,ZMR,AAPL,MDD,5.46,baseline_result,False,False
Performance comparison across all methods,ZMR,GOOGL,CR,-0.62,baseline_result,False,False
Performance comparison across all methods,ZMR,GOOGL,AR,-0.94,baseline_result,False,False
Performance comparison across all methods,ZMR,GOOGL,SR,-0.22,baseline_result,False,False
Performance comparison across all methods,ZMR,GOOGL,MDD,4.69,baseline_result,False,False
Performance comparison across all methods,ZMR,TSLA,CR,3.61,baseline_result,False,False
Performance comparison across all methods,ZMR,TSLA,AR,5.53,baseline_result,False,False
Performance comparison across all methods,ZMR,TSLA,SR,0.41,baseline_result,False,False
Performance comparison across all methods,ZMR,TSLA,MDD,15.60,baseline_result,False,False
Performance comparison across all methods,SMA,AAPL,CR,-3.73,baseline_result,False,False
Performance comparison across all methods,SMA,AAPL,AR,-5.60,baseline_result,False,False
Performance comparison across all methods,SMA,AAPL,SR,-1.03,baseline_result,False,False
Performance comparison across all methods,SMA,AAPL,MDD,7.57,baseline_result,False,False
Performance comparison across all methods,SMA,GOOGL,CR,8.23,baseline_result,False,False
Performance comparison across all methods,SMA,GOOGL,AR,12.76,baseline_result,False,False
Performance comparison across all methods,SMA,GOOGL,SR,2.90,baseline_result,False,False
Performance comparison across all methods,SMA,GOOGL,MDD,1.32,baseline_result,False,False
Performance comparison across all methods,SMA,TSLA,CR,6.31,baseline_result,False,False
Performance comparison across all methods,SMA,TSLA,AR,9.73,baseline_result,False,False
Performance comparison across all methods,SMA,TSLA,SR,0.68,baseline_result,False,False
Performance comparison across all methods,SMA,TSLA,MDD,11.43,baseline_result,False,False
Performance comparison across all methods,P1GPT,AAPL,CR,16.16,native_p1gpt_result,False,False
