source_path,bytes,sha256,source_kind,paper_agent_or_backtest_result_generator,paper_result_array,paper_result_credit
.env,78,7971bf61e3b11a0e6fcbd037f24cea3c8b78d30faeaa79970d3950aacc03be32,documentation_or_asset,False,False,False
.gitignore,269,753cf649132fe657ea5d29a59b3359963e592c7c976e15ea33a467d26e421cc7,documentation_or_asset,False,False,False
Dockerfile,613,23dba2086aff3607ef5920b68fa57be33dba8d5de5113af11cde2a51d97aae61,runner_or_deployment,False,False,False
Dockerfile.test,435,fd618bc72138675c2f4b31290440b8da1f303ad12efa80441ac7950f5f1cdec8,documentation_or_asset,False,False,False
LICENSE,1071,3ac77e0f1a3eaf6089b3a64005f947ddf770ed084ac42a627c3f56143854116d,documentation_or_asset,False,False,False
README.md,1500,03019a13bc21cd808cca7f7e2a55879e3e194f8b6fbd74ac405fc2ce40419d67,documentation_or_asset,False,False,False
assets/favicon.ico,4286,c0ff49476f6d96243a5357dfa57af062bcac03337268ed0de8d8b2c8b134d101,documentation_or_asset,False,False,False
assets/logo.svg,3387,b196bd03ba566dd8e01c3dda5b08a255f707455ffcb124721fddb825a8f4ac69,documentation_or_asset,False,False,False
assets/logo_white.svg,654,5e60563213ab9513da58e650cb0f9625d5869f912060c9129f04d787b72b68df,documentation_or_asset,False,False,False
compose.yaml,479,4be9e75a5aed8b7f52de147400412f86e797e4788c535e2b554affc9816eea84,runner_or_deployment,False,False,False
deployment.yaml,692,8321fb7683ac68f44d67148aa9cd17d9ebb176c230e7fcf022b93e17c1837c65,runner_or_deployment,False,False,False
nginx.conf,1273,c8ca2af78fedef5de73a7dbe83a59f0a026a96ea2bc6ceb9e10df6dfc7768352,configuration,False,False,False
p1gpt/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,python,False,False,False
p1gpt/components/__init__.py,66,8226c2b60d8bebfd43caa314582e25c5d3a2500ea23b73226e80155415d6e411,python,False,False,False
p1gpt/components/chat.py,13350,4f5485421ea550b31e578ae50f2cb029166b4acbdbb7b1f555737b138f2f1acf,python,False,False,False
p1gpt/components/loading_icon.py,481,daf0a9bba79fb69161b36b9d5dbca7836c22ec71f3c1dd702347dde526899770,python,False,False,False
p1gpt/components/modal.py,1136,ab582c421177d295ae0948cd8243b1d987eb36aeaa29b102009b37bc139cddf5,python,False,False,False
p1gpt/components/navbar.py,1982,bc9e4eac9e1b5d917d93469b423c378f9b36f23b8a5f741a39da7d1e7e821c78,python,False,False,False
p1gpt/components/sidebar.py,4948,62b8bba20908f6b4c363e5984beb1df94559d2b13bfcb0c368c40ebe20cceda5,python,False,False,False
p1gpt/db_model.py,1931,72708ad23946c77b92c6fdb5ff15a0207b9183ae6e43d98015556b8aa356c7db,python,False,False,False
p1gpt/layouts/__init__.py,55,d000ec9368660799931315d8ce9541ada56f6d8a4acf3e52dec3ae3cbd11a776,python,False,False,False
p1gpt/layouts/auth.py,1614,9c5206a365c08008589f730c140b6bc0660a0498451f0f10327c573bebeab1c1,python,False,False,False
p1gpt/p1gpt.py,403,75f78ecdfb2a47ff38f7de93c6088b9c155d906c99b46e53a43c42e7f2ba2206,python,False,False,False
p1gpt/pages/__init__.py,95,ab1995772fdfc000a278ebc1ab7abecdd31aff4520c3f0cc432e9060b0077b5a,python,False,False,False
p1gpt/pages/gpt.py,934,4c6d16180e48baec4819a8cd08be56fb376a93fb2dad3e62ae163ddbe4b3c2ab,python,False,False,False
p1gpt/pages/login.py,1428,f3c07573f4b03d0369106817400c729a25673fe41631a316f3afa9b284c8fddc,python,False,False,False
p1gpt/pages/signup.py,3428,f08f54a9fdbbca14e5481655f91612187422b051103ab7fe22ed94e4bd385401,python,False,False,False
p1gpt/schema.sql,2626,56fb4f1e5061bcd69f08fea5d93d8fbd8fabe952914d569a7d59aec6234179f8,documentation_or_asset,False,False,False
p1gpt/state/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,python,False,False,False
p1gpt/state/auth.py,2685,0a08d520cd76b1b048c7f1d94843e2d233dd7f28c73a9e633c81930c794a73f1,python,False,False,False
p1gpt/state/base.py,540,a035dad8e24f4bb8071333864bf8fb6ecf5f45da18c665baa1530b27308adb45,python,False,False,False
p1gpt/state/gpt.py,22356,ba069648beb0c1b0def9ab00d65daae9a00f552ccbdab7f07a0832ba4a26fe2d,python,False,False,False
p1gpt/utils/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,python,False,False,False
p1gpt/utils/process_img.py,3730,783efa218348b0fe1a3b25bd08495390e359349c695584bf02c66c3f353adf7b,python,False,False,False
requirements.txt,3591,f744c83cc391950272edaee1525164aa80c1c31b8717aa50b94f7bb62b60d87e,environment,False,False,False
rxconfig.py,369,18701163c5cbb0fef68a4f1fa4de0bdee5f61ee4b81747ffdce8a8074f61570d,python,False,False,False
service.yaml,603,1de77e399f61c0b8ef0ac300f807c8ecf4a6c6bfa53bf62997527dc671405110,configuration,False,False,False
web.Dockerfile,540,e713f286fda3ce35046dee8ca93a895fa3bed2fb93e5c0d3c600c960eb0b92bb,documentation_or_asset,False,False,False
