iteration,node_id,parent_id,depth,price_weight,factor_weight,news_weight,training_mean_rankic,counterfactual_finalist,selected_final,validation_rankic,prediction_consistency,confidence_invariance,input_dependency_score,counterfactual_objective
1,0,-1,0,0.333333333333,0.333333333333,0.333333333333,0.015009321219688279,False,False,,,,,
2,1,0,1,0.266666666667,0.466666666667,0.266666666667,0.018775846279061207,False,False,,,,,
3,2,0,1,0.444444444445,0.111111111111,0.444444444445,0.007191671549417491,False,False,,,,,
4,3,0,1,0.444444444445,0.444444444445,0.111111111111,0.01526666978354752,False,False,,,,,
5,4,0,1,0.466666666667,0.266666666667,0.266666666667,0.010938705895945658,False,False,,,,,
6,5,0,1,0.111111111111,0.444444444445,0.444444444445,0.01918153714428376,False,False,,,,,
7,6,0,1,0.266666666667,0.266666666667,0.466666666667,0.013507965200917002,False,False,,,,,
8,7,5,2,-0.135135135135,0.432432432432,0.432432432432,0.020299741696142026,False,False,,,,,
9,8,1,2,0.413333333333,0.373333333333,0.213333333333,0.01450128334306267,False,False,,,,,
10,9,3,2,0.355555555556,0.355555555556,0.288888888889,0.015154175665607216,False,False,,,,,
11,10,6,2,0.355555555556,0.355555555556,0.288888888889,0.015154175665607216,False,False,,,,,
12,11,4,2,0.622222222222,0.355555555556,0.022222222223,0.010416718736808148,False,False,,,,,
13,12,2,2,0.25925925926,0.148148148148,0.592592592593,0.010105379430110424,False,False,,,,,
14,13,5,2,0.148148148148,0.592592592593,0.25925925926,0.02151840875928135,True,False,0.018921624961997306,0.6609035040168907,0.7760567961776562,0.2841254498089619,0.007393276458141456
15,14,1,2,0.022222222223,0.622222222222,0.355555555556,0.021984257946604746,True,False,0.016671601178106316,0.6910558033545924,0.7979565427327864,0.2859666388718448,0.004641144105950977
16,15,3,2,0.555555555556,0.355555555556,0.088888888889,0.011505026094650407,False,False,,,,,
17,16,6,2,0.022222222223,0.355555555556,0.622222222222,0.016367237552729504,False,False,,,,,
18,17,4,2,0.573333333333,0.213333333333,0.213333333333,0.00796738917061218,False,False,,,,,
19,18,2,2,0.432432432432,-0.135135135135,0.432432432432,-0.0002505560849220146,False,False,,,,,
20,19,5,2,0.088888888889,0.355555555556,0.555555555556,0.01667670826158427,False,False,,,,,
21,20,1,2,0.355555555556,0.622222222222,0.022222222223,0.01879093839199194,False,False,,,,,
22,21,6,2,0.355555555556,0.022222222223,0.622222222222,0.006070014615280517,False,False,,,,,
23,22,3,2,0.355555555556,0.555555555556,0.088888888889,0.018327954833697094,False,False,,,,,
24,23,4,2,0.288888888889,0.355555555556,0.355555555556,0.01608178736097399,False,False,,,,,
25,24,2,2,0.592592592593,0.148148148148,0.25925925926,0.006177960783989433,False,False,,,,,
26,25,5,2,0.288888888889,0.355555555556,0.355555555556,0.01608178736097399,False,False,,,,,
27,26,1,2,0.213333333333,0.573333333333,0.213333333333,0.020781060213883984,False,False,,,,,
28,27,3,2,0.25925925926,0.592592592593,0.148148148148,0.020305013909968295,False,False,,,,,
29,28,6,2,0.213333333333,0.213333333333,0.573333333333,0.012207701147475903,False,False,,,,,
30,29,4,2,0.622222222222,0.022222222223,0.355555555556,0.0031104302001978175,False,False,,,,,
31,30,2,2,0.555555555556,0.088888888889,0.355555555556,0.005194834302551565,False,False,,,,,
32,31,1,2,0.213333333333,0.373333333333,0.413333333333,0.0170080714739851,False,False,,,,,
