step,seed_alpha,best_offspring,best_reward,mean_group_reward,group_reward_std,elite_pool_size,sampling_entropy,nonzero_feature_logits,nonzero_operator_logits
41,pair_product__ret_1_0__ret_3_1,pair_difference__ret_1_0__gp_at,0.6650156577315787,0.516026490128172,0.09223361047236826,20,3.837713341420273,12,4
42,pair_product__be_me__niq_su,pair_difference__ret_3_1__niq_su,0.6343257079777851,0.5676438942845834,0.0647032057738965,20,3.8631732559341856,12,4
43,pair_product__ret_6_1__beta_60m,pair_product__ret_1_0__ret_6_1,0.6258333333333332,0.5544525144742299,0.0665060210473069,20,3.8384313089751796,12,4
44,pair_product__ret_6_1__turnover_126d,pair_product__ret_6_1__rvol_21d,0.7107887044513413,0.5689940415780605,0.11876993222919169,20,3.845661078454187,12,4
45,pair_product__ret_6_1__turnover_126d,pair_product__ret_6_1__gp_at,0.5583333333333333,0.5009618115147392,0.03599559226449195,20,3.847070013021904,12,4
46,pair_product__z_score__niq_su,pair_product__ret_12_1__z_score,0.7205208045468458,0.5327165708097099,0.14272580549491962,20,3.7714419703462974,12,4
47,pair_product__ret_6_1__turnover_126d,pair_product__ret_6_1__rvol_21d,0.6499999999999999,0.5772227612905437,0.06317100754114491,20,3.7287113600418915,12,4
48,pair_difference__ret_6_1__z_score,pair_product__gp_at__z_score,0.7233333333333333,0.6178274124904974,0.097587750710004,20,3.727209040404569,12,4
49,pair_product__z_score__niq_su,pair_difference__rvol_21d__niq_su,0.6707539419975145,0.5541637278656032,0.07082777250239089,20,3.7259253690829746,12,4
50,pair_difference__ret_6_1__z_score,pair_product__ret_6_1__rvol_21d,0.725,0.5366557055429988,0.13142876906981296,20,3.813003206710669,12,4
51,pair_product__ret_6_1__gp_at,pair_difference__ret_12_1__gp_at,0.6953185834122786,0.5752789599917218,0.10220479284553106,20,3.7381389285416255,12,4
52,pair_product__ret_6_1__beta_60m,pair_difference__rvol_21d__beta_60m,0.836719571722139,0.5963336124656295,0.15072861386403205,20,3.7717598570754207,12,4
53,pair_product__gp_at__ocf_at,pair_difference__ocf_at__rvol_21d,0.6540787047900567,0.5678928777592804,0.06212317298448967,20,3.7984385593901684,12,4
54,pair_product__ret_1_0__ret_3_1,pair_difference__ret_1_0__ret_6_1,0.6218553136705974,0.5745316325908493,0.03689180368586089,20,3.8821936526362992,12,4
