display_cell_id,v1_value,v2_value,v3_value,status,native_reproduced,paper_result_credit
Appendix Table 7 panel 1/AAPL/B&H/ARR_pct,13.0024,13.0024,13.0024,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/B&H/MDD_pct,14.7809,14.7809,14.7809,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/B&H/SR,0.5998,0.5998,0.5998,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/DQN/ARR_pct,7.9236,7.9236,7.9236,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/DQN/MDD_pct,14.8785,14.8785,14.8785,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/DQN/SR,0.4010,0.4010,0.401,display_precision_only_change_in_v3,False,False
Appendix Table 7 panel 1/AAPL/FinAgent/ARR_pct,31.8972,31.8972,31.8972,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinAgent/MDD_pct,2.9424,2.9424,10.4032,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/AAPL/FinAgent/SR,1.4326,1.4326,1.4326,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinGPT/ARR_pct,-5.4632,-5.4632,-5.4632,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinGPT/MDD_pct,16.2268,16.2268,16.2268,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinGPT/SR,-0.1731,-0.1731,-0.1731,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinMem/ARR_pct,23.7809,23.7809,23.7809,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinMem/MDD_pct,10.3872,10.3872,10.3872,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/FinMem/SR,1.1073,1.1073,1.1073,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/Improvement/ARR_pct,35.8464,35.8464,35.8464,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/Improvement/MDD_pct,7.9217,7.9217,,removed_in_v3,False,False
Appendix Table 7 panel 1/AAPL/Improvement/SR,35.3481,35.3481,3.3791,numeric_value_revised_in_v3,False,False
Appendix Table 7 panel 1/AAPL/KDJ&RSI/ARR_pct,2.1737,2.1737,2.1737,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/KDJ&RSI/MDD_pct,11.8789,11.8789,11.8789,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/KDJ&RSI/SR,0.1746,0.1746,0.1746,unchanged_v1_through_v3,False,False
Appendix Table 7 panel 1/AAPL/LGBM/ARR_pct,,,16.9268,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/LGBM/MDD_pct,,,2.5204,added_in_v3,False,False
Appendix Table 7 panel 1/AAPL/LGBM/SR,,,1.4708,added_in_v3,False,False
