config,reference,issue
configs/downloader/news/fmp_news_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/news/fmp_news_exp_cryptos.py,configs/_stock_list_/exp_cryptos.txt,nonexistent_stock_list_directory
configs/downloader/news/fmp_news_exp_forexs.py,configs/_stock_list_/exp_forexs.txt,nonexistent_stock_list_directory
configs/downloader/news/fmp_news_exp_stocks.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/news/polygon_news_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/news/polygon_news_exp.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/news/yahoofinance_news_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/news/yahoofinance_news_exp.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/prices/fmp_day_prices_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/prices/fmp_day_prices_exp_cryptos.py,configs/_stock_list_/exp_cryptos.txt,nonexistent_stock_list_directory
configs/downloader/prices/fmp_day_prices_exp_forexs.py,configs/_stock_list_/exp_forexs.txt,nonexistent_stock_list_directory
configs/downloader/prices/fmp_day_prices_exp_stocks.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/prices/fmp_day_prices_sp500.py,configs/_stock_list_/sp500.txt,nonexistent_stock_list_directory
configs/downloader/prices/polygon_day_prices_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/prices/yahoofinance_day_prices_dj30.py,configs/_stock_list_/dj30.txt,nonexistent_stock_list_directory
configs/downloader/tools/fmp_economic_exp.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/tools/fmp_sentiment_exp.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/downloader/tools/rapidapi_seekingalpha_analysis_exp.py,configs/_stock_list_/exp_stocks.txt,nonexistent_stock_list_directory
configs/exp/trading_only_strategy_with_record/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AAPL_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/past_market_intelligence_summary.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/low_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/high_level_reflection.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/AMZN_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/decision.html,missing_training_prompt_template
configs/exp/trading_only_strategy_with_record/ETHUSD_only_strategy.py,res/prompts/template/train/strategy_trading_with_plot/latest_market_intelligence_summary.html,missing_training_prompt_template
