paper_version,submitted_at,pdf_sha256,pdf_bytes,pdf_pages,source_archive_sha256,source_archive_bytes,source_files,source_uncompressed_bytes,source_tree_digest,numeric_table_cells,figure_display_units,result_figure_assets_byte_identical_to_v3,table_values_same_as_previous_version,table_cell_ids_common_with_v3,numeric_values_changed_relative_to_v3,display_precision_only_changes_relative_to_v3,cell_ids_added_in_v3,cell_ids_removed_in_v3,public_repository_commits_at_submission,latest_public_commit_at_submission,public_source_available_at_submission,native_result_reproduced,paper_result_credit
v1,2024-02-28T17:06:54Z,6e64f3b3f280692d3f7f859a73ce77cab202adc1f462c860c5c9c12caaf6aea9,15107289,46,38ac98bb92a13a001e675457cbca7a60655879620bc3564519b235b190ede536,14344252,97,20246006,b4c0564cca650a93473074a2d9cb8526832b8cf6335b1424760d8d0a318227f1,768,102,True,,761,27,55,198,7,0,,False,False,False
v2,2024-02-29T12:49:03Z,4cb339d279076a4a546f8cb213b73036a910ba1532c592fd42276a4add63d603,15107276,46,36f87c7fb7bf693556355ded569fd2123ec3cac67205976379d51a0450e7ace8,14344177,97,20246006,230e309810a4df56e7c100accb8c8eb00e2bcd9f4d35c94b7bdb2af11f040c43,768,102,True,True,761,27,55,198,7,0,,False,False,False
v3,2024-06-28T10:35:56Z,c5964450c7dd29c00cc92cbc845cd14223d08f04429f6b4b0c612c8678b69922,15364998,43,421e432111f5543c9f7c1ba1a2b65d1d8b3ba686ad5f02c937b0d60561eaf1a7,14723655,99,20750696,04e1e10fa5e5e9024751ad79367749237ef20bde4a47c27bd12f74cf404a44d4,959,102,True,False,959,0,0,0,0,6,08fb217d374b6c923b0ab3e6dbd8213e1d0fcf1c,True,False,False
