path,extension,historical_blob_versions,first_reachable_commit,first_reachable_committed_at,last_reachable_commit,last_reachable_committed_at,strategy_record_path,native_agent_result_path,classification,paper_result_credit
.gitignore,,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,source_documentation_or_nonresult_asset,False
LICENSE,,2,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,source_documentation_or_nonresult_asset,False
README.md,.md,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,source_documentation_or_nonresult_asset,False
configs/_asset_list_/dj30.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/exp_cryptos.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/exp_forexs.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/exp_stocks.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/nasdaq100.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/russell1k.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/sp500.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/us_stock20k.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/_asset_list_/us_stock3k.txt,.txt,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/fmp_news_dj30.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/fmp_news_exp_cryptos.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/fmp_news_exp_forexs.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/fmp_news_exp_stocks.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/polygon_news_dj30.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/polygon_news_exp.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/yahoofinance_news_dj30.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
configs/downloader/news/yahoofinance_news_exp.py,.py,1,408327fb60bc7c0f5ce415d4eb92cd0604c03b4d,2024-04-06T04:56:59+08:00,17248a0b8b729ee3e093e30bb7bea7f52181f363,2024-08-31T20:13:54+02:00,False,False,experiment_configuration_without_native_results,False
