asset,metric,paper_value,current_response_value,display_match,response_file,response_sha256,raw_response_observations,validation_price_observations,recorded_return_observations,validation_first_date,validation_last_date,response_retrieved_date,paper_source_price_vendor,current_response_vendor,source_method_replayed,paper_time_input_lineage,author_baseline_result_credit,finagent_result_credit,status
AAPL,ARR_pct,13.0024,13.078840195312441,False,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
AAPL,SR,0.5998,0.5999773126535339,False,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
AAPL,MDD_pct,14.7809,14.859673914518032,False,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
AAPL,SOR,16.5846,16.589292879857727,False,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
AAPL,CR,0.9589,0.9599619204172649,False,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
AAPL,VOL,0.0114,0.011438961104285925,True,yahoo_aapl_20220601_20240102.json,387e42e056b5031ea8d29e30788ab80fdb7f7e6455add9859125babc280ee92c,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,ARR_pct,42.3337,42.333707960422984,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,SR,1.0834,1.0833502541905653,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,MDD_pct,17.3848,17.384846895753522,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,SOR,35.1804,35.18037514104392,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,CR,2.4319,2.4319130513136056,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
AMZN,VOL,0.0188,0.018776219376144477,True,yahoo_amzn_20220601_20240102.json,4e5e40eba37c88434eff25745ecb41e91ba9b0a9b70061932fb52b19f9689641,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_display_match_no_paper_time_input
GOOGL,ARR_pct,22.4726,22.553504241943287,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
GOOGL,SR,0.7108,0.7110904375266875,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
GOOGL,MDD_pct,12.9705,13.01167777628916,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
GOOGL,SOR,18.5186,18.5293219212576,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
GOOGL,CR,1.9025,1.903884816795804,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
GOOGL,VOL,0.0167,0.016761282982222597,False,yahoo_googl_20220601_20240102.json,d23a28688050bf7bb20f16ab140ef0c00ca5576ff7df2741881ae537c3f88eae,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
MSFT,ARR_pct,22.4942,22.02655084402897,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
MSFT,SR,0.8373,0.83629801069925,False,yahoo_msft_20220601_20240102.json,2cb1fb1ca26654c7dcd384de2ced8a123da17e55fb23b36d9aa0d30dbe123695,398,147,147,2023-06-01,2023-12-29,2026-08-26,Financial Modeling Prep,Yahoo,True,False,False,False,source_method_current_response_mismatch
