asset,method,strategy_index,variant,record_path,record_sha256,paper_metric,paper_value,released_record_value_at_paper_unit,released_record_display_value,display_precision_match,absolute_difference,status,paper_result_credit
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,ARR_pct,13.0024,19.565721900000142,19.5657,False,6.563321900000142,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,SR,0.5998,0.733756201483223,0.7338,False,0.13395620148322296,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,MDD_pct,14.7809,27.982531278374907,27.9825,False,13.201631278374906,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,SOR,16.5846,18.56919150867208,18.5692,False,1.9845915086720822,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,CR,0.9589,0.807667816025552,0.8077,False,0.15123218397444793,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,default,res/strategy_record/trading/AAPL/0/exp001/default/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,VOL,0.0114,0.01940294801650576,0.0194,False,0.008002948016505758,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,trained,res/strategy_record/trading/AAPL/0/exp001/trained/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,ARR_pct,13.0024,19.565721900000142,19.5657,False,6.563321900000142,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,trained,res/strategy_record/trading/AAPL/0/exp001/trained/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,SR,0.5998,0.733756201483223,0.7338,False,0.13395620148322296,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,trained,res/strategy_record/trading/AAPL/0/exp001/trained/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,MDD_pct,14.7809,27.982531278374907,27.9825,False,13.201631278374906,released_rule_record_does_not_match_appendix_table,False
AAPL,B&H,0,trained,res/strategy_record/trading/AAPL/0/exp001/trained/best_result.json,dc791d6778690e0f019ed78eaa7dbe652d15c3a7816f5c1a474480905b7f0727,SOR,16.5846,18.56919150867208,18.5692,False,1.9845915086720822,released_rule_record_does_not_match_appendix_table,False
