figure,v1_sha256,v2_sha256,relationship,role,underlying_numeric_data_released,independent_reproduction
ablation_nk.png,7385933c0f9289681e3e3f9626d6a38478fe4f32a2dc765ea0403239b1426834,abcb61477de00671e58d9bbc49c40314ef49b48eb6ee1fd19be5028d00856d8d,changed,empirical_result_figure,no,no
compare_mve.png,d643daf841dff5d414e911469755fa53076d82c5ca8ba1a50c021cb830e908c1,d643daf841dff5d414e911469755fa53076d82c5ca8ba1a50c021cb830e908c1,byte_identical,method_or_data_description,no,no
deciles.png,bd7409357ff55f5881705d7886a579b365d24c2e49ae80dacb4a3599d211a24a,bd7409357ff55f5881705d7886a579b365d24c2e49ae80dacb4a3599d211a24a,byte_identical,empirical_result_figure,no,no
econ_preds.png,5927f6a39579b60790498d659d94409ea82ba117c5a57c86007a0c725672eb7b,5927f6a39579b60790498d659d94409ea82ba117c5a57c86007a0c725672eb7b,byte_identical,empirical_result_figure,no,no
f1.drawio.png,76add2417aebd274b302fdaa5f299c7accb1b8bcc0a62beb675f5eca78328e7f,76add2417aebd274b302fdaa5f299c7accb1b8bcc0a62beb675f5eca78328e7f,byte_identical,method_or_data_description,no,no
f2.drawio.png,a9573e97bbd5a7313ba663aa09b7a2e95feacbfedf4e38b6b53e06f1d469cac3,a9573e97bbd5a7313ba663aa09b7a2e95feacbfedf4e38b6b53e06f1d469cac3,byte_identical,method_or_data_description,no,no
f3.png,e5c97efc789aa81b2775303c8e87f93ecd9ae4266bad40238f52873ca3705192,e5c97efc789aa81b2775303c8e87f93ecd9ae4266bad40238f52873ca3705192,byte_identical,method_or_data_description,no,no
method.png,eabd5fe057a0af8533a5ee57e4068d7a28a31e4737c3c4f6147d935ac612a73a,eabd5fe057a0af8533a5ee57e4068d7a28a31e4737c3c4f6147d935ac612a73a,byte_identical,method_or_data_description,no,no
mkt_rf_m.png,303960322f1fba6d5ca21db4994e0cfcf9cae2861afd58e91b05aabbfb3cec0c,303960322f1fba6d5ca21db4994e0cfcf9cae2861afd58e91b05aabbfb3cec0c,byte_identical,method_or_data_description,no,no
neg_titles.png,a47e0cd26aea73ee9c0baf7b2eb37379ab3b06fbc083499959101a97276a37e2,a47e0cd26aea73ee9c0baf7b2eb37379ab3b06fbc083499959101a97276a37e2,byte_identical,method_or_data_description,no,no
num_news_permnos.png,cf84af2720928f835a7776d675665d57c40c9bff972d2306fbd159c4886e41bc,cf84af2720928f835a7776d675665d57c40c9bff972d2306fbd159c4886e41bc,byte_identical,method_or_data_description,no,no
pos_titles.png,eab381d67232e7f577cf5d9232a3e5dc40ed8783d726e90cd1230b0d57361e9b,eab381d67232e7f577cf5d9232a3e5dc40ed8783d726e90cd1230b0d57361e9b,byte_identical,method_or_data_description,no,no
seasons_kws.png,39d3a3ac05df7039e7c8cfd1af1856ac2c679e6a1124fcaf8dfc65cd20bb924d,39d3a3ac05df7039e7c8cfd1af1856ac2c679e6a1124fcaf8dfc65cd20bb924d,byte_identical,method_or_data_description,no,no
tickers.png,8e62f3d50de49e2532c65957e0d12949c54b566eb3397d28072281b0d9cccf87,8e62f3d50de49e2532c65957e0d12949c54b566eb3397d28072281b0d9cccf87,byte_identical,method_or_data_description,no,no
tickers_preds.png,d3d9152651e42594e4e27c712bdcaa88d9c1b60b66f8d688ec165b05d93d0256,d3d9152651e42594e4e27c712bdcaa88d9c1b60b66f8d688ec165b05d93d0256,byte_identical,empirical_result_figure,no,no
topics.png,665d0102b60c56a948fc16eab9f44cd8028a36ee61c9b70e789e707f58904473,665d0102b60c56a948fc16eab9f44cd8028a36ee61c9b70e789e707f58904473,byte_identical,method_or_data_description,no,no
