version,table,row_number,method,metric,displayed_value,author_output_available,independent_end_to_end_reproduction,credit_boundary
v1,table:sr,1,NN,SR_TP,3.82,no,no,paper_display_only_no_result_credit
v1,table:sr,1,NN,SR_EW,2.83,no,no,paper_display_only_no_result_credit
v1,table:sr,1,NN,SR_VW,2.36,no,no,paper_display_only_no_result_credit
v1,table:sr,1,NN,MDD_TP,4.82,no,no,paper_display_only_no_result_credit
v1,table:sr,1,NN,MDD_EW,8.12,no,no,paper_display_only_no_result_credit
v1,table:sr,1,NN,MDD_VW,9.12,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,SR_TP,4.07,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,SR_EW,2.96,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,SR_VW,2.66,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,MDD_TP,3.77,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,MDD_EW,5.77,no,no,paper_display_only_no_result_credit
v1,table:sr,2,IPCA,MDD_VW,8.63,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,SR_TP,4.03,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,SR_EW,2.85,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,SR_VW,2.55,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,MDD_TP,3.79,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,MDD_EW,6.31,no,no,paper_display_only_no_result_credit
v1,table:sr,3,CA,MDD_VW,4.66,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,SR_TP,3.73,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,SR_EW,2.76,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,SR_VW,2.34,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,MDD_TP,5.12,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,MDD_EW,7.91,no,no,paper_display_only_no_result_credit
v1,table:sr,4,NF,MDD_VW,6.31,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,SR_TP,4.10,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,SR_EW,3.02,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,SR_VW,2.61,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,MDD_TP,4.32,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,MDD_EW,6.27,no,no,paper_display_only_no_result_credit
v1,table:sr,5,CPZ,MDD_VW,5.71,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,SR_TP,4.38,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,SR_EW,3.29,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,SR_VW,3.01,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,MDD_TP,3.66,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,MDD_EW,5.64,no,no,paper_display_only_no_result_credit
v1,table:sr,6,Ours,MDD_VW,5.17,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,SR_TP,4.45,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,SR_EW,3.43,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,SR_VW,3.09,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,MDD_TP,3.82,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,MDD_EW,5.57,no,no,paper_display_only_no_result_credit
v1,table:sr,7,w/ G.4,MDD_VW,4.77,no,no,paper_display_only_no_result_credit
v1,table:ape,1,NN,avg_abs_alpha,0.83,no,no,paper_display_only_no_result_credit
v1,table:ape,1,NN,avg_abs_t_alpha,2.89,no,no,paper_display_only_no_result_credit
v1,table:ape,1,NN,significant_share,0.64,no,no,paper_display_only_no_result_credit
v1,table:ape,1,NN,GRS,6.89,no,no,paper_display_only_no_result_credit
v1,table:ape,2,IPCA,avg_abs_alpha,0.76,no,no,paper_display_only_no_result_credit
v1,table:ape,2,IPCA,avg_abs_t_alpha,2.45,no,no,paper_display_only_no_result_credit
v1,table:ape,2,IPCA,significant_share,0.55,no,no,paper_display_only_no_result_credit
v1,table:ape,2,IPCA,GRS,6.38,no,no,paper_display_only_no_result_credit
v1,table:ape,3,CA,avg_abs_alpha,0.77,no,no,paper_display_only_no_result_credit
v1,table:ape,3,CA,avg_abs_t_alpha,2.63,no,no,paper_display_only_no_result_credit
v1,table:ape,3,CA,significant_share,0.52,no,no,paper_display_only_no_result_credit
v1,table:ape,3,CA,GRS,6.42,no,no,paper_display_only_no_result_credit
v1,table:ape,4,NF,avg_abs_alpha,0.89,no,no,paper_display_only_no_result_credit
v1,table:ape,4,NF,avg_abs_t_alpha,2.77,no,no,paper_display_only_no_result_credit
v1,table:ape,4,NF,significant_share,0.62,no,no,paper_display_only_no_result_credit
v1,table:ape,4,NF,GRS,7.32,no,no,paper_display_only_no_result_credit
v1,table:ape,5,CPZ,avg_abs_alpha,0.74,no,no,paper_display_only_no_result_credit
v1,table:ape,5,CPZ,avg_abs_t_alpha,2.44,no,no,paper_display_only_no_result_credit
v1,table:ape,5,CPZ,significant_share,0.49,no,no,paper_display_only_no_result_credit
v1,table:ape,5,CPZ,GRS,6.77,no,no,paper_display_only_no_result_credit
v1,table:ape,6,Ours,avg_abs_alpha,0.66,no,no,paper_display_only_no_result_credit
v1,table:ape,6,Ours,avg_abs_t_alpha,2.40,no,no,paper_display_only_no_result_credit
v1,table:ape,6,Ours,significant_share,0.46,no,no,paper_display_only_no_result_credit
v1,table:ape,6,Ours,GRS,6.34,no,no,paper_display_only_no_result_credit
v1,table:ape,7,w/ G.4,avg_abs_alpha,0.64,no,no,paper_display_only_no_result_credit
v1,table:ape,7,w/ G.4,avg_abs_t_alpha,2.36,no,no,paper_display_only_no_result_credit
v1,table:ape,7,w/ G.4,significant_share,0.46,no,no,paper_display_only_no_result_credit
v1,table:ape,7,w/ G.4,GRS,6.28,no,no,paper_display_only_no_result_credit
v1,table:abl,1,NF,SR_EW,2.76,no,no,paper_display_only_no_result_credit
v1,table:abl,1,NF,MDD_EW,7.91,no,no,paper_display_only_no_result_credit
v1,table:abl,1,NF,avg_abs_alpha,0.89,no,no,paper_display_only_no_result_credit
v1,table:abl,1,NF,avg_abs_t_alpha,2.77,no,no,paper_display_only_no_result_credit
v1,table:abl,2,+ Factors,SR_EW,2.66,no,no,paper_display_only_no_result_credit
v1,table:abl,2,+ Factors,MDD_EW,8.82,no,no,paper_display_only_no_result_credit
v1,table:abl,2,+ Factors,avg_abs_alpha,0.97,no,no,paper_display_only_no_result_credit
v1,table:abl,2,+ Factors,avg_abs_t_alpha,2.86,no,no,paper_display_only_no_result_credit
v1,table:abl,3,Naive,SR_EW,2.82,no,no,paper_display_only_no_result_credit
v1,table:abl,3,Naive,MDD_EW,6.03,no,no,paper_display_only_no_result_credit
v1,table:abl,3,Naive,avg_abs_alpha,0.88,no,no,paper_display_only_no_result_credit
v1,table:abl,3,Naive,avg_abs_t_alpha,2.72,no,no,paper_display_only_no_result_credit
v1,table:abl,4,+ RAG,SR_EW,2.94,no,no,paper_display_only_no_result_credit
v1,table:abl,4,+ RAG,MDD_EW,5.89,no,no,paper_display_only_no_result_credit
v1,table:abl,4,+ RAG,avg_abs_alpha,0.83,no,no,paper_display_only_no_result_credit
v1,table:abl,4,+ RAG,avg_abs_t_alpha,2.66,no,no,paper_display_only_no_result_credit
v1,table:abl,5,+ Emb.,SR_EW,2.88,no,no,paper_display_only_no_result_credit
v1,table:abl,5,+ Emb.,MDD_EW,6.42,no,no,paper_display_only_no_result_credit
v1,table:abl,5,+ Emb.,avg_abs_alpha,0.86,no,no,paper_display_only_no_result_credit
v1,table:abl,5,+ Emb.,avg_abs_t_alpha,2.71,no,no,paper_display_only_no_result_credit
v1,table:abl,6,Memory,SR_EW,2.99,no,no,paper_display_only_no_result_credit
v1,table:abl,6,Memory,MDD_EW,6.99,no,no,paper_display_only_no_result_credit
v1,table:abl,6,Memory,avg_abs_alpha,0.81,no,no,paper_display_only_no_result_credit
v1,table:abl,6,Memory,avg_abs_t_alpha,2.64,no,no,paper_display_only_no_result_credit
v1,table:abl,7,+ Factors,SR_EW,3.03,no,no,paper_display_only_no_result_credit
v1,table:abl,7,+ Factors,MDD_EW,7.12,no,no,paper_display_only_no_result_credit
v1,table:abl,7,+ Factors,avg_abs_alpha,0.79,no,no,paper_display_only_no_result_credit
v1,table:abl,7,+ Factors,avg_abs_t_alpha,2.62,no,no,paper_display_only_no_result_credit
v1,table:abl,8,Hybrid,SR_EW,3.14,no,no,paper_display_only_no_result_credit
v1,table:abl,8,Hybrid,MDD_EW,5.59,no,no,paper_display_only_no_result_credit
v1,table:abl,8,Hybrid,avg_abs_alpha,0.73,no,no,paper_display_only_no_result_credit
v1,table:abl,8,Hybrid,avg_abs_t_alpha,2.49,no,no,paper_display_only_no_result_credit
v1,table:abl,9,+ Refine,SR_EW,3.26,no,no,paper_display_only_no_result_credit
v1,table:abl,9,+ Refine,MDD_EW,6.31,no,no,paper_display_only_no_result_credit
v1,table:abl,9,+ Refine,avg_abs_alpha,0.70,no,no,paper_display_only_no_result_credit
v1,table:abl,9,+ Refine,avg_abs_t_alpha,2.46,no,no,paper_display_only_no_result_credit
v1,table:abl,10,+ Notes,SR_EW,3.18,no,no,paper_display_only_no_result_credit
