candidate_id,benchmark_id,n_months,sample_start,sample_end,alpha_annualized,alpha_t_hac,p_value,holm_p_within_benchmark,positive_alpha,holm_positive_5pct,hac_lags,benchmark_label
alpha_jungle_multiscale_price_volume,capm,150,2009-08-31,2022-01-31,-0.06532457891127462,-1.6949079046506097,0.09009289276537662,0.8606999400701334,False,False,4,CAPM
alpha_jungle_range_volume_interaction,capm,150,2009-08-31,2022-01-31,-0.039184141945734434,-0.6853896243522618,0.4930980896171313,1.0,False,False,4,CAPM
alpha_jungle_volume_ma_diff,capm,150,2009-08-31,2022-01-31,-0.10218025047905023,-1.6934720942776853,0.0903656422184481,0.8606999400701334,False,False,4,CAPM
efs_decay_return_dispersion,capm,150,2009-08-31,2022-01-31,-0.042723866217623904,-0.9199867598229926,0.35757967822463954,1.0,False,False,4,CAPM
efs_multi_horizon_mean_volatility,capm,150,2009-08-31,2022-01-31,0.02440769938905245,0.6663541149713317,0.5051847839277115,1.0,True,False,4,CAPM
efs_regime_momentum_normalized_mean,capm,150,2009-08-31,2022-01-31,0.010841655252967439,0.22176624896754088,0.8244958546654739,1.0,True,False,4,CAPM
efs_regime_switched_return_volatility,capm,150,2009-08-31,2022-01-31,0.07440171098531707,2.902815021543435,0.003698250052071429,0.04437900062485715,True,True,4,CAPM
efs_skew_gated_breakout,capm,150,2009-08-31,2022-01-31,0.028290194938488764,1.716503138630575,0.08606999400701335,0.8606999400701334,True,False,4,CAPM
quantagent_atr14_breakout_literal,capm,150,2009-08-31,2022-01-31,0.048116831786688005,0.5660642256449402,0.5713501212719917,1.0,True,False,4,CAPM
quantevolver_price_zscore_reversal_120,capm,150,2009-08-31,2022-01-31,-0.06880734088078647,-1.9534872288474898,0.05076188912580512,0.5583807803838563,False,False,4,CAPM
quantevolver_return_log_volume_corr_60,capm,150,2009-08-31,2022-01-31,0.006723480983210442,0.2793626266831229,0.7799665493221489,1.0,True,False,4,CAPM
quantevolver_return_sharpe_60,capm,150,2009-08-31,2022-01-31,0.041483193090648775,1.1538230473474305,0.24857272320450086,1.0,True,False,4,CAPM
alpha_jungle_multiscale_price_volume,ff3,150,2009-08-31,2022-01-31,-0.014508966800421859,-0.39639653325816393,0.6918125231448611,1.0,False,False,4,FF3
alpha_jungle_range_volume_interaction,ff3,150,2009-08-31,2022-01-31,-0.017703854970467805,-0.4753130460445281,0.6345638616879531,1.0,False,False,4,FF3
alpha_jungle_volume_ma_diff,ff3,150,2009-08-31,2022-01-31,-0.041886438605129875,-0.7534051501347679,0.45120648892323145,1.0,False,False,4,FF3
efs_decay_return_dispersion,ff3,150,2009-08-31,2022-01-31,-0.047836664662635156,-1.030740057407958,0.30266273466097715,1.0,False,False,4,FF3
efs_multi_horizon_mean_volatility,ff3,150,2009-08-31,2022-01-31,-0.01629888065776769,-0.44580113628329,0.6557409009471312,1.0,False,False,4,FF3
