evaluation_class,paper_count,common_path_count,positive_cagr_count,positive_jkp_excess_count,raw_p_below_5pct_count,holm_reject_5pct_count
carried_strict_adaptation,17,17,7,11,0,0
researcher_authored_in_spirit,45,45,22,9,4,1
structural_discard,7,0,0,0,0,0
