missing_return_policy,formation_month,month,path_status,gross_return,total_security_return,traded_notional,formation_universe,finite_signal_count,missing_forward_return_gross_weight,missing_total_return_gross_weight,n_long,n_short,max_abs_weight,weight_hhi,gross_exposure
zero,1999-07-31,1999-08-31,ok,0.06752722545843869,0.06752722545843869,2.000000000000001,1000,1000,0.0,0.0,100,100,0.2321131606118595,0.16686231319167852,2.000000000000001
zero,1999-08-31,1999-09-30,ok,0.08699447942309563,0.08699008785830058,2.1470506018346844,1000,1000,0.0036310613252452245,0.0036310613252452245,100,100,0.18947781505530972,0.13136259327860653,2.0
zero,1999-09-30,1999-10-31,ok,0.06485559723247451,0.0648555972324745,1.9645762320532165,1000,1000,0.0,0.0,100,100,0.1386933481127435,0.08374485910325921,2.0
zero,1999-10-31,1999-11-30,ok,0.10744942444117467,0.10746602297850642,2.0485991585402807,1000,1000,0.003509544388939057,0.003509544388939057,100,100,0.22527408571213348,0.1423803568566009,2.0
zero,1999-11-30,1999-12-31,ok,0.30146668644313246,0.3014675459334065,1.911043707454802,1000,1000,0.0019728790319191213,0.0019728790319191213,100,100,0.26722073617779696,0.15805435604801069,2.0
zero,1999-12-31,2000-01-31,ok,-0.03590730346336658,-0.035907303463366604,1.8472029330607653,1000,1000,0.0,0.0,100,100,0.28644372808701346,0.14460962668586302,2.0
zero,2000-01-31,2000-02-29,ok,0.36864945722432535,0.36864945722432535,2.032279011205978,1000,1000,0.0,0.0,100,100,0.12446465392357618,0.09457959700850092,2.0
zero,2000-02-29,2000-03-31,ok,-0.11963682154981947,-0.11966325148428471,1.9265914411969716,1000,1000,0.005868418634235895,0.005868418634235895,100,100,0.1347532336520584,0.08070084067883988,2.0
zero,2000-03-31,2000-04-30,ok,-0.0037100354622355905,-0.0036267643858838394,2.1382567462590063,1000,1000,0.011148924590089539,0.011148924590089539,100,100,0.12209230569415339,0.08806445269916427,2.0
zero,2000-04-30,2000-05-31,ok,-0.15420912428735922,-0.15421458186951373,1.9742112976899704,1000,1000,0.000570638033715601,0.000570638033715601,100,100,0.22208394267050807,0.11348707811567313,2.0000000000000004
zero,2000-05-31,2000-06-30,ok,0.16385211714756312,0.16385211714756312,2.2030838748581174,1000,1000,0.0,0.0,100,100,0.18390507367831585,0.10240107846356253,2.0
zero,2000-06-30,2000-07-31,ok,0.0020285061362834136,0.002032000957568919,1.5759042590324188,1000,1000,0.007915688873299583,0.007915688873299583,100,100,0.23348238730858176,0.11578144557680557,2.0
zero,2000-07-31,2000-08-31,ok,0.08879087423448058,0.08879087423448061,1.729546813886147,1000,1000,0.0,0.0,100,100,0.2095418135128516,0.10297944218567562,2.0
zero,2000-08-31,2000-09-30,ok,-0.12917784627330903,-0.12912117793312208,1.3961065700306974,1000,1000,0.007580600311022796,0.007580600311022796,100,100,0.19489711321249897,0.09802043022572686,2.0
zero,2000-09-30,2000-10-31,ok,-0.13237284344507647,-0.1323728434450765,1.899121038387723,1000,1000,0.0,0.0,100,100,0.15523547505666077,0.10439713294807902,2.0000000000000004
zero,2000-10-31,2000-11-30,ok,-0.22858429170737268,-0.22859381586716265,2.387380538386435,1000,1000,0.0009589367488903196,0.0009589367488903196,100,100,0.16069703871473398,0.1130615833600132,2.0
zero,2000-11-30,2000-12-31,ok,-0.02192981927256419,-0.021929819272564186,1.8088780130228528,1000,1000,0.0,0.0,100,100,0.15478346072279509,0.1291071231660348,1.9999999999999998
zero,2000-12-31,2001-01-31,ok,0.03518533951121396,0.03518533951121396,3.027260879663277,1000,1000,0.0,0.0,100,100,0.1541680447199225,0.10199095135792824,2.0
zero,2001-01-31,2001-02-28,ok,0.07313877955713075,0.07332796295238665,3.0802916582001973,1000,1000,0.030032431447211867,0.030032431447211867,100,100,0.21093155653740023,0.14484162976768294,1.9999999999999998
zero,2001-02-28,2001-03-31,ok,0.027026421938254074,0.027067284449513253,2.7799732037369447,1000,1000,0.004729457321663896,0.004729457321663896,100,100,0.20097276071576978,0.10237231405610443,2.0
zero,2001-03-31,2001-04-30,ok,-0.014342395949730689,-0.014342395949730689,2.9922396682337413,1000,1000,0.0,0.0,100,100,0.18598348346439814,0.12073136375996259,2.0
zero,2001-04-30,2001-05-31,ok,0.050476630088194516,0.05048547282210127,3.0196001369457175,1000,1000,0.0013890565357748252,0.0013890565357748252,100,100,0.28103065066204624,0.13507952471931367,2.0
zero,2001-05-31,2001-06-30,ok,0.015309115864847355,0.015309115864847359,2.979323194875335,1000,1000,0.0,0.0,100,100,0.1683021647399698,0.07620738518599782,2.0
zero,2001-06-30,2001-07-31,ok,0.05850222130446457,0.05845304689842322,2.8364455810341864,1000,1000,0.008198467162616076,0.008198467162616076,100,100,0.23824838219618458,0.10979297738001144,2.0
zero,2001-07-31,2001-08-31,ok,0.04528031494799027,0.045152708762178036,3.0896137083434203,1000,1000,0.021296092425274787,0.021296092425274787,100,100,0.18337344009041376,0.09482068123417765,2.0
zero,2001-08-31,2001-09-30,ok,0.018314030222314714,0.01830544964460357,2.706612863416291,1000,1000,0.0015715343793340176,0.0015715343793340176,100,100,0.1883640676348,0.07789989427853146,2.0
zero,2001-09-30,2001-10-31,ok,0.059897577860284615,0.05989757786028461,2.7103240307645455,1000,1000,0.0,0.0,100,100,0.1703225299227199,0.09091709992783902,1.9999999999999998
zero,2001-10-31,2001-11-30,ok,-0.09864123862903482,-0.09864649616036249,3.0092819836363907,1000,1000,0.0015030106711555816,0.0015030106711555816,100,100,0.21836942744818355,0.14551241565274675,1.9999999999999998
zero,2001-11-30,2001-12-31,ok,0.07021018908564582,0.07021308347296779,2.8771131750183008,1000,1000,0.0009751978847577081,0.0009751978847577081,100,100,0.19155706004504797,0.11323594973611106,1.9999999999999996
zero,2001-12-31,2002-01-31,ok,0.0063871182838397605,0.006385976500239248,3.0342056891811717,1000,1000,0.00041071352536817415,0.00041071352536817415,100,100,0.22587704619365026,0.13732552119030667,2.0
zero,2002-01-31,2002-02-28,ok,0.026846535347469815,0.026846535347469797,2.7632587270152413,1000,1000,0.0,0.0,100,100,0.4114945096241589,0.22096438493582463,1.9999999999999998
zero,2002-02-28,2002-03-31,ok,0.02365974277576146,0.023659742775761466,2.602890250780567,1000,1000,0.0,0.0,100,100,0.23323401258189022,0.13736341019748094,2.0000000000000004
zero,2002-03-31,2002-04-30,ok,0.04595261515699729,0.04594736602890425,2.7376733481817195,1000,1000,0.0016976481542814003,0.0016976481542814003,100,100,0.12925188823820513,0.07897872802729772,2.0
zero,2002-04-30,2002-05-31,ok,0.003167516798551088,0.0031675167985510894,2.560455433948212,1000,1000,0.0,0.0,100,100,0.296329563691512,0.13163962862462392,2.0000000000000004
zero,2002-05-31,2002-06-30,ok,0.024948353460274877,0.024965919374650272,2.3745454545121865,1000,1000,0.006694327124760892,0.006694327124760892,100,100,0.30185126386762984,0.14588565112937665,1.9999999999999998
zero,2002-06-30,2002-07-31,ok,0.024105264367258055,0.024100271283522597,2.1141259716003775,1000,1000,0.001656630303738788,0.001656630303738788,100,100,0.28000944192419713,0.18607548042550684,2.0
zero,2002-07-31,2002-08-31,ok,0.03990744827345151,0.0399074482734515,2.6747567353940833,1000,1000,0.0,0.0,100,100,0.22040023200268466,0.09932330200456209,2.0
zero,2002-08-31,2002-09-30,ok,0.07970304536917874,0.07970304536917876,2.5209028049850772,1000,1000,0.0,0.0,100,100,0.13243108405694493,0.07515430627213886,1.9999999999999996
zero,2002-09-30,2002-10-31,ok,0.04383540547478819,0.04383540547478821,2.214985968192537,1000,1000,0.0,0.0,100,100,0.1660736070401748,0.0961485677401314,2.0
zero,2002-10-31,2002-11-30,ok,-0.0595032244807838,-0.05950322448078381,2.730860363625904,1000,1000,0.0,0.0,100,100,0.10750188619997071,0.07942278877808193,2.0
zero,2002-11-30,2002-12-31,ok,0.07037053275522041,0.0703705327552204,2.8231447737904514,1000,1000,0.0,0.0,100,100,0.14811067731666974,0.09006571736809865,2.0
zero,2002-12-31,2003-01-31,ok,0.01571081436195045,0.015698343111487923,2.157384876710178,1000,1000,0.006676258277578748,0.006676258277578748,100,100,0.13771517300030597,0.08915373533243179,2.0
zero,2003-01-31,2003-02-28,ok,0.04083108371854022,0.0408310837185402,1.9143061500009724,1000,1000,0.0,0.0,100,100,0.1238348719669145,0.0830874815592757,2.0
zero,2003-02-28,2003-03-31,ok,0.029615095676543815,0.029615095676543822,2.0514929453965327,1000,1000,0.0,0.0,100,100,0.23452975323349962,0.11463075463210523,2.0
zero,2003-03-31,2003-04-30,ok,-0.05901069468604048,-0.05901069468604049,2.03348611207712,1000,1000,0.0,0.0,100,100,0.2090498735819245,0.1342994452893998,1.9999999999999998
zero,2003-04-30,2003-05-31,ok,-0.06208892752217979,-0.062088927522179795,2.7219309425545024,1000,1000,0.0,0.0,100,100,0.2568973980029261,0.11795826180343987,2.0000000000000004
zero,2003-05-31,2003-06-30,ok,-0.026790392375049887,-0.026790392375049897,2.0707211814518764,1000,1000,0.0,0.0,100,100,0.1700106643647706,0.11632783462146601,2.0
zero,2003-06-30,2003-07-31,ok,0.043245103950120475,0.043243925743742195,2.925973747655008,1000,1000,0.0008740403399732566,0.0008740403399732566,100,100,0.26663379943808413,0.14898799921335532,2.0
zero,2003-07-31,2003-08-31,ok,-0.0070250613871611425,-0.00702506138716115,2.31014809119117,1000,1000,0.0,0.0,100,100,0.1519897994479748,0.07198410609134151,1.9999999999999996
zero,2003-08-31,2003-09-30,ok,0.021214877239657787,0.021212270206977298,2.4945637307863535,1000,1000,0.0015069553066415354,0.0015069553066415354,100,100,0.15625221043506543,0.08098668575880175,2.0
zero,2003-09-30,2003-10-31,ok,0.0846864004873675,0.0846864004873675,2.2474898096270226,1000,1000,0.0,0.0,100,100,0.1544529527848431,0.09958758207155614,2.0
zero,2003-10-31,2003-11-30,ok,-0.0020544039719539537,-0.002055332163649734,2.3035711964477947,1000,1000,0.0006401322039901719,0.0006401322039901719,100,100,0.20254518446439554,0.11632941933500257,2.0
zero,2003-11-30,2003-12-31,ok,-0.05136540510161005,-0.05136540510161005,1.9656824543521028,1000,1000,0.0,0.0,100,100,0.2157306467830687,0.13707928000748615,2.0
zero,2003-12-31,2004-01-31,ok,0.009810877518326913,0.009810877518326915,2.4248628616630974,1000,1000,0.0,0.0,100,100,0.2097881340393811,0.13289326705459484,2.0000000000000004
zero,2004-01-31,2004-02-29,ok,-0.01466496209440966,-0.014664962094409663,2.2786902839044227,1000,1000,0.0,0.0,100,100,0.19423693265862185,0.1291143598441633,2.0
zero,2004-02-29,2004-03-31,ok,0.007149039091935768,0.0071453311035511325,2.099126932191,1000,1000,0.0021966755833156726,0.0021966755833156726,100,100,0.17300861605333542,0.13669190630237782,2.0
zero,2004-03-31,2004-04-30,ok,-0.06637834860577892,-0.06637834860577893,2.3534619010226865,1000,1000,0.0,0.0,100,100,0.18398199448488303,0.0969447869313799,1.9999999999999998
zero,2004-04-30,2004-05-31,ok,0.05569527589076963,0.05569020990868225,2.7006601452345578,1000,1000,0.004200648496984415,0.004200648496984415,100,100,0.1724779700842244,0.13432431026523162,2.0
zero,2004-05-31,2004-06-30,ok,0.014111118687413356,0.014111118687413358,2.813876487165797,1000,1000,0.0,0.0,100,100,0.2579138817236654,0.1321730181318453,2.0000000000000004
zero,2004-06-30,2004-07-31,ok,-0.05243592493840637,-0.05243592493840636,2.5048578666328503,1000,1000,0.0,0.0,100,100,0.18733904155333816,0.10850773459248653,2.0
zero,2004-07-31,2004-08-31,ok,-0.020338779231784655,-0.020338779231784652,2.569178361487101,1000,1000,0.0,0.0,100,100,0.1896352325538825,0.10736524127592753,1.9999999999999996
zero,2004-08-31,2004-09-30,ok,0.056423310876563305,0.05642022899176361,2.0175564765264102,1000,1000,0.0013003733332049752,0.0013003733332049752,100,100,0.17354048945699832,0.08998298648362008,1.9999999999999996
zero,2004-09-30,2004-10-31,ok,0.0029887626214042786,0.003182328533894272,2.1268092461051404,1000,1000,0.0,0.0011495641605990736,100,100,0.07966195485330563,0.06466178536545661,1.9999999999999998
zero,2004-10-31,2004-11-30,ok,0.02455460392353436,0.024554603923534358,2.291036865755239,1000,1000,0.0,0.0,100,100,0.10890346221083624,0.06583236383787248,2.0
zero,2004-11-30,2004-12-31,ok,-0.014977764275819988,-0.014940796065807498,2.306530320571151,1000,1000,0.011055086726222265,0.011055086726222265,100,100,0.13338156631300516,0.08611039023708889,1.9999999999999998
zero,2004-12-31,2005-01-31,ok,-0.025354291831557216,-0.025361774157771484,2.1970415509529007,1000,1000,0.002252355874252711,0.002252355874252711,100,100,0.09332897297451986,0.06519942073452356,2.0
zero,2005-01-31,2005-02-28,ok,-0.002167205308619234,-0.0021641945605030506,2.5853309144555228,1000,1000,0.0009173516502686686,0.0009173516502686686,100,100,0.13715453958245427,0.08902720411359831,2.0
zero,2005-02-28,2005-03-31,ok,-0.029132464042597127,-0.029132464042597127,2.3612590051531046,1000,1000,0.0,0.0,100,100,0.24052464732989304,0.14182404724396436,2.0
zero,2005-03-31,2005-04-30,ok,-0.03767844358948058,-0.03765010385022824,2.1695647223619767,1000,1000,0.0068387401670749704,0.0068387401670749704,100,100,0.2043505410412834,0.10857782570928012,1.9999999999999998
zero,2005-04-30,2005-05-31,ok,0.06413339810380525,0.06413753777524482,3.0365580545741584,1000,1000,0.0008642320333160978,0.0008642320333160978,100,100,0.12232241810512468,0.06247014990170658,2.0
zero,2005-05-31,2005-06-30,ok,0.002075535394399484,0.0020691460142934974,2.893038716500783,1000,1000,0.0014117057238137172,0.0014117057238137172,100,100,0.2699108442250488,0.12114618241687068,2.0
zero,2005-06-30,2005-07-31,ok,0.03186385047000256,0.03186385047000256,2.5061294927667603,1000,1000,0.0,0.0,100,100,0.20102088887930616,0.12335342602010063,2.0
zero,2005-07-31,2005-08-31,ok,-0.0013136619999509843,-0.0013136619999509825,2.9900354030187564,1000,1000,0.0,0.0,100,100,0.1414786017411747,0.09644523394086345,2.0
zero,2005-08-31,2005-09-30,ok,0.0439212590216037,0.0439212590216037,2.8842577997364587,1000,1000,0.0,0.0,100,100,0.21609530815501365,0.11776421819334229,1.9999999999999998
zero,2005-09-30,2005-10-31,ok,-0.016898829531882098,-0.01690333743517626,1.8969430229424376,1000,1000,0.0008262286096338213,0.0008262286096338213,100,100,0.1436205611004396,0.09422615799547997,2.0
