accepted_order,episode,factor,components,seed_source,corrected,mean_rankic,rankicir,maximum_prior_rankic_correlation,complexity,orientation,linear_model_weight
1,1,pair_difference__ret_6_1__ret_12_1,ret_6_1|ret_12_1,generated_factor,False,-0.04855800638998156,0.47442161393245613,0.0,2,-1,0.046625080739889954
2,2,pair_product__ret_1_0__turnover_126d,ret_1_0|turnover_126d,existing_factor,False,0.021360620407470235,0.39001244174295685,0.06288237186507292,2,1,0.02702503816587521
3,3,pair_difference__ret_1_0__ret_12_1,ret_1_0|ret_12_1,existing_factor,False,-0.03524324004671633,0.33161319030634384,0.22180193524401348,2,-1,0.015145981883635222
4,4,pair_difference__rvol_21d__beta_60m,rvol_21d|beta_60m,generated_factor,False,-0.022562460279854687,0.31628025134934534,0.09997279928331312,2,-1,0.016502293190548047
5,5,pair_product__ret_12_1__rvol_21d,ret_12_1|rvol_21d,generated_factor,False,0.019782618419522262,0.3364141060086324,0.2951138533192935,2,1,0.01687989581911588
6,6,pair_product__ret_6_1__z_score,ret_6_1|z_score,generated_factor,False,0.025433746261027203,0.3646612854654656,0.42372316419813477,2,1,0.022596419196336662
7,7,pair_product__be_me__gp_at,be_me|gp_at,generated_factor,False,-0.018426943806071905,0.24994512585144604,0.2367844730707859,2,-1,0.005418541844811777
8,8,pair_difference__ret_3_1__ret_12_1,ret_3_1|ret_12_1,generated_factor,False,-0.028512884784229618,0.2729385734044758,0.5651425653104742,2,-1,0.010505605899969557
9,9,pair_product__ret_1_0__ret_6_1,ret_1_0|ret_6_1,generated_factor,False,0.014491460163688135,0.2644156913788251,0.1520491875360671,2,1,0.015394792779556314
10,10,pair_mean__ret_12_1__be_me,ret_12_1|be_me,generated_factor,False,0.023852293878867552,0.2100871145933857,0.36057557225045345,2,1,0.023626059741181652
11,11,pair_product__ret_6_1__beta_60m,ret_6_1|beta_60m,generated_factor,False,0.019132162673659397,0.3009278869778105,0.5774137372815124,2,1,0.011631337634827175
12,12,identity__ret_12_1,ret_12_1,existing_factor,False,0.032943555406753776,0.247663466909083,0.7412568390091095,1,1,0.01847683455801833
13,13,pair_product__ret_6_1__turnover_126d,ret_6_1|turnover_126d,existing_factor,False,0.017579025423520835,0.3015356505869101,0.5576860765697743,2,1,0.018613487879949403
14,14,pair_product__gp_at__ocf_at,gp_at|ocf_at,generated_factor,False,0.02471937370471573,0.32617604076276324,0.584048744157233,2,1,0.02849148199538636
15,15,pair_difference__ret_1_0__ocf_at,ret_1_0|ocf_at,generated_factor,False,-0.021071542247423365,0.22441681443796443,0.4410701092695664,2,-1,0.007885211914328531
16,16,pair_difference__rvol_21d__turnover_126d,rvol_21d|turnover_126d,generated_factor,False,-0.012592160593008061,0.2194091837882549,0.254874455129697,2,-1,0.00770646349339015
17,17,pair_mean__ret_12_1__beta_60m,ret_12_1|beta_60m,existing_factor,False,0.030296825939840694,0.2022668827798614,0.6079393822950558,2,1,0.014062098635188817
18,18,pair_product__ret_6_1__be_me,ret_6_1|be_me,existing_factor,False,-0.02367707694755256,0.33819451980218423,0.7826996807191632,2,-1,0.02890695284235178
19,19,pair_mean__ret_12_1__ocf_at,ret_12_1|ocf_at,generated_factor,False,0.0287446247964611,0.2656781847920566,0.825439847801384,2,1,0.009175889982953545
20,20,pair_difference__ret_1_0__niq_su,ret_1_0|niq_su,existing_factor,False,-0.020528056936946867,0.24670244178712877,0.7039066957019487,2,-1,0.004567991317963088
21,21,pair_product__ret_6_1__rvol_21d,ret_6_1|rvol_21d,existing_factor,False,0.01794623137545096,0.2922791875215181,0.6960564777432928,2,1,0.014424263893910473
