timestamp,total_asset
2025-10-01 10:00:00,5000.0
2025-10-01 11:00:00,5004.8143
2025-10-01 12:00:00,5003.9439999999995
2025-10-01 13:00:00,5014.214999999999
2025-10-01 14:00:00,5016.9488
2025-10-01 15:00:00,5001.15
2025-10-02 10:00:00,5030.8099999999995
2025-10-02 11:00:00,5047.259999999999
2025-10-02 12:00:00,5049.5704
2025-10-02 13:00:00,5042.459999999999
2025-10-02 14:00:00,5044.624
2025-10-02 15:00:00,5040.040399999999
2025-10-03 10:00:00,5060.2504
2025-10-03 11:00:00,5056.720399999999
2025-10-03 12:00:00,5045.0638
2025-10-03 13:00:00,5020.409799999999
2025-10-03 14:00:00,5028.228099999999
2025-10-03 15:00:00,5025.8708
2025-10-06 10:00:00,5022.2328
2025-10-06 11:00:00,5044.8408
2025-10-06 12:00:00,5036.9168
2025-10-06 13:00:00,5053.8615
2025-10-06 14:00:00,5056.9746000000005
2025-10-06 15:00:00,5042.975799999999
2025-10-07 10:00:00,5075.274
2025-10-07 11:00:00,5041.803800000001
2025-10-07 12:00:00,5037.807900000001
2025-10-07 13:00:00,5030.667
2025-10-07 14:00:00,5041.419000000001
2025-10-07 15:00:00,5054.904
2025-10-08 10:00:00,5144.154
2025-10-08 11:00:00,5148.714
2025-10-08 12:00:00,5168.6721
2025-10-08 13:00:00,5224.0344
2025-10-08 14:00:00,5195.4903
2025-10-08 15:00:00,5219.9794
2025-10-09 10:00:00,5179.4094
2025-10-09 11:00:00,5181.5544
2025-10-09 12:00:00,5173.2844
2025-10-09 13:00:00,5191.6111
2025-10-09 14:00:00,5209.957700000001
2025-10-09 15:00:00,5225.879400000001
2025-10-10 10:00:00,5204.1125999999995
2025-10-10 11:00:00,5150.1142
2025-10-10 12:00:00,5124.1894
2025-10-10 13:00:00,5126.8592
2025-10-10 14:00:00,5118.2392
2025-10-10 15:00:00,5052.1292
2025-10-13 10:00:00,5103.449200000001
2025-10-13 11:00:00,5128.075500000001
2025-10-13 12:00:00,5145.3642
2025-10-13 13:00:00,5132.7842
2025-10-13 14:00:00,5120.9242
2025-10-13 15:00:00,5132.6792000000005
2025-10-14 10:00:00,5021.7092
2025-10-14 11:00:00,5045.1592
2025-10-14 12:00:00,5061.9542
2025-10-14 13:00:00,5050.857900000001
2025-10-14 14:00:00,5056.5842
2025-10-14 15:00:00,5024.1292
2025-10-15 10:00:00,5073.102900000001
2025-10-15 11:00:00,5035.029200000001
2025-10-15 12:00:00,5020.6092
2025-10-15 13:00:00,5016.2192
2025-10-15 14:00:00,5033.0842
2025-10-15 15:00:00,5023.0942
2025-10-16 10:00:00,5056.2142
2025-10-16 11:00:00,5037.439200000001
2025-10-16 12:00:00,5031.2186
2025-10-16 13:00:00,5025.3797
2025-10-16 14:00:00,5012.681100000001
2025-10-16 15:00:00,5021.249100000001
2025-10-17 10:00:00,4991.209
2025-10-17 11:00:00,5008.244100000001
2025-10-17 12:00:00,5023.704099999999
2025-10-17 13:00:00,5031.4879
2025-10-17 14:00:00,5050.1731
2025-10-17 15:00:00,5046.6491
2025-10-20 10:00:00,5110.7621
2025-10-20 11:00:00,5107.7595
2025-10-20 12:00:00,5091.139099999999
2025-10-20 13:00:00,5094.209599999999
2025-10-20 14:00:00,5086.0891
2025-10-20 15:00:00,5086.0791
2025-10-21 10:00:00,5056.3491
2025-10-21 11:00:00,5057.4867
2025-10-21 12:00:00,5051.449100000001
2025-10-21 13:00:00,5053.648599999999
2025-10-21 14:00:00,5062.7208
2025-10-21 15:00:00,5061.669099999999
2025-10-22 10:00:00,5084.4841
2025-10-22 11:00:00,5060.1841
2025-10-22 12:00:00,5038.9655999999995
2025-10-22 13:00:00,5004.813099999999
2025-10-22 14:00:00,5036.6248
2025-10-22 15:00:00,5059.8241
2025-10-23 10:00:00,5096.6566
2025-10-23 11:00:00,5093.5501
2025-10-23 12:00:00,5092.589099999999
2025-10-23 13:00:00,5100.933899999999
2025-10-23 14:00:00,5107.049200000001
2025-10-23 15:00:00,5085.5291
2025-10-24 10:00:00,5155.539099999999
2025-10-24 11:00:00,5159.8541
2025-10-24 12:00:00,5174.122700000001
2025-10-24 13:00:00,5173.3108
2025-10-24 14:00:00,5176.6794
2025-10-24 15:00:00,5160.8244
2025-10-27 10:00:00,5259.4844
2025-10-27 11:00:00,5265.7344
2025-10-27 12:00:00,5264.1644
2025-10-27 13:00:00,5277.1794
2025-10-27 14:00:00,5290.5553
2025-10-27 15:00:00,5284.6143999999995
2025-10-28 10:00:00,5316.7844
2025-10-28 11:00:00,5311.734800000001
2025-10-28 12:00:00,5312.3948
2025-10-28 13:00:00,5328.1958
2025-10-28 14:00:00,5324.594800000001
2025-10-28 15:00:00,5307.794800000001
2025-10-29 10:00:00,5324.255800000001
2025-10-29 11:00:00,5349.0298
2025-10-29 12:00:00,5338.8448
2025-10-29 13:00:00,5327.9948
2025-10-29 14:00:00,5322.6898
2025-10-29 15:00:00,5347.464800000001
2025-10-30 10:00:00,5404.384800000001
2025-10-30 11:00:00,5370.8198
2025-10-30 12:00:00,5367.2298
2025-10-30 13:00:00,5350.2028
2025-10-30 14:00:00,5340.7838
2025-10-30 15:00:00,5306.109799999999
2025-10-31 10:00:00,5528.431799999999
2025-10-31 11:00:00,5521.9428
2025-10-31 12:00:00,5507.8148
2025-10-31 13:00:00,5521.154799999999
2025-10-31 14:00:00,5514.419800000001
2025-10-31 15:00:00,5501.449799999999
