version,table_label,printed_numeric_unit,source_document_recovered,author_native_experiment_executed,published_result_regenerated,paper_result_credit,blocking_reason
v2,tab:combined,1,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,2,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,3,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,4,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,5,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,6,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,7,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,8,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,9,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,10,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,11,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,12,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,13,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,14,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,15,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,16,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,17,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,18,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,19,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,20,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,21,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,22,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,23,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,24,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,25,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,26,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,27,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,28,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,29,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,30,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,31,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,32,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,33,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,34,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,35,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,36,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,37,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,38,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,39,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
v2,tab:combined,40,True,False,False,False,"research market/news/fundamental data, baselines, trial outputs, model calls, and result arrays are not released"
