formation_month,label_cutoff,reward_history_start,reward_history_end,reward_history_months,mean_base_absolute_position,mean_win_probability,mean_payoff_odds,mean_scaled_kelly,mean_volatility_adjustment,mean_cvar_cap,mean_final_absolute_exposure,risk_shrunk_count,risk_zeroed_count,finite_scores
1999-07-31,1999-01-31,1994-02-28,1999-01-31,60,0.05898423444124645,0.5147460586103116,1.248406756363382,0.057828272071891264,0.4958697183533084,0.29571849205645245,0.016270748360105846,581,569,1000
1999-08-31,1999-02-28,1994-03-31,1999-02-28,60,0.10743477261315011,0.5268586931532875,1.2167985719670331,0.06425953262412915,0.4986972754212574,0.29120914590288266,0.020721675969825843,648,515,1000
1999-09-30,1999-03-31,1994-04-30,1999-03-31,60,0.13630709884796297,0.5340767747119908,1.2040632633701507,0.06955856064997211,0.497631786943043,0.28630911573667717,0.022982624030503412,686,486,1000
1999-10-31,1999-04-30,1994-05-31,1999-04-30,60,0.15383952183778965,0.5384598804594474,1.2255453380737766,0.07677559881151376,0.4985513367818343,0.28565524269054643,0.025602164729159868,697,467,1000
1999-11-30,1999-05-31,1994-06-30,1999-05-31,60,0.16112445309853324,0.5402811132746334,1.2257845569832835,0.0792348395950326,0.4975342232535568,0.28004142398714393,0.02585445163108257,691,473,1000
1999-12-31,1999-06-30,1994-07-31,1999-06-30,60,0.16580119596041287,0.5414502989901032,1.238593215620727,0.08247573584512836,0.49550337595953664,0.27908981974880126,0.026085192755893553,686,482,1000
2000-01-31,1999-07-31,1994-08-31,1999-07-31,60,0.16571393523256928,0.5414284838081423,1.2121199505620666,0.07883889981202193,0.4961834123146976,0.26978162385762283,0.02493430679817942,694,487,1000
2000-02-29,1999-08-31,1994-09-30,1999-08-31,60,0.15794494686952898,0.5394862367173823,1.2109629928381838,0.07878887760342199,0.49303219722573705,0.25791441149796746,0.02274359997744016,688,528,1000
2000-03-31,1999-09-30,1994-10-31,1999-09-30,60,0.16044823989440843,0.5401120599736021,1.2958498879264362,0.08829507558073531,0.49748631178017705,0.26204401034721003,0.026824373148351448,692,478,1000
2000-04-30,1999-10-31,1994-11-30,1999-10-31,60,0.16703666842755435,0.5417591671068885,1.394342662253486,0.10012711033488697,0.4939502029486926,0.2880969801696031,0.031553851212917865,712,432,1000
2000-05-31,1999-11-30,1994-12-31,1999-11-30,60,0.17038565958180577,0.5425964148954515,1.375143864070463,0.0986165493370895,0.4934504330983191,0.28540969425272505,0.0320085771789436,735,420,1000
