paper_row,source_seed_index,source_alpha,source_formula,metric,paper_value,source_value,absolute_error,rounding_tolerance,status,author_source_corroborated,native_integrated_portfolio_reproduced,evidence
1,1,"Price Momentum - (CLOSE - DELAY(CLOSE, 14))",PriceMomentum,ic,0.0209,0.020881912,1.8087999999999438e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
1,1,"Price Momentum - (CLOSE - DELAY(CLOSE, 14))",PriceMomentum,weight,-0.1459,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
2,3,"RSI Momentum - (RSI - DELAY(RSI, 14))",RSIMomentum,ic,-0.0225,-0.022543846,4.384600000000016e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
2,3,"RSI Momentum - (RSI - DELAY(RSI, 14))",RSIMomentum,weight,-1.0265,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
3,9,Detrended Price Oscillator (DPO),"(CLOSE - DELAY(SMA(CLOSE, 14), 7))",ic,0.0193,0.019326014,2.6013999999997817e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
3,9,Detrended Price Oscillator (DPO),"(CLOSE - DELAY(SMA(CLOSE, 14), 7))",weight,-0.1978,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
4,10,"Mean Reversion - (MA(CLOSE, 20) - CLOSE)",MeanReversion,ic,-0.0186,-0.01860155,1.550000000002938e-06,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
4,10,"Mean Reversion - (MA(CLOSE, 20) - CLOSE)",MeanReversion,weight,0.0556,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
5,13,Moving Average Reversion,"(SMA(CLOSE, 20) - CLOSE)",ic,-0.0186,-0.01860155,1.550000000002938e-06,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
5,13,Moving Average Reversion,"(SMA(CLOSE, 20) - CLOSE)",weight,-0.945,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
6,15,Distance from High,"(MAX(HIGH, 20) - CLOSE)",ic,-0.0185,-0.018502602,2.6020000000008536e-06,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
6,15,Distance from High,"(MAX(HIGH, 20) - CLOSE)",weight,-0.4053,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
7,17,Relative Strength Index (RSI) Reversion,(100 - RSI),ic,0.0194,0.019377361,2.263900000000138e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
7,17,Relative Strength Index (RSI) Reversion,(100 - RSI),weight,-0.3199,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
8,20,"Bollinger Band Width - (BOLL_UP - BOLL_DOWN) / SMA(CLOSE, 20)",BollingerBandWidth,ic,0.0278,0.027805812,5.812000000000872e-06,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
8,20,"Bollinger Band Width - (BOLL_UP - BOLL_DOWN) / SMA(CLOSE, 20)",BollingerBandWidth,weight,3.6186,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
9,21,Volatility Ratio,"STD(CLOSE, 10) / STD(CLOSE, 50)",ic,0.0236,0.023559354,4.064599999999835e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
9,21,Volatility Ratio,"STD(CLOSE, 10) / STD(CLOSE, 50)",weight,-0.183,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
10,27,Sales-to-Price Ratio,VOLUME / MARKET_CAP,ic,-0.0194,-0.019427194,2.7193999999997748e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
10,27,Sales-to-Price Ratio,VOLUME / MARKET_CAP,weight,-3.2145,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
11,30,Dollar Volume,VOLUME * CLOSE,ic,0.0187,0.018661161,3.8839000000002316e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
11,30,Dollar Volume,VOLUME * CLOSE,weight,-0.0058,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
12,33,"Earnings Growth Rate - (EPS / DELAY(EPS, 1) - 1)",EarningsGrowthRate,ic,-0.0215,-0.02147137,2.862999999999824e-05,5.0000001000000005e-05,author_workbook_exact_rounding_match,True,False,data/Seed Alpha.xlsx signed IC
12,33,"Earnings Growth Rate - (EPS / DELAY(EPS, 1) - 1)",EarningsGrowthRate,weight,-1.8351,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released selected-alpha weight artifact
combined,,Weighted Combination,,ic,-0.0587,,,5.0000001000000005e-05,unverifiable_missing_trained_dnn_output,False,False,no released 12-alpha combined prediction or return path
