category,paper_selected_mean_ic,released_category_alpha_count,selected_alpha_count,same_size_subsets_in_category,candidate_rank_by_absolute_error,candidate_indices,candidate_mean_absolute_ic,absolute_error,matches_paper_at_four_decimals,is_table_3_selected_subset,is_unique_closest_subset,paper_result_credit,interpretation
Momentum,0.0208,9,3,84,1,1;3;9,0.02091725733333333,0.00011725733333333224,False,True,True,False,declared Table 3 subset is uniquely closest but does not reproduce the displayed Table 2 value
Momentum,0.0208,9,3,84,2,1;2;3,0.019540397333333334,0.0012596026666666649,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,3,2;3;9,0.019021764666666666,0.0017782353333333327,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,4,1;2;9,0.018467786666666666,0.002332213333333333,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,5,1;3;6,0.015973855333333332,0.004826144666666667,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,6,1;3;8,0.015797928666666666,0.0050020713333333335,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,7,1;3;7,0.015621528666666665,0.005178471333333334,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,8,3;6;9,0.015455222666666666,0.005344777333333333,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,9,3;8;9,0.015279296,0.0055207039999999995,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,10,3;7;9,0.015102896,0.005697104,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,11,1;6;9,0.014901244666666666,0.0058987553333333335,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,12,1;3;5,0.014837755333333333,0.0059622446666666665,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,13,1;3;4,0.014787433999999999,0.0060125660000000004,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,14,1;8;9,0.014725318,0.006074682,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,15,1;7;9,0.014548918,0.006251082,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,16,3;5;9,0.014319122666666666,0.006480877333333333,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,17,3;4;9,0.014268801333333333,0.0065311986666666665,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,18,2;3;6,0.014078362666666667,0.006721637333333332,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,19,2;3;8,0.013902436,0.006897563999999998,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,20,1;5;9,0.013765144666666666,0.007034855333333333,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,21,2;3;7,0.013726036,0.0070739639999999986,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,22,1;4;9,0.013714823333333332,0.007085176666666667,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,23,1;2;6,0.013524384666666667,0.007275615333333332,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,24,1;2;8,0.013348458,0.0074515419999999985,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,25,1;2;7,0.013172058,0.007627941999999999,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,26,2;6;9,0.013005751999999999,0.007794248,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,27,2;3;5,0.012942262666666666,0.007857737333333333,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,28,2;3;4,0.012891941333333334,0.007908058666666665,False,False,False,False,alternative same-size subset does not reproduce the displayed value
Momentum,0.0208,9,3,84,29,2;8;9,0.012829825333333333,0.007970174666666666,False,False,False,False,alternative same-size subset does not reproduce the displayed value
