category,metric,paper_value,source_absolute_ic_aggregation,absolute_error,rounding_tolerance,status,aggregation_note
Momentum,mean_ic_of_saf,0.0092,0.010208213555555555,0.0010082135555555555,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Momentum,mean_ic_of_selected_saf,0.0208,0.02091725733333333,0.00011725733333333224,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Mean Reversion,mean_ic_of_saf,0.0135,0.013537851875,3.785187499999974e-05,5.0000001000000005e-05,exact_rounding_match,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Mean Reversion,mean_ic_of_selected_saf,0.0187,0.01877076575,7.076575000000002e-05,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Volatility,mean_ic_of_saf,0.0177,0.017617976666666667,8.202333333333367e-05,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Volatility,mean_ic_of_selected_saf,0.0258,0.025682583000000002,0.00011741699999999813,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Fundamental,mean_ic_of_saf,0.0118,0.011798871,1.1289999999990197e-06,5.0000001000000005e-05,exact_rounding_match,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Fundamental,mean_ic_of_selected_saf,0.0192,0.0190441775,0.00015582249999999964,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Growth,mean_ic_of_saf,0.0146,0.014564756,3.524400000000025e-05,5.0000001000000005e-05,exact_rounding_match,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
Growth,mean_ic_of_selected_saf,0.0217,0.02147137,0.0002286300000000005,5.0000001000000005e-05,mismatch,Inferred mean absolute IC: the paper labels the measure Mean IC but reports positive category values while source rows include signed ICs.
