formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
2015-01-31,2014-07-31,2009-08-31,2014-07-31,60,uptrend,technical_miner__pair_mean__prc_highprc_252d__ret_12_1|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|technical_miner__pair_mean__ret_12_1__ret_6_1|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2015-02-28,2014-08-31,2009-09-30,2014-08-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_12_1__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2015-03-31,2014-09-30,2009-10-31,2014-09-30,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_12_1__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2015-04-30,2014-10-31,2009-11-30,2014-10-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__ret_12_1__ret_6_1|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__ret_6_1__turnover_126d|fundamental_miner__identity__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2015-05-31,2014-11-30,2009-12-31,2014-11-30,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__gp_at|technical_miner__pair_mean__ret_12_1__ret_6_1|fundamental_miner__pair_product__gp_at__ocf_at|technical_miner__pair_mean__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2015-06-30,2014-12-31,2010-01-31,2014-12-31,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__gp_at__ocf_at|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_product__gp_at__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2015-07-31,2015-01-31,2010-02-28,2015-01-31,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_product__gp_at__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2015-08-31,2015-02-28,2010-03-31,2015-02-28,60,downtrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_product__gp_at__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2015-09-30,2015-03-31,2010-04-30,2015-03-31,60,downtrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__pair_product__gp_at__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2015-10-31,2015-04-30,2010-05-31,2015-04-30,60,uptrend,risk_reversal_miner__identity__beta_60m|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__identity__prc_highprc_252d|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__f_score__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2015-11-30,2015-05-31,2010-06-30,2015-05-31,60,uptrend,technical_miner__identity__prc_highprc_252d|fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__ret_12_1__ret_6_1|fundamental_miner__identity__be_me,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
