formation_month,reward_cutoff,maintenance_start,maintenance_end,maintenance_months,market_regime,selected_candidates,selected_miners,selected_factor_count,finite_scores
2019-08-31,2019-02-28,2014-03-31,2019-02-28,60,uptrend,fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|fundamental_miner__identity__gp_at|fundamental_miner__identity__f_score|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner,5,1000
2019-09-30,2019-03-31,2014-04-30,2019-03-31,60,uptrend,fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__identity__f_score,fundamental_miner|risk_reversal_miner,5,1000
2019-10-31,2019-04-30,2014-05-31,2019-04-30,60,uptrend,fundamental_miner__pair_mean__be_me__f_score|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|fundamental_miner__identity__be_me|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_mean__prc_highprc_252d__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-11-30,2019-05-31,2014-06-30,2019-05-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_mean__prc_highprc_252d__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2019-12-31,2019-06-30,2014-07-31,2019-06-30,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__pair_mean__beta_60m__ret_1_0,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-01-31,2019-07-31,2014-08-31,2019-07-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__ret_6_1|fundamental_miner__pair_mean__be_me__f_score|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__identity__turnover_126d,fundamental_miner|technical_miner,5,1000
2020-02-29,2019-08-31,2014-09-30,2019-08-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|fundamental_miner__pair_mean__f_score__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-03-31,2019-09-30,2014-10-31,2019-09-30,60,downtrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__identity__ret_1_0|risk_reversal_miner__pair_mean__beta_60m__ret_1_0,fundamental_miner|risk_reversal_miner,5,1000
2020-04-30,2019-10-31,2014-11-30,2019-10-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|risk_reversal_miner__pair_mean__beta_60m__ret_1_0,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-05-31,2019-11-30,2014-12-31,2019-11-30,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__identity__ret_12_1|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-06-30,2019-12-31,2015-01-31,2019-12-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__beta_60m__ret_1_0|fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_product__prc_highprc_252d__ret_12_1|fundamental_miner__identity__f_score,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-07-31,2020-01-31,2015-02-28,2020-01-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__identity__f_score|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|technical_miner,5,1000
2020-08-31,2020-02-29,2015-03-31,2020-02-29,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__be_me__ocf_at|fundamental_miner__identity__ocf_at|fundamental_miner__identity__f_score,fundamental_miner|technical_miner,5,1000
2020-09-30,2020-03-31,2015-04-30,2020-03-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_12_1|technical_miner__identity__turnover_126d|fundamental_miner__identity__ocf_at,fundamental_miner|technical_miner,5,1000
2020-10-31,2020-04-30,2015-05-31,2020-04-30,60,uptrend,fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__turnover_126d|technical_miner__identity__ret_12_1|fundamental_miner__identity__f_score,fundamental_miner|technical_miner,5,1000
2020-11-30,2020-05-31,2015-06-30,2020-05-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__identity__f_score|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2020-12-31,2020-06-30,2015-07-31,2020-06-30,60,uptrend,fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d|technical_miner__identity__ret_12_1,fundamental_miner|technical_miner,5,1000
2021-01-31,2020-07-31,2015-08-31,2020-07-31,60,uptrend,fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-02-28,2020-08-31,2015-09-30,2020-08-31,60,uptrend,technical_miner__identity__turnover_126d|fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|risk_reversal_miner__identity__beta_60m,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-03-31,2020-09-30,2015-10-31,2020-09-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|fundamental_miner__pair_mean__be_me__f_score,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-04-30,2020-10-31,2015-11-30,2020-10-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__identity__prc_highprc_252d,risk_reversal_miner|technical_miner,5,1000
2021-05-31,2020-11-30,2015-12-31,2020-11-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rmax5_21d|technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|technical_miner__identity__prc_highprc_252d|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2021-06-30,2020-12-31,2016-01-31,2020-12-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__identity__prc_highprc_252d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2021-07-31,2021-01-31,2016-02-29,2021-01-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__identity__turnover_126d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2021-08-31,2021-02-28,2016-03-31,2021-02-28,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__identity__turnover_126d|fundamental_miner__identity__be_me|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-09-30,2021-03-31,2016-04-30,2021-03-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__identity__turnover_126d|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-10-31,2021-04-30,2016-05-31,2021-04-30,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__pair_product__prc_highprc_252d__ret_12_1|technical_miner__identity__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-11-30,2021-05-31,2016-06-30,2021-05-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__be_me|technical_miner__pair_product__prc_highprc_252d__ret_12_1|technical_miner__identity__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2021-12-31,2021-06-30,2016-07-31,2021-06-30,60,uptrend,technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m|fundamental_miner__identity__be_me|technical_miner__identity__prc_highprc_252d|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-01-31,2021-07-31,2016-08-31,2021-07-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_12_1|fundamental_miner__identity__be_me|fundamental_miner__pair_product__be_me__gp_at|technical_miner__pair_product__prc_highprc_252d__ret_12_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-02-28,2021-08-31,2016-09-30,2021-08-31,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_12_1|fundamental_miner__pair_product__be_me__gp_at|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-03-31,2021-09-30,2016-10-31,2021-09-30,60,uptrend,fundamental_miner__pair_mean__be_me__ocf_at|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__pair_product__be_me__gp_at|fundamental_miner__pair_product__be_me__ocf_at|fundamental_miner__pair_product__be_me__f_score,fundamental_miner|technical_miner,5,1000
2022-04-30,2021-10-31,2016-11-30,2021-10-31,60,downtrend,fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__identity__rvol_21d|fundamental_miner__pair_product__be_me__ocf_at|fundamental_miner__pair_product__be_me__gp_at|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d,fundamental_miner|risk_reversal_miner,5,1000
2022-05-31,2021-11-30,2016-12-31,2021-11-30,60,downtrend,fundamental_miner__pair_mean__be_me__ocf_at|risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-06-30,2021-12-31,2017-01-31,2021-12-31,60,downtrend,risk_reversal_miner__identity__rvol_21d|fundamental_miner__identity__be_me|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|fundamental_miner__pair_product__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-07-31,2022-01-31,2017-02-28,2022-01-31,60,downtrend,risk_reversal_miner__identity__rvol_21d|fundamental_miner__identity__be_me|technical_miner__pair_mean__ret_6_1__turnover_126d|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|technical_miner__pair_mean__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-08-31,2022-02-28,2017-03-31,2022-02-28,60,downtrend,risk_reversal_miner__identity__rvol_21d|fundamental_miner__identity__be_me|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-09-30,2022-03-31,2017-04-30,2022-03-31,60,downtrend,risk_reversal_miner__identity__rvol_21d|fundamental_miner__identity__be_me|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|technical_miner__identity__prc_highprc_252d|risk_reversal_miner__pair_mean__ret_1_0__rmax5_21d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-10-31,2022-04-30,2017-05-31,2022-04-30,60,uptrend,fundamental_miner__identity__be_me|risk_reversal_miner__identity__rvol_21d|technical_miner__identity__prc_highprc_252d|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|technical_miner__pair_product__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-11-30,2022-05-31,2017-06-30,2022-05-31,60,uptrend,risk_reversal_miner__identity__rvol_21d|fundamental_miner__identity__be_me|technical_miner__identity__prc_highprc_252d|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__pair_product__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2022-12-31,2022-06-30,2017-07-31,2022-06-30,60,uptrend,risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|technical_miner__identity__turnover_126d|fundamental_miner__identity__be_me|technical_miner__identity__prc_highprc_252d|technical_miner__pair_mean__ret_6_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-01-31,2022-07-31,2017-08-31,2022-07-31,60,uptrend,risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|technical_miner__identity__turnover_126d|fundamental_miner__identity__be_me|technical_miner__identity__prc_highprc_252d|technical_miner__pair_product__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-02-28,2022-08-31,2017-09-30,2022-08-31,60,uptrend,risk_reversal_miner__identity__rvol_21d|technical_miner__identity__turnover_126d|technical_miner__identity__prc_highprc_252d|fundamental_miner__identity__be_me|technical_miner__pair_product__ret_12_1__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-03-31,2022-09-30,2017-10-31,2022-09-30,60,uptrend,technical_miner__identity__prc_highprc_252d|risk_reversal_miner__identity__rvol_21d|technical_miner__pair_product__ret_12_1__turnover_126d|technical_miner__pair_product__prc_highprc_252d__turnover_126d|fundamental_miner__pair_mean__be_me__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-04-30,2022-10-31,2017-11-30,2022-10-31,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__pair_mean__rmax5_21d__rvol_21d|technical_miner__identity__prc_highprc_252d|technical_miner__pair_product__prc_highprc_252d__ret_12_1|technical_miner__pair_product__ret_12_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2023-05-31,2022-11-30,2017-12-31,2022-11-30,60,uptrend,technical_miner__identity__turnover_126d|risk_reversal_miner__identity__rmax5_21d|technical_miner__pair_product__prc_highprc_252d__ret_12_1|technical_miner__pair_product__prc_highprc_252d__turnover_126d|technical_miner__pair_product__ret_12_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2023-06-30,2022-12-31,2018-01-31,2022-12-31,60,uptrend,technical_miner__pair_product__prc_highprc_252d__ret_12_1|fundamental_miner__identity__gp_at|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-07-31,2023-01-31,2018-02-28,2023-01-31,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__pair_product__prc_highprc_252d__ret_12_1|technical_miner__pair_mean__prc_highprc_252d__turnover_126d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-08-31,2023-02-28,2018-03-31,2023-02-28,60,uptrend,fundamental_miner__identity__gp_at|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|fundamental_miner__pair_mean__be_me__f_score|technical_miner__identity__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-09-30,2023-03-31,2018-04-30,2023-03-31,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__ocf_at|technical_miner__identity__ret_6_1,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-10-31,2023-04-30,2018-05-31,2023-04-30,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__ocf_at|fundamental_miner__pair_mean__f_score__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-11-30,2023-05-31,2018-06-30,2023-05-31,60,uptrend,fundamental_miner__identity__gp_at|risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|technical_miner__identity__ret_6_1|fundamental_miner__identity__ocf_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2023-12-31,2023-06-30,2018-07-31,2023-06-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__prc_highprc_252d__ret_12_1|fundamental_miner__identity__gp_at|technical_miner__identity__ret_6_1|fundamental_miner__pair_mean__f_score__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2024-01-31,2023-07-31,2018-08-31,2023-07-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__identity__prc_highprc_252d|fundamental_miner__identity__gp_at|technical_miner__identity__ret_12_1|fundamental_miner__pair_mean__f_score__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2024-02-29,2023-08-31,2018-09-30,2023-08-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|fundamental_miner__identity__gp_at|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d|fundamental_miner__pair_mean__f_score__gp_at|risk_reversal_miner__pair_product__beta_60m__rvol_21d,fundamental_miner|risk_reversal_miner,5,1000
2024-03-31,2023-09-30,2018-10-31,2023-09-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|fundamental_miner__pair_mean__gp_at__ocf_at|risk_reversal_miner__pair_product__beta_60m__rvol_21d|technical_miner__pair_product__prc_highprc_252d__ret_6_1|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2024-04-30,2023-10-31,2018-11-30,2023-10-31,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|fundamental_miner__pair_mean__f_score__gp_at|fundamental_miner__identity__gp_at,fundamental_miner|risk_reversal_miner|technical_miner,5,1000
2024-05-31,2023-11-30,2018-12-31,2023-11-30,60,uptrend,risk_reversal_miner__pair_mean__beta_60m__rvol_21d|technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__pair_product__beta_60m__rmax5_21d|technical_miner__pair_mean__ret_6_1__turnover_126d|risk_reversal_miner__pair_mean__ret_1_0__rvol_21d,risk_reversal_miner|technical_miner,5,1000
2024-06-30,2023-12-31,2019-01-31,2023-12-31,60,uptrend,risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_12_1|technical_miner__pair_mean__ret_6_1__turnover_126d|risk_reversal_miner__pair_product__beta_60m__rmax5_21d,risk_reversal_miner|technical_miner,5,1000
2024-07-31,2024-01-31,2019-02-28,2024-01-31,60,uptrend,technical_miner__pair_mean__ret_12_1__turnover_126d|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_12_1|technical_miner__pair_mean__ret_6_1__turnover_126d|technical_miner__identity__ret_6_1,risk_reversal_miner|technical_miner,5,1000
2024-08-31,2024-02-29,2019-03-31,2024-02-29,60,uptrend,technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__ret_6_1|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2024-09-30,2024-03-31,2019-04-30,2024-03-31,60,uptrend,technical_miner__identity__ret_12_1|risk_reversal_miner__identity__beta_60m|technical_miner__identity__ret_6_1|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__pair_mean__ret_6_1__turnover_126d,risk_reversal_miner|technical_miner,5,1000
2024-10-31,2024-04-30,2019-05-31,2024-04-30,60,uptrend,technical_miner__identity__ret_12_1|fundamental_miner__identity__gp_at|technical_miner__identity__ret_6_1|technical_miner__pair_mean__ret_12_1__turnover_126d|technical_miner__identity__prc_highprc_252d,fundamental_miner|technical_miner,5,1000
2024-11-30,2024-05-31,2019-06-30,2024-05-31,60,uptrend,technical_miner__identity__ret_12_1|fundamental_miner__identity__gp_at|technical_miner__identity__ret_6_1|technical_miner__pair_mean__ret_12_1__turnover_126d|fundamental_miner__pair_mean__be_me__gp_at,fundamental_miner|technical_miner,5,1000
