prompt_version,window_start,window_end,window_decisions,window_roi,feedback_score,hold_threshold,next_hold_threshold,update_applied,buy_count,hold_count,sell_count,finite_scores,analyst_weight__market,standalone_roi__market,next_analyst_weight__market,analyst_weight__news,standalone_roi__news,next_analyst_weight__news,analyst_weight__fundamental,standalone_roi__fundamental,next_analyst_weight__fundamental
0,1999-07-31,1999-11-30,5,0.4747974626935838,100.0,0.1,0.08,True,1468,2239,1293,5000,0.3333333333333333,0.09477961252168932,0.2910010866945518,0.3333333333333333,0.7166035120865666,0.45542788818203606,0.3333333333333333,-0.09636264883876,0.2535710251234122
1,1999-12-31,2000-04-30,5,-0.04904147694932137,37.739630762669655,0.08,0.13,True,1492,2177,1331,5000,0.2910010866945518,-0.11623124473650426,0.25295100244613145,0.45542788818203606,-0.13557594430223296,0.3803115920637379,0.2535710251234122,0.1292868413741548,0.3667374054901307
2,2000-05-31,2000-09-30,5,-0.13837345586760819,15.406636033097953,0.13,0.18,True,1247,2576,1177,5000,0.25295100244613145,0.11363462593320484,0.3559194483898521,0.3803115920637379,-0.1398250418967708,0.2921063996047355,0.3667374054901307,-0.046550174200649,0.3519741520054124
3,2000-10-31,2001-02-28,5,0.02478856426457776,56.19714106614444,0.18,0.16,True,1077,2954,969,5000,0.3559194483898521,0.10394846659289492,0.37561295291700264,0.2921063996047355,-0.42560615528542656,0.1972499773349419,0.3519741520054124,0.26962505193630437,0.4271370697480555
4,2001-03-31,2001-07-31,5,0.042100546866258526,60.52513671656463,0.16,0.14,True,1188,2687,1125,5000,0.37561295291700264,0.06488615704170275,0.36827099222084775,0.1972499773349419,-0.20549022137135797,0.12793565424242773,0.4271370697480555,0.185809232637681,0.5037933535367245
5,2001-08-31,2001-12-31,5,0.06038573235858036,65.09643308964509,0.14,0.12000000000000001,True,1370,2354,1276,5000,0.36827099222084775,-0.14326085721288961,0.2602501004913539,0.12793565424242773,-0.06430764970498093,0.10257375388997649,0.5037933535367245,0.22079647978596184,0.6371761456186695
6,2002-01-31,2002-05-31,5,0.28570729548653917,100.0,0.12000000000000001,0.1,True,1622,1832,1546,5000,0.2602501004913539,0.5265074729197512,0.3378447479610109,0.10257375388997649,-0.023728065456982472,0.07226207227987168,0.6371761456186695,0.22219118193931942,0.5898931797591175
7,2002-06-30,2002-10-31,5,-0.09222521972101072,26.94369506974732,0.1,0.15000000000000002,True,1663,1782,1555,5000,0.3378447479610109,-0.37066527710428854,0.22518849256751344,0.07226207227987168,-0.02135758759336137,0.07731362505575981,0.5898931797591175,0.05244812763644324,0.6974978823767267
8,2002-11-30,2003-03-31,5,0.036883753122811225,59.22093828070281,0.15000000000000002,0.13000000000000003,True,1588,1923,1489,5000,0.22518849256751344,0.0807274376542888,0.2600329227118377,0.07731362505575981,-0.12861535287159342,0.04947481563212658,0.6974978823767267,0.026123407395647336,0.6904922616560357
9,2003-04-30,2003-08-31,5,-0.13694831158454102,15.762922103864746,0.13000000000000003,0.18000000000000005,True,1620,1796,1584,5000,0.2600329227118377,-0.20689748653774886,0.19639047544097007,0.04947481563212658,0.05096637902238221,0.06882754598384665,0.6904922616560357,-0.062156015198321146,0.7347819785751833
