candidate,family,operation,available_round,orientation,rankic_ir,pearson_ic_ir,long_short_mean,turnover,coverage,complexity,base_score
range__identity__bidaskhl_21d,range,identity,1,1,0.019537847211970123,0.07329171040962669,0.0022898617350188702,0.6377748478904315,0.9949523809523809,1,-0.17118487133507737
range__identity__prc_highprc_252d,range,identity,1,1,0.0035623024095834802,0.012731499738774618,-0.0010241341948057537,0.8537356267013625,0.9788888888888889,1,-0.5673795972262123
range__identity__rmax5_21d,range,identity,1,-1,0.11311585295251335,0.04812421218415734,0.0010196025866213141,0.8032128378581801,0.9847142857142858,1,-0.1380450573196394
range__identity__rmax5_rvol_21d,range,identity,1,-1,0.28508200390171556,0.2560739864020002,0.006015149327041493,0.9085419973417965,0.9716904761904762,1,0.6156035080863471
range__pair_mean__bidaskhl_21d__prc_highprc_252d,range,pair_mean,1,1,0.012966345526523692,0.07398902473604971,0.004734040203881132,0.7690948757939863,0.9783968253968254,3,-0.1689784229024584
range__pair_product__bidaskhl_21d__prc_highprc_252d,range,pair_product,2,1,0.31153301143242196,0.21917198867392074,0.003804796948011881,0.8274213084685245,0.9783968253968254,3,0.5039762347878768
range__pair_difference__bidaskhl_21d__prc_highprc_252d,range,pair_difference,2,1,0.012466967977691607,0.033100202953667314,0.0011554155224763202,0.5827374458760852,0.9783968253968254,3,-0.39543575563181066
range__pair_mean__bidaskhl_21d__rmax5_21d,range,pair_mean,1,-1,0.05834826266292958,0.005994442578126937,-0.0013280890580177806,0.740242323263012,0.9845238095238096,3,-0.4837668940200911
range__pair_product__bidaskhl_21d__rmax5_21d,range,pair_product,2,-1,0.11471865333887904,0.029879932568972794,0.00012409447123653007,0.9154761361914956,0.9845238095238096,3,-0.27083943946642586
range__pair_difference__bidaskhl_21d__rmax5_21d,range,pair_difference,2,1,0.22951691742515576,0.21717190901769243,0.0055879340951640434,0.8601531054323778,0.9845238095238096,3,0.5729220116169733
range__pair_mean__bidaskhl_21d__rmax5_rvol_21d,range,pair_mean,1,-1,0.1267170212284916,0.05384964440099922,0.00032875814437500036,0.856568016621474,0.9715714285714285,3,-0.22220474922787417
range__pair_product__bidaskhl_21d__rmax5_rvol_21d,range,pair_product,2,-1,0.05806924575818738,0.10615914315896574,0.004058865894385223,0.9127626210252084,0.9715714285714285,3,-0.11233442091442186
range__pair_difference__bidaskhl_21d__rmax5_rvol_21d,range,pair_difference,2,1,0.1620485707566204,0.1740869557669548,0.007967067415434532,0.8517580912613106,0.9715714285714285,3,0.44765719861828734
range__pair_mean__prc_highprc_252d__rmax5_21d,range,pair_mean,1,-1,0.10699618640986612,0.03897644506049973,0.0016878705097983962,0.821140362962303,0.9706904761904762,3,-0.23403462630116423
range__pair_product__prc_highprc_252d__rmax5_21d,range,pair_product,2,1,0.4179952414264323,0.3868931744290055,0.008470440681961476,0.891371091990999,0.9706904761904762,3,0.6438496478829207
range__pair_difference__prc_highprc_252d__rmax5_21d,range,pair_difference,2,1,0.07102911531645545,0.03550132007691579,0.0036856690959745616,0.6793893573674171,0.9706904761904762,3,-0.18187341281787717
range__pair_mean__prc_highprc_252d__rmax5_rvol_21d,range,pair_mean,1,-1,0.10935702378744488,0.08518263639238641,0.00736882038577985,0.8362907793053254,0.9706904761904762,3,0.12867714416073658
range__pair_product__prc_highprc_252d__rmax5_rvol_21d,range,pair_product,2,1,0.05448059691387116,0.09727644062324385,0.004201917743618876,0.9152526152681049,0.9706904761904762,3,-0.1349507690301397
range__pair_difference__prc_highprc_252d__rmax5_rvol_21d,range,pair_difference,2,1,0.15216855294669346,0.14379778880986333,0.005504748451638124,0.8436915941974229,0.9706904761904762,3,0.32015529414049626
range__pair_mean__rmax5_21d__rmax5_rvol_21d,range,pair_mean,1,-1,0.20251403461944276,0.1366141430978245,0.004064454918487713,0.9026649826599141,0.9716904761904762,3,0.3337958778758173
range__pair_product__rmax5_21d__rmax5_rvol_21d,range,pair_product,2,-1,0.013977642440151167,0.032751667468254635,0.002014814716981536,0.7894611417173052,0.9716904761904762,3,-0.4382736678887996
range__pair_difference__rmax5_21d__rmax5_rvol_21d,range,pair_difference,2,1,0.016305876629556657,0.052041394147870255,0.005351539049076305,0.6611502640703019,0.9716904761904762,3,-0.17017229100839662
range__positive_gate__bidaskhl_21d__prc_highprc_252d,range,positive_gate,3,1,0.10080609142031587,0.14196115765776332,0.004887083557017961,0.7468696854917493,0.9949523809523809,4,0.19104822808541078
range__positive_gate__bidaskhl_21d__rmax5_21d,range,positive_gate,3,-1,0.010417727421398374,0.04807124855171323,-0.0033133420899451632,0.8972397219973615,0.9949523809523809,4,-0.597341727511232
range__positive_gate__bidaskhl_21d__rmax5_rvol_21d,range,positive_gate,3,1,0.005020694694374451,0.029016344716497,0.0015596813266072305,0.8198410067769257,0.9949523809523809,4,-0.4573843548570577
range__positive_gate__prc_highprc_252d__bidaskhl_21d,range,positive_gate,3,1,0.0860951207384307,0.08049832768237199,0.0024060203288179946,0.8196623343224899,0.9788888888888889,4,-0.18969529425147508
range__positive_gate__prc_highprc_252d__rmax5_21d,range,positive_gate,3,1,0.12862687542901255,0.12789005657640984,0.003944022614043331,0.8700852138707131,0.9788888888888889,4,0.1310988584313016
