seed,lookback,regime,metric,paper_value,recomputed_value,absolute_error,display_match,action_sha256,action_counts
0,5,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,5,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,5,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,5,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,5,sideways,total_return_pct,1.27,1.256891013715,0.013108986285,False,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}"
0,5,sideways,daily_return_mean_pct,0.02,0.017180232797,0.002819767203,True,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}"
0,5,sideways,daily_return_std_pct,1.11,0.117198201223,0.992801798777,False,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}"
0,5,sideways,sharpe_ratio,0.15,0.146591266912,0.003408733088,True,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}"
0,10,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,10,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,10,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,10,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,10,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,10,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,10,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,10,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,10,sideways,total_return_pct,1.27,1.265545864661,0.004454135339,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,10,sideways,daily_return_mean_pct,0.02,0.017293198427,0.002706801573,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,10,sideways,daily_return_std_pct,1.11,0.11361322968,0.99638677032,False,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,10,sideways,sharpe_ratio,0.15,0.152211133122,0.002211133122,True,c6327a3fbbc159bd4fa251e8884b8476fd2e94f2b117dc3bf1d2e71071f9cdd8,"{""Sell"": 72}"
0,20,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,20,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,20,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,20,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}"
0,20,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,20,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
0,20,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}"
