asset,strategy,regime,metric,paper_value,fixed5_observations,fixed5_matches,fixed5_unique_values,fixed5_min,fixed5_max,fixed5_unique_action_paths,seed_lookback_observations,seed_lookback_matches,seed_lookback_unique_values,seed_lookback_min,seed_lookback_max,seed_lookback_unique_action_paths,source_default_correspondence,protocol_robust_paper_result_credit,exact_declared_runtime_reproduced,status
eth,lstm,bull,total_return_pct,22.12,20,20,1,22.124418906647,22.124418906647,1,60,30,22,0.136978403444,22.124418906647,22,True,False,False,source_default_match_protocol_tie_sensitive_no_credit
eth,lstm,bull,daily_return_mean_pct,0.36,20,20,1,0.355521473343,0.355521473343,1,60,30,22,0.002290227524,0.355521473343,22,True,False,False,source_default_match_protocol_tie_sensitive_no_credit
eth,lstm,bull,daily_return_std_pct,2.59,20,20,1,2.593342208069,2.593342208069,1,60,30,22,0.128534153794,2.593342208069,22,True,False,False,source_default_match_protocol_tie_sensitive_no_credit
eth,lstm,bull,sharpe_ratio,0.14,20,20,1,0.137090073279,0.137090073279,1,60,33,22,0.01330897834,0.142007292096,22,True,False,False,source_default_match_protocol_tie_sensitive_no_credit
eth,lstm,sideways,total_return_pct,1.27,20,8,7,-1.190104356653,1.878864738313,7,60,34,18,-6.999361384961,1.878864738313,18,False,False,False,seed_or_lookback_sensitive_no_credit
eth,lstm,sideways,daily_return_mean_pct,0.02,20,10,7,-0.016183939534,0.025666285887,7,60,36,18,-0.098261475595,0.025666285887,18,False,False,False,seed_or_lookback_sensitive_no_credit
eth,lstm,sideways,daily_return_std_pct,1.11,20,0,7,0.11361322968,0.207319617484,7,60,0,18,0.11361322968,1.892942965348,18,False,False,False,seed_or_lookback_sensitive_no_credit
eth,lstm,sideways,sharpe_ratio,0.15,20,10,7,-0.078062750309,0.152211133122,7,60,35,18,-0.210589153694,0.152211133122,18,False,False,False,seed_or_lookback_sensitive_no_credit
eth,lstm,bear,total_return_pct,-13.22,20,20,1,-13.223477672656,-13.223477672656,1,60,60,1,-13.223477672656,-13.223477672656,1,True,True,False,native_lstm_seed_and_lookback_robust_match
eth,lstm,bear,daily_return_mean_pct,-0.19,20,20,1,-0.186669798829,-0.186669798829,1,60,60,1,-0.186669798829,-0.186669798829,1,True,True,False,native_lstm_seed_and_lookback_robust_match
eth,lstm,bear,daily_return_std_pct,2.36,20,20,1,2.356217776528,2.356217776528,1,60,60,1,2.356217776528,2.356217776528,1,True,True,False,native_lstm_seed_and_lookback_robust_match
eth,lstm,bear,sharpe_ratio,-0.08,20,20,1,-0.079224340249,-0.079224340249,1,60,60,1,-0.079224340249,-0.079224340249,1,True,True,False,native_lstm_seed_and_lookback_robust_match
