regime,decision_date,decision_price,passed_start,passed_end,lookback,scaler_rows,future_scaler_rows,future_supervised_target_rows,future_inference_rows,comparison_price_date,inference_window_end,tomorrow_relative_to_decision,model_nominal_forecast_date,temporally_valid,census_only_no_model_or_portfolio_result
bear,2023-04-12,1892.938911,2023-04-12,2023-06-16,5,66,65,61,5,2023-06-16,2023-06-16,2023-04-13,2023-06-17,False,True
bear,2023-04-13,1920.223031,2023-04-12,2023-06-16,5,66,64,61,5,2023-06-16,2023-06-16,2023-04-14,2023-06-17,False,True
bear,2023-04-14,2012.785415,2023-04-12,2023-06-16,5,66,63,61,5,2023-06-16,2023-06-16,2023-04-15,2023-06-17,False,True
bear,2023-04-15,2102.946188,2023-04-12,2023-06-16,5,66,62,61,5,2023-06-16,2023-06-16,2023-04-16,2023-06-17,False,True
bear,2023-04-16,2093.166331,2023-04-12,2023-06-16,5,66,61,61,5,2023-06-16,2023-06-16,2023-04-17,2023-06-17,False,True
bear,2023-04-17,2118.598789,2023-04-12,2023-06-16,5,66,60,60,5,2023-06-16,2023-06-16,2023-04-18,2023-06-17,False,True
bear,2023-04-18,2077.535665,2023-04-12,2023-06-16,5,66,59,59,5,2023-06-16,2023-06-16,2023-04-19,2023-06-17,False,True
bear,2023-04-19,2103.278814,2023-04-12,2023-06-16,5,66,58,58,5,2023-06-16,2023-06-16,2023-04-20,2023-06-17,False,True
bear,2023-04-20,1936.425921,2023-04-12,2023-06-16,5,66,57,57,5,2023-06-16,2023-06-16,2023-04-21,2023-06-17,False,True
bear,2023-04-21,1943.435598,2023-04-12,2023-06-16,5,66,56,56,5,2023-06-16,2023-06-16,2023-04-22,2023-06-17,False,True
bear,2023-04-22,1850.149738,2023-04-12,2023-06-16,5,66,55,55,5,2023-06-16,2023-06-16,2023-04-23,2023-06-17,False,True
bear,2023-04-23,1877.541328,2023-04-12,2023-06-16,5,66,54,54,5,2023-06-16,2023-06-16,2023-04-24,2023-06-17,False,True
bear,2023-04-24,1863.639142,2023-04-12,2023-06-16,5,66,53,53,5,2023-06-16,2023-06-16,2023-04-25,2023-06-17,False,True
bear,2023-04-25,1842.630792,2023-04-12,2023-06-16,5,66,52,52,5,2023-06-16,2023-06-16,2023-04-26,2023-06-17,False,True
bear,2023-04-26,1870.565223,2023-04-12,2023-06-16,5,66,51,51,5,2023-06-16,2023-06-16,2023-04-27,2023-06-17,False,True
bear,2023-04-27,1867.589325,2023-04-12,2023-06-16,5,66,50,50,5,2023-06-16,2023-06-16,2023-04-28,2023-06-17,False,True
bear,2023-04-28,1910.456779,2023-04-12,2023-06-16,5,66,49,49,5,2023-06-16,2023-06-16,2023-04-29,2023-06-17,False,True
bear,2023-04-29,1894.428084,2023-04-12,2023-06-16,5,66,48,48,5,2023-06-16,2023-06-16,2023-04-30,2023-06-17,False,True
bear,2023-04-30,1905.273852,2023-04-12,2023-06-16,5,66,47,47,5,2023-06-16,2023-06-16,2023-05-01,2023-06-17,False,True
bear,2023-05-01,1885.391935,2023-04-12,2023-06-16,5,66,46,46,5,2023-06-16,2023-06-16,2023-05-02,2023-06-17,False,True
bear,2023-05-02,1832.725799,2023-04-12,2023-06-16,5,66,45,45,5,2023-06-16,2023-06-16,2023-05-03,2023-06-17,False,True
bear,2023-05-03,1870.828573,2023-04-12,2023-06-16,5,66,44,44,5,2023-06-16,2023-06-16,2023-05-04,2023-06-17,False,True
bear,2023-05-04,1903.728211,2023-04-12,2023-06-16,5,66,43,43,5,2023-06-16,2023-06-16,2023-05-05,2023-06-17,False,True
bear,2023-05-05,1877.401195,2023-04-12,2023-06-16,5,66,42,42,5,2023-06-16,2023-06-16,2023-05-06,2023-06-17,False,True
bear,2023-05-06,1993.612966,2023-04-12,2023-06-16,5,66,41,41,5,2023-06-16,2023-06-16,2023-05-07,2023-06-17,False,True
bear,2023-05-07,1900.410599,2023-04-12,2023-06-16,5,66,40,40,5,2023-06-16,2023-06-16,2023-05-08,2023-06-17,False,True
bear,2023-05-08,1895.230148,2023-04-12,2023-06-16,5,66,39,39,5,2023-06-16,2023-06-16,2023-05-09,2023-06-17,False,True
bear,2023-05-09,1849.28863,2023-04-12,2023-06-16,5,66,38,38,5,2023-06-16,2023-06-16,2023-05-10,2023-06-17,False,True
bear,2023-05-10,1846.064264,2023-04-12,2023-06-16,5,66,37,37,5,2023-06-16,2023-06-16,2023-05-11,2023-06-17,False,True
bear,2023-05-11,1842.865559,2023-04-12,2023-06-16,5,66,36,36,5,2023-06-16,2023-06-16,2023-05-12,2023-06-17,False,True
bear,2023-05-12,1798.071946,2023-04-12,2023-06-16,5,66,35,35,5,2023-06-16,2023-06-16,2023-05-13,2023-06-17,False,True
bear,2023-05-13,1808.695,2023-04-12,2023-06-16,5,66,34,34,5,2023-06-16,2023-06-16,2023-05-14,2023-06-17,False,True
bear,2023-05-14,1797.19947,2023-04-12,2023-06-16,5,66,33,33,5,2023-06-16,2023-06-16,2023-05-15,2023-06-17,False,True
bear,2023-05-15,1799.008659,2023-04-12,2023-06-16,5,66,32,32,5,2023-06-16,2023-06-16,2023-05-16,2023-06-17,False,True
bear,2023-05-16,1820.04476,2023-04-12,2023-06-16,5,66,31,31,5,2023-06-16,2023-06-16,2023-05-17,2023-06-17,False,True
bear,2023-05-17,1823.663018,2023-04-12,2023-06-16,5,66,30,30,5,2023-06-16,2023-06-16,2023-05-18,2023-06-17,False,True
bear,2023-05-18,1821.050635,2023-04-12,2023-06-16,5,66,29,29,5,2023-06-16,2023-06-16,2023-05-19,2023-06-17,False,True
bear,2023-05-19,1802.390955,2023-04-12,2023-06-16,5,66,28,28,5,2023-06-16,2023-06-16,2023-05-20,2023-06-17,False,True
bear,2023-05-20,1812.131704,2023-04-12,2023-06-16,5,66,27,27,5,2023-06-16,2023-06-16,2023-05-21,2023-06-17,False,True
bear,2023-05-21,1818.96953,2023-04-12,2023-06-16,5,66,26,26,5,2023-06-16,2023-06-16,2023-05-22,2023-06-17,False,True
bear,2023-05-22,1804.929067,2023-04-12,2023-06-16,5,66,25,25,5,2023-06-16,2023-06-16,2023-05-23,2023-06-17,False,True
bear,2023-05-23,1818.401464,2023-04-12,2023-06-16,5,66,24,24,5,2023-06-16,2023-06-16,2023-05-24,2023-06-17,False,True
bear,2023-05-24,1854.193118,2023-04-12,2023-06-16,5,66,23,23,5,2023-06-16,2023-06-16,2023-05-25,2023-06-17,False,True
bear,2023-05-25,1800.73601,2023-04-12,2023-06-16,5,66,22,22,5,2023-06-16,2023-06-16,2023-05-26,2023-06-17,False,True
bear,2023-05-26,1805.80576,2023-04-12,2023-06-16,5,66,21,21,5,2023-06-16,2023-06-16,2023-05-27,2023-06-17,False,True
bear,2023-05-27,1828.956537,2023-04-12,2023-06-16,5,66,20,20,5,2023-06-16,2023-06-16,2023-05-28,2023-06-17,False,True
bear,2023-05-28,1830.306651,2023-04-12,2023-06-16,5,66,19,19,5,2023-06-16,2023-06-16,2023-05-29,2023-06-17,False,True
bear,2023-05-29,1913.816249,2023-04-12,2023-06-16,5,66,18,18,5,2023-06-16,2023-06-16,2023-05-30,2023-06-17,False,True
bear,2023-05-30,1893.714274,2023-04-12,2023-06-16,5,66,17,17,5,2023-06-16,2023-06-16,2023-05-31,2023-06-17,False,True
bear,2023-05-31,1901.07831,2023-04-12,2023-06-16,5,66,16,16,5,2023-06-16,2023-06-16,2023-06-01,2023-06-17,False,True
bear,2023-06-01,1874.694885,2023-04-12,2023-06-16,5,66,15,15,5,2023-06-16,2023-06-16,2023-06-02,2023-06-17,False,True
bear,2023-06-02,1861.725387,2023-04-12,2023-06-16,5,66,14,14,5,2023-06-16,2023-06-16,2023-06-03,2023-06-17,False,True
bear,2023-06-03,1907.212322,2023-04-12,2023-06-16,5,66,13,13,5,2023-06-16,2023-06-16,2023-06-04,2023-06-17,False,True
bear,2023-06-04,1892.078176,2023-04-12,2023-06-16,5,66,12,12,5,2023-06-16,2023-06-16,2023-06-05,2023-06-17,False,True
bear,2023-06-05,1893.17828,2023-04-12,2023-06-16,5,66,11,11,5,2023-06-16,2023-06-16,2023-06-06,2023-06-17,False,True
bear,2023-06-06,1813.681655,2023-04-12,2023-06-16,5,66,10,10,5,2023-06-16,2023-06-16,2023-06-07,2023-06-17,False,True
bear,2023-06-07,1883.242585,2023-04-12,2023-06-16,5,66,9,9,5,2023-06-16,2023-06-16,2023-06-08,2023-06-17,False,True
bear,2023-06-08,1832.320403,2023-04-12,2023-06-16,5,66,8,8,5,2023-06-16,2023-06-16,2023-06-09,2023-06-17,False,True
bear,2023-06-09,1846.030002,2023-04-12,2023-06-16,5,66,7,7,5,2023-06-16,2023-06-16,2023-06-10,2023-06-17,False,True
bear,2023-06-10,1839.208013,2023-04-12,2023-06-16,5,66,6,6,5,2023-06-16,2023-06-16,2023-06-11,2023-06-17,False,True
bear,2023-06-11,1754.673228,2023-04-12,2023-06-16,5,66,5,5,5,2023-06-16,2023-06-16,2023-06-12,2023-06-17,False,True
bear,2023-06-12,1751.724597,2023-04-12,2023-06-16,5,66,4,4,4,2023-06-16,2023-06-16,2023-06-13,2023-06-17,False,True
bear,2023-06-13,1742.596053,2023-04-12,2023-06-16,5,66,3,3,3,2023-06-16,2023-06-16,2023-06-14,2023-06-17,False,True
bear,2023-06-14,1736.789437,2023-04-12,2023-06-16,5,66,2,2,2,2023-06-16,2023-06-16,2023-06-15,2023-06-17,False,True
bear,2023-06-15,1650.676668,2023-04-12,2023-06-16,5,66,1,1,1,2023-06-16,2023-06-16,2023-06-16,2023-06-17,False,True
sideways,2023-06-20,1734.793103,2023-06-20,2023-08-31,5,73,72,68,5,2023-08-31,2023-08-31,2023-06-21,2023-09-01,False,True
sideways,2023-06-21,1790.190441,2023-06-20,2023-08-31,5,73,71,68,5,2023-08-31,2023-08-31,2023-06-22,2023-09-01,False,True
sideways,2023-06-22,1892.899572,2023-06-20,2023-08-31,5,73,70,68,5,2023-08-31,2023-08-31,2023-06-23,2023-09-01,False,True
sideways,2023-06-23,1874.177947,2023-06-20,2023-08-31,5,73,69,68,5,2023-08-31,2023-08-31,2023-06-24,2023-09-01,False,True
sideways,2023-06-24,1891.345008,2023-06-20,2023-08-31,5,73,68,68,5,2023-08-31,2023-08-31,2023-06-25,2023-09-01,False,True
sideways,2023-06-25,1875.059962,2023-06-20,2023-08-31,5,73,67,67,5,2023-08-31,2023-08-31,2023-06-26,2023-09-01,False,True
sideways,2023-06-26,1899.147312,2023-06-20,2023-08-31,5,73,66,66,5,2023-08-31,2023-08-31,2023-06-27,2023-09-01,False,True
sideways,2023-06-27,1859.80242,2023-06-20,2023-08-31,5,73,65,65,5,2023-08-31,2023-08-31,2023-06-28,2023-09-01,False,True
sideways,2023-06-28,1890.012904,2023-06-20,2023-08-31,5,73,64,64,5,2023-08-31,2023-08-31,2023-06-29,2023-09-01,False,True
sideways,2023-06-29,1828.458336,2023-06-20,2023-08-31,5,73,63,63,5,2023-08-31,2023-08-31,2023-06-30,2023-09-01,False,True
sideways,2023-06-30,1853.445246,2023-06-20,2023-08-31,5,73,62,62,5,2023-08-31,2023-08-31,2023-07-01,2023-09-01,False,True
sideways,2023-07-01,1934.045714,2023-06-20,2023-08-31,5,73,61,61,5,2023-08-31,2023-08-31,2023-07-02,2023-09-01,False,True
sideways,2023-07-02,1924.567241,2023-06-20,2023-08-31,5,73,60,60,5,2023-08-31,2023-08-31,2023-07-03,2023-09-01,False,True
sideways,2023-07-03,1933.959881,2023-06-20,2023-08-31,5,73,59,59,5,2023-08-31,2023-08-31,2023-07-04,2023-09-01,False,True
sideways,2023-07-04,1953.781128,2023-06-20,2023-08-31,5,73,58,58,5,2023-08-31,2023-08-31,2023-07-05,2023-09-01,False,True
sideways,2023-07-05,1937.000426,2023-06-20,2023-08-31,5,73,57,57,5,2023-08-31,2023-08-31,2023-07-06,2023-09-01,False,True
sideways,2023-07-06,1910.505261,2023-06-20,2023-08-31,5,73,56,56,5,2023-08-31,2023-08-31,2023-07-07,2023-09-01,False,True
sideways,2023-07-07,1855.474784,2023-06-20,2023-08-31,5,73,55,55,5,2023-08-31,2023-08-31,2023-07-08,2023-09-01,False,True
sideways,2023-07-08,1869.317187,2023-06-20,2023-08-31,5,73,54,54,5,2023-08-31,2023-08-31,2023-07-09,2023-09-01,False,True
sideways,2023-07-09,1864.868592,2023-06-20,2023-08-31,5,73,53,53,5,2023-08-31,2023-08-31,2023-07-10,2023-09-01,False,True
sideways,2023-07-10,1866.916742,2023-06-20,2023-08-31,5,73,52,52,5,2023-08-31,2023-08-31,2023-07-11,2023-09-01,False,True
sideways,2023-07-11,1875.274273,2023-06-20,2023-08-31,5,73,51,51,5,2023-08-31,2023-08-31,2023-07-12,2023-09-01,False,True
sideways,2023-07-12,1875.865872,2023-06-20,2023-08-31,5,73,50,50,5,2023-08-31,2023-08-31,2023-07-13,2023-09-01,False,True
sideways,2023-07-13,1873.506815,2023-06-20,2023-08-31,5,73,49,49,5,2023-08-31,2023-08-31,2023-07-14,2023-09-01,False,True
sideways,2023-07-14,2003.253616,2023-06-20,2023-08-31,5,73,48,48,5,2023-08-31,2023-08-31,2023-07-15,2023-09-01,False,True
sideways,2023-07-15,1935.940241,2023-06-20,2023-08-31,5,73,47,47,5,2023-08-31,2023-08-31,2023-07-16,2023-09-01,False,True
sideways,2023-07-16,1931.389384,2023-06-20,2023-08-31,5,73,46,46,5,2023-08-31,2023-08-31,2023-07-17,2023-09-01,False,True
sideways,2023-07-17,1923.03599,2023-06-20,2023-08-31,5,73,45,45,5,2023-08-31,2023-08-31,2023-07-18,2023-09-01,False,True
sideways,2023-07-18,1912.122836,2023-06-20,2023-08-31,5,73,44,44,5,2023-08-31,2023-08-31,2023-07-19,2023-09-01,False,True
sideways,2023-07-19,1897.199113,2023-06-20,2023-08-31,5,73,43,43,5,2023-08-31,2023-08-31,2023-07-20,2023-09-01,False,True
sideways,2023-07-20,1889.223806,2023-06-20,2023-08-31,5,73,42,42,5,2023-08-31,2023-08-31,2023-07-21,2023-09-01,False,True
sideways,2023-07-21,1891.014505,2023-06-20,2023-08-31,5,73,41,41,5,2023-08-31,2023-08-31,2023-07-22,2023-09-01,False,True
sideways,2023-07-22,1891.472403,2023-06-20,2023-08-31,5,73,40,40,5,2023-08-31,2023-08-31,2023-07-23,2023-09-01,False,True
sideways,2023-07-23,1858.311196,2023-06-20,2023-08-31,5,73,39,39,5,2023-08-31,2023-08-31,2023-07-24,2023-09-01,False,True
sideways,2023-07-24,1887.826981,2023-06-20,2023-08-31,5,73,38,38,5,2023-08-31,2023-08-31,2023-07-25,2023-09-01,False,True
sideways,2023-07-25,1850.431151,2023-06-20,2023-08-31,5,73,37,37,5,2023-08-31,2023-08-31,2023-07-26,2023-09-01,False,True
sideways,2023-07-26,1857.596593,2023-06-20,2023-08-31,5,73,36,36,5,2023-08-31,2023-08-31,2023-07-27,2023-09-01,False,True
sideways,2023-07-27,1871.533106,2023-06-20,2023-08-31,5,73,35,35,5,2023-08-31,2023-08-31,2023-07-28,2023-09-01,False,True
sideways,2023-07-28,1858.777021,2023-06-20,2023-08-31,5,73,34,34,5,2023-08-31,2023-08-31,2023-07-29,2023-09-01,False,True
sideways,2023-07-29,1874.693995,2023-06-20,2023-08-31,5,73,33,33,5,2023-08-31,2023-08-31,2023-07-30,2023-09-01,False,True
sideways,2023-07-30,1880.918077,2023-06-20,2023-08-31,5,73,32,32,5,2023-08-31,2023-08-31,2023-07-31,2023-09-01,False,True
sideways,2023-07-31,1861.86991,2023-06-20,2023-08-31,5,73,31,31,5,2023-08-31,2023-08-31,2023-08-01,2023-09-01,False,True
sideways,2023-08-01,1857.276196,2023-06-20,2023-08-31,5,73,30,30,5,2023-08-31,2023-08-31,2023-08-02,2023-09-01,False,True
sideways,2023-08-02,1869.745109,2023-06-20,2023-08-31,5,73,29,29,5,2023-08-31,2023-08-31,2023-08-03,2023-09-01,False,True
sideways,2023-08-03,1838.011952,2023-06-20,2023-08-31,5,73,28,28,5,2023-08-31,2023-08-31,2023-08-04,2023-09-01,False,True
sideways,2023-08-04,1835.701303,2023-06-20,2023-08-31,5,73,27,27,5,2023-08-31,2023-08-31,2023-08-05,2023-09-01,False,True
sideways,2023-08-05,1828.461194,2023-06-20,2023-08-31,5,73,26,26,5,2023-08-31,2023-08-31,2023-08-06,2023-09-01,False,True
sideways,2023-08-06,1835.070578,2023-06-20,2023-08-31,5,73,25,25,5,2023-08-31,2023-08-31,2023-08-07,2023-09-01,False,True
sideways,2023-08-07,1826.706779,2023-06-20,2023-08-31,5,73,24,24,5,2023-08-31,2023-08-31,2023-08-08,2023-09-01,False,True
sideways,2023-08-08,1826.933486,2023-06-20,2023-08-31,5,73,23,23,5,2023-08-31,2023-08-31,2023-08-09,2023-09-01,False,True
sideways,2023-08-09,1856.844145,2023-06-20,2023-08-31,5,73,22,22,5,2023-08-31,2023-08-31,2023-08-10,2023-09-01,False,True
sideways,2023-08-10,1855.890727,2023-06-20,2023-08-31,5,73,21,21,5,2023-08-31,2023-08-31,2023-08-11,2023-09-01,False,True
sideways,2023-08-11,1850.876989,2023-06-20,2023-08-31,5,73,20,20,5,2023-08-31,2023-08-31,2023-08-12,2023-09-01,False,True
sideways,2023-08-12,1847.541835,2023-06-20,2023-08-31,5,73,19,19,5,2023-08-31,2023-08-31,2023-08-13,2023-09-01,False,True
sideways,2023-08-13,1848.505239,2023-06-20,2023-08-31,5,73,18,18,5,2023-08-31,2023-08-31,2023-08-14,2023-09-01,False,True
sideways,2023-08-14,1839.51281,2023-06-20,2023-08-31,5,73,17,17,5,2023-08-31,2023-08-31,2023-08-15,2023-09-01,False,True
sideways,2023-08-15,1843.513391,2023-06-20,2023-08-31,5,73,16,16,5,2023-08-31,2023-08-31,2023-08-16,2023-09-01,False,True
sideways,2023-08-16,1826.913128,2023-06-20,2023-08-31,5,73,15,15,5,2023-08-31,2023-08-31,2023-08-17,2023-09-01,False,True
sideways,2023-08-17,1809.460474,2023-06-20,2023-08-31,5,73,14,14,5,2023-08-31,2023-08-31,2023-08-18,2023-09-01,False,True
sideways,2023-08-18,1675.862171,2023-06-20,2023-08-31,5,73,13,13,5,2023-08-31,2023-08-31,2023-08-19,2023-09-01,False,True
sideways,2023-08-19,1660.67911,2023-06-20,2023-08-31,5,73,12,12,5,2023-08-31,2023-08-31,2023-08-20,2023-09-01,False,True
sideways,2023-08-20,1669.233455,2023-06-20,2023-08-31,5,73,11,11,5,2023-08-31,2023-08-31,2023-08-21,2023-09-01,False,True
sideways,2023-08-21,1682.461825,2023-06-20,2023-08-31,5,73,10,10,5,2023-08-31,2023-08-31,2023-08-22,2023-09-01,False,True
sideways,2023-08-22,1666.840465,2023-06-20,2023-08-31,5,73,9,9,5,2023-08-31,2023-08-31,2023-08-23,2023-09-01,False,True
sideways,2023-08-23,1635.191294,2023-06-20,2023-08-31,5,73,8,8,5,2023-08-31,2023-08-31,2023-08-24,2023-09-01,False,True
sideways,2023-08-24,1679.123993,2023-06-20,2023-08-31,5,73,7,7,5,2023-08-31,2023-08-31,2023-08-25,2023-09-01,False,True
sideways,2023-08-25,1658.399654,2023-06-20,2023-08-31,5,73,6,6,5,2023-08-31,2023-08-31,2023-08-26,2023-09-01,False,True
sideways,2023-08-26,1653.42932,2023-06-20,2023-08-31,5,73,5,5,5,2023-08-31,2023-08-31,2023-08-27,2023-09-01,False,True
sideways,2023-08-27,1645.905,2023-06-20,2023-08-31,5,73,4,4,4,2023-08-31,2023-08-31,2023-08-28,2023-09-01,False,True
sideways,2023-08-28,1656.931058,2023-06-20,2023-08-31,5,73,3,3,3,2023-08-31,2023-08-31,2023-08-29,2023-09-01,False,True
sideways,2023-08-29,1653.198566,2023-06-20,2023-08-31,5,73,2,2,2,2023-08-31,2023-08-31,2023-08-30,2023-09-01,False,True
sideways,2023-08-30,1730.190258,2023-06-20,2023-08-31,5,73,1,1,1,2023-08-31,2023-08-31,2023-08-31,2023-09-01,False,True
bull,2023-10-01,1670.998956,2023-10-01,2023-12-01,5,62,61,57,5,2023-12-01,2023-12-01,2023-10-02,2023-12-02,False,True
bull,2023-10-02,1733.818035,2023-10-01,2023-12-01,5,62,60,57,5,2023-12-01,2023-12-01,2023-10-03,2023-12-02,False,True
bull,2023-10-03,1665.276425,2023-10-01,2023-12-01,5,62,59,57,5,2023-12-01,2023-12-01,2023-10-04,2023-12-02,False,True
bull,2023-10-04,1656.322003,2023-10-01,2023-12-01,5,62,58,57,5,2023-12-01,2023-12-01,2023-10-05,2023-12-02,False,True
bull,2023-10-05,1648.193373,2023-10-01,2023-12-01,5,62,57,57,5,2023-12-01,2023-12-01,2023-10-06,2023-12-02,False,True
bull,2023-10-06,1612.994889,2023-10-01,2023-12-01,5,62,56,56,5,2023-12-01,2023-12-01,2023-10-07,2023-12-02,False,True
bull,2023-10-07,1646.393402,2023-10-01,2023-12-01,5,62,55,55,5,2023-12-01,2023-12-01,2023-10-08,2023-12-02,False,True
bull,2023-10-08,1635.082855,2023-10-01,2023-12-01,5,62,54,54,5,2023-12-01,2023-12-01,2023-10-09,2023-12-02,False,True
bull,2023-10-09,1634.221655,2023-10-01,2023-12-01,5,62,53,53,5,2023-12-01,2023-12-01,2023-10-10,2023-12-02,False,True
bull,2023-10-10,1580.17776,2023-10-01,2023-12-01,5,62,52,52,5,2023-12-01,2023-12-01,2023-10-11,2023-12-02,False,True
