author_commit_first_seen,author_blob,author_path_first_seen,blob_bytes,exact_time_series_model_tokens,final_return_sharpe_summaries,paper_time_series_return_sharpe_pair_matches,matching_paper_rows,status
2a0d29ef3f489254a2d31ed295558ed682aea5c3,9b192497a67244733ab9fccf605f2eca193eed36,prep_news.out,95101,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
6be24397a0059a6d7d0e80dc863f6c4268685a88,ec75942e590dfdfc9051f0bfbee1f2c9441b1d75,prep_news1.out,26342,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
6be24397a0059a6d7d0e80dc863f6c4268685a88,e77e4df400f6bfb09d4054a78514022dc6b71ff1,prep_news2.out,32074,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
6be24397a0059a6d7d0e80dc863f6c4268685a88,13baa4aa14e95df085b4382df46779711d2fb650,prep_news3.out,28524,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
5415881ed2fbdb7de3798680efc78ab91d4867c2,3907fd6c49e07a14843c1cb67c891b06748df1f3,prep_news1.out,26159,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
5415881ed2fbdb7de3798680efc78ab91d4867c2,b5ad6c0670eb276fe57ed2224da94d0840e3c25b,prep_news2.out,32052,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
5415881ed2fbdb7de3798680efc78ab91d4867c2,8c50d867c778291d2774051f096291b2daa92830,prep_news3.out,28502,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
d13f8ad5d5ae63369797c633d64b51452f1afe61,97516606f52fd5a530f9f25ac54e0a2821286d9d,nohup.out,7872,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
2faa2844363dee6c07baec315781ce68fafb6864,8dcb4116d27f66a86cae9aa04cbcad4c80754b6a,prep_news1.out,53214,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
2faa2844363dee6c07baec315781ce68fafb6864,3984ab2fae5dda39086077eba960460579003fb7,prep_news2.out,57941,,0,0,,no_time_series_model_identity_or_paper_return_sharpe_pair
