regime,scenario,repeat,seed,lookback,epochs,decision_date,changed_date,decision_price,original_terminal_price,past_and_present_unchanged,changed_row_strictly_after_decision,paper_result_credit,action,comparison_price,predicted_price,scaler_min,scaler_max,supervised_target_count,train_X_sha256,train_Y_sha256,inference_X_sha256
bear,original,0,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Buy,1664.97746178,1768.07873535,1650.676668,2118.598789,61,3301e365eddf7e6680f4a5ce2f49e9963d4996719ceb90f6159b1f4cda34954f,8118e98631a4c9b529856d80f46c77b5c3c2cc05fa3899e731de8a9b73ac9cb1,542c7617241aea35fdd12906168c6030daf8adb19644c1316af9172527da983b
bear,original,1,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Buy,1664.97746178,1768.07873535,1650.676668,2118.598789,61,3301e365eddf7e6680f4a5ce2f49e9963d4996719ceb90f6159b1f4cda34954f,8118e98631a4c9b529856d80f46c77b5c3c2cc05fa3899e731de8a9b73ac9cb1,542c7617241aea35fdd12906168c6030daf8adb19644c1316af9172527da983b
bear,terminal_price_doubled,0,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Sell,3329.954924,1884.52587891,1650.676668,3329.954924,61,8440166cb766c2b4f1a71a057dbd2cae5b180dd6739a5b98b81c641481649fbd,344aba48754e5d8be51303a8480d686f91d09b3d5d89dbbf785ca6dd7d4fa918,25c2d345d54d4caddd3afd19a5cd1acb5c7bd60d5817b5e9fe925078d9e71ad8
bear,terminal_price_doubled,1,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Sell,3329.954924,1884.52587891,1650.676668,3329.954924,61,8440166cb766c2b4f1a71a057dbd2cae5b180dd6739a5b98b81c641481649fbd,344aba48754e5d8be51303a8480d686f91d09b3d5d89dbbf785ca6dd7d4fa918,25c2d345d54d4caddd3afd19a5cd1acb5c7bd60d5817b5e9fe925078d9e71ad8
bear,terminal_price_halved,0,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Buy,832.488731,1800.20581055,832.488731,2118.598789,61,e9f4f55708f7b5aca0a311244ff4636ca95d0d2037e03588820dcaeeea0728d7,1c5d7f7e603dbd990c9ab5f6bceb91c6dc987a2cc395e06a7c8af118dddbde62,76dcdf66a5f9ba17bcf0d1836524ddb13a0ee94856dc4c6fc6eaaf82485220af
bear,terminal_price_halved,1,0,5,100,2023-04-12,2023-06-16,1892.938911,1664.977462,True,True,False,Buy,832.488731,1800.20581055,832.488731,2118.598789,61,e9f4f55708f7b5aca0a311244ff4636ca95d0d2037e03588820dcaeeea0728d7,1c5d7f7e603dbd990c9ab5f6bceb91c6dc987a2cc395e06a7c8af118dddbde62,76dcdf66a5f9ba17bcf0d1836524ddb13a0ee94856dc4c6fc6eaaf82485220af
bear,post_regime_price_doubled_control,0,0,5,100,2023-04-12,2023-06-17,1892.938911,1664.977462,True,True,False,Buy,1664.97746178,1768.07873535,1650.676668,2118.598789,61,3301e365eddf7e6680f4a5ce2f49e9963d4996719ceb90f6159b1f4cda34954f,8118e98631a4c9b529856d80f46c77b5c3c2cc05fa3899e731de8a9b73ac9cb1,542c7617241aea35fdd12906168c6030daf8adb19644c1316af9172527da983b
bear,post_regime_price_doubled_control,1,0,5,100,2023-04-12,2023-06-17,1892.938911,1664.977462,True,True,False,Buy,1664.97746178,1768.07873535,1650.676668,2118.598789,61,3301e365eddf7e6680f4a5ce2f49e9963d4996719ceb90f6159b1f4cda34954f,8118e98631a4c9b529856d80f46c77b5c3c2cc05fa3899e731de8a9b73ac9cb1,542c7617241aea35fdd12906168c6030daf8adb19644c1316af9172527da983b
sideways,original,0,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Sell,1705.10810113,1685.61962891,1635.191294,2003.253616,68,5943eb194b6459d58fbafb57a80a0f146bba07ae2dfa4d166b38114b630436e9,c18b3f6d09cbc13d7e1ad8724d5b5c0907f7e25df34a7d6f5fc34fe462b7d666,080ac7c91751937d1a1b7f50fc997f1d1302d8ea6539afb93ee20fc99905b24c
sideways,original,1,0,5,100,2023-06-20,2023-08-31,1734.793103,1705.108103,True,True,False,Sell,1705.10810113,1685.61962891,1635.191294,2003.253616,68,5943eb194b6459d58fbafb57a80a0f146bba07ae2dfa4d166b38114b630436e9,c18b3f6d09cbc13d7e1ad8724d5b5c0907f7e25df34a7d6f5fc34fe462b7d666,080ac7c91751937d1a1b7f50fc997f1d1302d8ea6539afb93ee20fc99905b24c
