seed,repeat,regime,metric,paper_value,recomputed_value,absolute_error,display_match,action_sha256,action_counts,lookback
0,0,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,0,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,0,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,0,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,0,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,0,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,0,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,0,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,0,sideways,total_return_pct,1.27,1.256891013715,0.013108986285,False,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}",5
0,0,sideways,daily_return_mean_pct,0.02,0.017180232797,0.002819767203,True,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}",5
0,0,sideways,daily_return_std_pct,1.11,0.117198201223,0.992801798777,False,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}",5
0,0,sideways,sharpe_ratio,0.15,0.146591266912,0.003408733088,True,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}",5
0,1,bear,total_return_pct,-13.22,-13.223477672656,0.003477672656,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,1,bear,daily_return_mean_pct,-0.19,-0.186669798829,0.003330201171,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,1,bear,daily_return_std_pct,2.36,2.356217776528,0.003782223472,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,1,bear,sharpe_ratio,-0.08,-0.079224340249,0.000775659751,True,b23e292bb28051f0ad1995c0952a3d38c37ed0de65aaf1d9de909b8a6f563117,"{""Buy"": 65}",5
0,1,bull,total_return_pct,22.12,22.124418906647,0.004418906647,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,1,bull,daily_return_mean_pct,0.36,0.355521473343,0.004478526657,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,1,bull,daily_return_std_pct,2.59,2.593342208069,0.003342208069,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,1,bull,sharpe_ratio,0.14,0.137090073279,0.002909926721,True,899a96dfb74c361711132cecb78d43bef9f7038220a44fed7fd75095d27d2fe9,"{""Buy"": 61}",5
0,1,sideways,total_return_pct,1.27,1.256891013715,0.013108986285,False,74934ce29acb08d593f2dfd29703b54d7d3b445042c9e025b4fcc1ca42f625d6,"{""Buy"": 1, ""Sell"": 71}",5
