head_commit,status,repository_count,branch_ref_count,example_repositories,paper_result_credit
0011b5ebf54d6709cc9e6f1ab129684b6166653b,official_history_reachable,3,3,akazaMMMM/TradingAgents-Akaza;ltianyi992/TradingAgents;puneetverma24/TradingAgents,False
0013415378dc83f45f7cf56d3457f6bcef381b90,official_history_reachable,2,2,jobs-git/TradingAgents;shahan-perera30/StockTradingAgent,False
00638f5976e6afbd90e243d8baae6d4ee36b217a,connected_divergent,1,1,michaelrcreagan-hash/TradingAgents,False
006b354829061c18bc85959c30d861517c11e2f9,connected_divergent,1,1,godnight10061/TradingAgents,False
006e5cd8403b6f54fa43031040904ec70417f1e8,connected_divergent,1,1,BioInfo/TradingAgents,False
008816d27434beb1f9567b47f7295965988470e4,connected_divergent,1,1,nsitnov/TradingAgents,False
00a54c7325f5736970e462ccc31a8bdf14406688,disconnected_divergent,1,1,haolan0427/TradingAgents,False
00cb09dfed2d1f6e02b3f33af15893a2a077b888,connected_divergent,1,1,VincentTang86/TradingAgents,False
00dfd54a99ebfb720f1812b078ebf3092feba0ff,connected_divergent,1,1,ALEXA8596/ABMR-TradingAgents,False
00e2a8f0a58d80ad8dca35f7fbc94c371046421a,connected_divergent,1,1,yli2935/TradingAgents,False
00f05ca882be348995fc82676f76d9c2ea5d7742,connected_divergent,1,1,merttrkr/TradingAgents,False
00fc0570d6a4f0f48dd1872fd7e3d59d86f35c1e,connected_divergent,1,1,licaomeng/polyglot-alpha-legacy,False
0107b6461343a824596b6e09045b930c5269170c,connected_divergent,1,1,GoetschiM/TradingAgents-LLM,False
010ff24ec497fb5046e69eda715af8310b388895,connected_divergent,1,1,rbhaskar2/TradingAgents,False
0132cf56e62a3c3603f77b8ff3ba5627cf41c564,connected_divergent,1,1,iamwhatiam990909-star/TradingAgents,False
0138c16cb2fd25f4280288fcbfe9e26817efe8b7,connected_divergent,1,1,ge-of/TradingAgents,False
013deacb728aa8b34cf01af30eae6df4c2546bd4,connected_divergent,1,1,prao06/tradingagents_42,False
01477f9afb7a47b849ed4c9259d3a9a4738d9fda,official_history_reachable,534,535,007ylj/TradingAgents;00TZL/TradingAgents;07zdw/TradingAgents;0xMorph/TradingAgents;2318104068/TradingAgents,False
0156a687cca015d13c76b95933d38e817f30880f,connected_divergent,1,1,ZRW3/TradingAgents,False
0159cf49c3426b95c0f8228fd3d70a656f9c19f3,connected_divergent,1,1,tmurphy86/TradingAgents,False
015f9e11494788e748ad5a204a92d7bca614c985,connected_divergent,1,1,liudg/TradingAgents,False
016723d1641ca4efcfd9e0d52e694dbc5ba21971,connected_divergent,1,1,ShayneWushiqun/TradingAgents,False
01770c7c23d596286e77bf83c35defce17b824b6,connected_divergent,1,1,matsebas/TradingAgents,False
0179584dabe7b06d75b83aedc1004b2380eb397a,connected_divergent,1,1,nornen0202/TradingAgents,False
