asset,metric,paper_value,current_yahoo_diagnostic_value,current_minus_paper,display_precision_match,formula,formula_fully_specified_by_paper,response_rows,response_start,response_end,response_sha256,response_url,observed_on,paper_price_provider_mapping_recovered,paper_time_input_lineage,native_paper_result_credit,status
AAPL,CR_pct,-5.23,-7.509797567549237,-2.2797975675492363,False,100 * (last_adjusted_close / first_adjusted_close - 1),True,61,2024-01-02,2024-03-28,636df21618f5ad5108644432648ad4aa30615723bf6ef4d5762be04343af2fe8,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AAPL,AR_pct,-5.09,-27.412947514326703,-22.322947514326703,False,paper literal: 100 * ((last / first) ** (1 / (89 / 365.25)) - 1),True,61,2024-01-02,2024-03-28,636df21618f5ad5108644432648ad4aa30615723bf6ef4d5762be04343af2fe8,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AAPL,SR,-1.29,-1.5418191821532485,-0.2518191821532485,False,zero-risk-free diagnostic: mean(simple daily return) / sample SD * sqrt(252),False,61,2024-01-02,2024-03-28,636df21618f5ad5108644432648ad4aa30615723bf6ef4d5762be04343af2fe8,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AAPL,MDD_pct,11.9,13.302777630066293,1.4027776300662929,False,100 * maximum peak-to-trough drawdown of adjusted close,True,61,2024-01-02,2024-03-28,636df21618f5ad5108644432648ad4aa30615723bf6ef4d5762be04343af2fe8,https://query1.finance.yahoo.com/v8/finance/chart/AAPL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
GOOGL,CR_pct,7.78,9.235007082040148,1.4550070820401482,False,100 * (last_adjusted_close / first_adjusted_close - 1),True,61,2024-01-02,2024-03-28,be84e9e6d5662ffcd5603cc1f9181bee66a29ccde7dca0e9dc683c6fc6eae367,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
GOOGL,AR_pct,8.09,43.69260229110618,35.60260229110618,False,paper literal: 100 * ((last / first) ** (1 / (89 / 365.25)) - 1),True,61,2024-01-02,2024-03-28,be84e9e6d5662ffcd5603cc1f9181bee66a29ccde7dca0e9dc683c6fc6eae367,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
GOOGL,SR,1.35,1.459864137832354,0.10986413783235394,False,zero-risk-free diagnostic: mean(simple daily return) / sample SD * sqrt(252),False,61,2024-01-02,2024-03-28,be84e9e6d5662ffcd5603cc1f9181bee66a29ccde7dca0e9dc683c6fc6eae367,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
GOOGL,MDD_pct,13.04,14.402968228963337,1.3629682289633376,False,100 * maximum peak-to-trough drawdown of adjusted close,True,61,2024-01-02,2024-03-28,be84e9e6d5662ffcd5603cc1f9181bee66a29ccde7dca0e9dc683c6fc6eae367,https://query1.finance.yahoo.com/v8/finance/chart/GOOGL?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AMZN,CR_pct,17.1,20.30948689024379,3.209486890243788,False,100 * (last_adjusted_close / first_adjusted_close - 1),True,61,2024-01-02,2024-03-28,5636e487c47d318c2e15daa6ff3b129ec4533eac4432d1dbeaef27c21bcefeb6,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AMZN,AR_pct,17.6,113.57247068065229,95.9724706806523,False,paper literal: 100 * ((last / first) ** (1 / (89 / 365.25)) - 1),True,61,2024-01-02,2024-03-28,5636e487c47d318c2e15daa6ff3b129ec4533eac4432d1dbeaef27c21bcefeb6,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AMZN,SR,3.53,3.042927656308381,-0.48707234369161867,False,zero-risk-free diagnostic: mean(simple daily return) / sample SD * sqrt(252),False,61,2024-01-02,2024-03-28,5636e487c47d318c2e15daa6ff3b129ec4533eac4432d1dbeaef27c21bcefeb6,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
AMZN,MDD_pct,3.8,4.224703494477053,0.42470349447705313,False,100 * maximum peak-to-trough drawdown of adjusted close,True,61,2024-01-02,2024-03-28,5636e487c47d318c2e15daa6ff3b129ec4533eac4432d1dbeaef27c21bcefeb6,https://query1.finance.yahoo.com/v8/finance/chart/AMZN?period1=1704067200&period2=1711929600&interval=1d&events=history&includeAdjustedClose=true,2026-08-25,False,False,False,current_public_yahoo_diagnostic_mismatch_no_paper_time_lineage
