git_blob,sha256,evidence_commit,artifact_role,attribution,reported_or_quoted_paper_rows,raw_result_lineage_shipped,attributable_paper_run_artifact,paper_result_credit
77082dbf14ba237098b2623f097f55304cf490ba,69cf8fdfb5c045c0b398a80e8eda408950a600ddbfde9b903491f3ef70c942f1,adb4c575dd4d03063ea32bc798f6d13c2aa51c67,paper_quote_only,unaffiliated_community_fork,AAPL,False,False,False
bc48876b7eedd76f4467b34b45ff4107ed274df7,4d6ea29c659628cbfa56e0ad624cdc6bd455d3d9f0c1a4f92952a29eee06a765,adb4c575dd4d03063ea32bc798f6d13c2aa51c67,unaffiliated_aapl_baseline,unaffiliated_community_fork,AAPL,False,False,False
