tier,role,selected_blobs,selected_paths,bytes_reviewed,scan_details,paper_result_credit
1,structured_result_and_log_text,10910,10847,1762279351,"{""all_three_paper_asset_blobs"":119,""attributable_paper_run_artifacts"":0,""binary_blobs"":98,""broad_paper_value_candidates_manually_classified"":0,""exact_paper_period_blobs"":55,""paper_context_blobs"":336,""utf8_text_blobs"":10812}",False
2,reports_and_html,39823,38470,984953833,"{""all_three_paper_asset_blobs"":291,""attributable_paper_run_artifacts"":0,""binary_blobs"":460,""broad_paper_value_candidates_manually_classified"":3,""exact_paper_period_blobs"":0,""paper_context_blobs"":2009,""utf8_text_blobs"":39363}",False
3,parquet_sqlite_and_opaque_pickle,1931,996,1941471383,"{""attributable_paper_run_artifacts"":0,""broad_sqlite_value_candidates_manually_classified"":15,""exact_period_and_paper_asset_artifacts"":0,""parquet_blobs"":835,""parquet_rows_reviewed"":979941,""parquet_scalars_reviewed"":6235732,""pickle_blobs_not_deserialized"":118,""sqlite_blobs"":977,""sqlite_cells_reviewed"":4355590,""sqlite_rows_reviewed"":549091}",False
4,visual_result_candidates,1922,1862,1568543842,"{""attributable_paper_run_artifacts"":0,""author_attributable_raster_output_artifacts"":2,""exact_paper_figure_file_hashes"":0,""other_blobs"":15,""paper_asset_named_paths"":15,""pdf_blobs"":400,""png_blobs"":1507}",False
