asset,method,metric,paper_table_value,vector_endpoint_value,vector_endpoint_cr_pct,vector_minus_table,display_precision_match,vector_path_points,source_asset,source_asset_sha256,status,native_paper_result_credit
AAPL,B&H,CR_pct,-5.23,0.9564951181087833,-4.350488189121671,0.8795118108783297,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
AAPL,MACD,CR_pct,-1.49,0.9943197990501476,-0.5680200949852443,0.9219799050147557,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
AAPL,KDJ&RSI,CR_pct,2.05,1.020785692702651,2.078569270265107,0.02856927026510725,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
AAPL,ZMR,CR_pct,0.57,1.0072536392175135,0.7253639217513541,0.15536392175135416,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
AAPL,SMA,CR_pct,-3.2,0.9807715994565681,-1.922840054343189,1.2771599456568112,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
AAPL,TradingAgents,CR_pct,26.62,1.2906493272839248,29.064932728392478,2.4449327283924767,False,60,figures/AAPL/compare.pdf,253c734192f00311c7ea5d01be0b551d84625bcce3fafee2ce7606cb56e3f9e4,author_figure_endpoint_conflicts_with_table,False
GOOGL,B&H,CR_pct,7.78,1.0655982852380514,6.559828523805145,-1.2201714761948557,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
GOOGL,MACD,CR_pct,6.2,1.0473712743925723,4.737127439257227,-1.462872560742773,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
GOOGL,KDJ&RSI,CR_pct,0.4,1.0047314831074208,0.4731483107420775,0.0731483107420775,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
GOOGL,ZMR,CR_pct,-0.58,0.9944009621843704,-0.5599037815629648,0.02009621843703513,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
GOOGL,SMA,CR_pct,6.23,1.0490025559764415,4.900255597644154,-1.3297444023558462,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
GOOGL,TradingAgents,CR_pct,24.36,1.2759297817246291,27.592978172462914,3.2329781724629143,False,60,figures/GOOGL/compare.pdf,981423ff58684e6153f393b1ce423e6613223383188482cc616d31adbd333610,author_figure_endpoint_conflicts_with_table,False
AMZN,B&H,CR_pct,17.1,1.1952992189221987,19.52992189221987,2.4299218922198698,False,60,figures/AMZN/compare.pdf,d037f3f53461689a8661118edf318e81450e18e87f70e66cfadde540a66b4326,author_figure_endpoint_conflicts_with_table,False
AMZN,KDJ&RSI,CR_pct,-0.77,0.9922981624530353,-0.770183754696474,-0.00018375469647402554,True,60,figures/AMZN/compare.pdf,d037f3f53461689a8661118edf318e81450e18e87f70e66cfadde540a66b4326,exact_author_figure_table_endpoint_correspondence,False
AMZN,ZMR,CR_pct,-0.77,0.9928409646551527,-0.7159035344847298,0.05409646551527025,False,60,figures/AMZN/compare.pdf,d037f3f53461689a8661118edf318e81450e18e87f70e66cfadde540a66b4326,author_figure_endpoint_conflicts_with_table,False
AMZN,SMA,CR_pct,11.01,1.1043611655109689,10.436116551096886,-0.5738834489031142,False,60,figures/AMZN/compare.pdf,d037f3f53461689a8661118edf318e81450e18e87f70e66cfadde540a66b4326,author_figure_endpoint_conflicts_with_table,False
AMZN,TradingAgents,CR_pct,23.21,1.2511647762540188,25.116477625401878,1.9064776254018767,False,60,figures/AMZN/compare.pdf,d037f3f53461689a8661118edf318e81450e18e87f70e66cfadde540a66b4326,author_figure_endpoint_conflicts_with_table,False
