repository,url,ref_kind,ref_name,head_commit,relation_to_official_history,unique_commits_beyond_official_history,paper_result_credit
ExileSaber/ContestTrade,https://github.com/ExileSaber/ContestTrade,branch,dev,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
ExileSaber/ContestTrade,https://github.com/ExileSaber/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
ExileSaber/ContestTrade,https://github.com/ExileSaber/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
ExileSaber/ContestTrade,https://github.com/ExileSaber/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
fangzai/ContestTrade,https://github.com/fangzai/ContestTrade,branch,dev,f4176e31e99673ed9f4bceec707c1df8757aa735,divergent,3,False
fangzai/ContestTrade,https://github.com/fangzai/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
fanyufan/ContestTrade,https://github.com/fanyufan/ContestTrade,branch,main,1a6c73d40f6b5230af52d2f7cbdfee480c74047e,divergent,1,False
Fatimacz/ContestTrade,https://github.com/Fatimacz/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
feng-sword/ContestTrade,https://github.com/feng-sword/ContestTrade,branch,main,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
fengbichuan/ContestTrade,https://github.com/fengbichuan/ContestTrade,branch,main,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
fjhua1/ContestTrade,https://github.com/fjhua1/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
gcrong01/ContestTrade,https://github.com/gcrong01/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
geeeeekcoooder/ContestTrade,https://github.com/geeeeekcoooder/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
goldenquant/ContestTrade,https://github.com/goldenquant/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
gscr10/ContestTrade,https://github.com/gscr10/ContestTrade,branch,main,706ac85f42eff9afe7a7eca76ef1b0d5e0e7d635,official_history_reachable,0,False
GuoYucheng7777/ContestTrade,https://github.com/GuoYucheng7777/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
hanryang0106/ContestTrade,https://github.com/hanryang0106/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
hanwenlin/ContestTrade,https://github.com/hanwenlin/ContestTrade,branch,main,16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,official_history_reachable,0,False
HappyNingle/ContestTrade,https://github.com/HappyNingle/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,contributing,7e515b30d415799577dba55c49f32d276d931580,divergent,1,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,feat/add-data-contest-system,86a80065261782f34bdc79b90912f4870c2f8eee,official_history_reachable,0,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,feat/add-stock-symbol-search-akshare,2b580e5770c1b917f26e13252ae7479ef06d6eb0,divergent,17,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,feat/akshare-integration,4947ab058aa5ba479ac17dec8e630f5df86495ff,divergent,17,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,fix_bug,0a5c917a14d4116f17b14e28d7365b42d5cc6c34,official_history_reachable,0,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,main,eb2b3d8914dc2c2d3e44d49ace1985618a0a95a0,official_history_reachable,0,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,market-manager-offline-cache,6b9f2496c0309ab20430443fc7575cede2465c1a,divergent,10,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,optimize-trade-calendar,6a825910761691b00cd8917bd726cb41acb473dc,divergent,2,False
harooos/ContestTrade,https://github.com/harooos/ContestTrade,branch,yb_fix_bug,ebbcac9b455277bae095e7df836d4acfd70e1b9b,official_history_reachable,0,False
harshitanand/ContestTrade,https://github.com/harshitanand/ContestTrade,branch,dev,b017ffaa23eee5043163b4a11b5803b6da58fd0e,official_history_reachable,0,False
harshitanand/ContestTrade,https://github.com/harshitanand/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
harshitanand/ContestTrade,https://github.com/harshitanand/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
harshitanand/ContestTrade,https://github.com/harshitanand/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
harshitanand/ContestTrade,https://github.com/harshitanand/ContestTrade,tag,v2.0,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
haydenp-zhou/ContestTrade,https://github.com/haydenp-zhou/ContestTrade,branch,main,a56a1287f075d3fe5544f24507d304cfd22e242a,official_history_reachable,0,False
henry989-hub/ContestTrade,https://github.com/henry989-hub/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
HenryZhou1002/ContestTrade,https://github.com/HenryZhou1002/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
howeSaikou/ContestTrade,https://github.com/howeSaikou/ContestTrade,branch,dev,b017ffaa23eee5043163b4a11b5803b6da58fd0e,official_history_reachable,0,False
howeSaikou/ContestTrade,https://github.com/howeSaikou/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
howeSaikou/ContestTrade,https://github.com/howeSaikou/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
howeSaikou/ContestTrade,https://github.com/howeSaikou/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
howeSaikou/ContestTrade,https://github.com/howeSaikou/ContestTrade,tag,v2.0,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
iamzuoyou/ContestTrade,https://github.com/iamzuoyou/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
iamzuoyou/ContestTrade,https://github.com/iamzuoyou/ContestTrade,branch,zuoyou_dev,b017ffaa23eee5043163b4a11b5803b6da58fd0e,official_history_reachable,0,False
iihll/ContestTrade,https://github.com/iihll/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
IUHHUI/ContestTrade,https://github.com/IUHHUI/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
IYoreI/ContestTrade,https://github.com/IYoreI/ContestTrade,branch,main,92fce9cc479785044b2c930ab9458c80156d8402,official_history_reachable,0,False
jackwonggo/ContestTrade,https://github.com/jackwonggo/ContestTrade,branch,main,9b5148b45ceb62713add983bc88e5a1a2cc227fd,official_history_reachable,0,False
Jayden555/ContestTrade,https://github.com/Jayden555/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
jennifer88huang/ContestTrade,https://github.com/jennifer88huang/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
jh-001/ContestTrade,https://github.com/jh-001/ContestTrade,branch,main,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
jiafozhima/ContestTrade,https://github.com/jiafozhima/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
jo-hero/ContestTrade,https://github.com/jo-hero/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
johny751/ContestTrade,https://github.com/johny751/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
juliux-yuu/ContestTrade,https://github.com/juliux-yuu/ContestTrade,branch,main,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
JZAL9/ContestTrade,https://github.com/JZAL9/ContestTrade,branch,main,022eb086ae193aa90fac358e850de2c964e6911c,official_history_reachable,0,False
kaattz/ContestTrade,https://github.com/kaattz/ContestTrade,branch,main,873a74f54daa4bbbce9d2328edb8129ca2c05edc,divergent,12,False
KevinKDA-Resources/ContestTrade,https://github.com/KevinKDA-Resources/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
KozSummer/ContestTrade,https://github.com/KozSummer/ContestTrade,branch,main,92fce9cc479785044b2c930ab9458c80156d8402,official_history_reachable,0,False
learnwithexamples/ContestTrade,https://github.com/learnwithexamples/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
lee-kylelck/ContestTrade,https://github.com/lee-kylelck/ContestTrade,branch,main,2015725f5f71266680e721b305ee829bfc2b00b3,official_history_reachable,0,False
Leidafang/ContestTrade,https://github.com/Leidafang/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
LightKitty/ContestTrade,https://github.com/LightKitty/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
LingjiaZhang31/ContestTrade,https://github.com/LingjiaZhang31/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
