repository,url,ref_kind,ref_name,head_commit,relation_to_official_history,unique_commits_beyond_official_history,paper_result_credit
xingranya/ContestTrade,https://github.com/xingranya/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
xinzhuwang-wxz/ContestTrade,https://github.com/xinzhuwang-wxz/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
xiurui-pan/ContestTrade-Fund,https://github.com/xiurui-pan/ContestTrade-Fund,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
xraline-oss/ContestTrade,https://github.com/xraline-oss/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
xumou1/ContestTrade,https://github.com/xumou1/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
xuyong3250/ContestTrade,https://github.com/xuyong3250/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
xwinwin/ContestTrade,https://github.com/xwinwin/ContestTrade,branch,dev,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
xwinwin/ContestTrade,https://github.com/xwinwin/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
xwinwin/ContestTrade,https://github.com/xwinwin/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
xwinwin/ContestTrade,https://github.com/xwinwin/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
xwinwin/ContestTrade,https://github.com/xwinwin/ContestTrade,tag,v2.0,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
xxm1616/ContestTrade,https://github.com/xxm1616/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
yb235/ContestTrade,https://github.com/yb235/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
yc42w/ContestTrade,https://github.com/yc42w/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
YeKYLI/ContestTrade,https://github.com/YeKYLI/ContestTrade,branch,main,5d9b6485446b4ced297b076e1e8416e68ebb31e2,official_history_reachable,0,False
yhforever4/ContestTrade,https://github.com/yhforever4/ContestTrade,branch,main,16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,official_history_reachable,0,False
YiXuan-52/ContestTrade,https://github.com/YiXuan-52/ContestTrade,branch,main,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,official_history_reachable,0,False
youxiaohanpian/ContestTrade,https://github.com/youxiaohanpian/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
youyoucaocao/ContestTrade,https://github.com/youyoucaocao/ContestTrade,branch,dev,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
youyoucaocao/ContestTrade,https://github.com/youyoucaocao/ContestTrade,branch,main,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,official_history_reachable,0,False
youyoucaocao/ContestTrade,https://github.com/youyoucaocao/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
youyoucaocao/ContestTrade,https://github.com/youyoucaocao/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
yryd/ContestTrade,https://github.com/yryd/ContestTrade,branch,main,9b5148b45ceb62713add983bc88e5a1a2cc227fd,official_history_reachable,0,False
yuhai94/ContestTrade,https://github.com/yuhai94/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
zchaocoder/ContestTrade,https://github.com/zchaocoder/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
zenithfang/ContestTrade,https://github.com/zenithfang/ContestTrade,branch,main,781c080547e5534fd2f384b1168c0c85fafaf2ef,official_history_reachable,0,False
zhaijiaqi/ContestTrade,https://github.com/zhaijiaqi/ContestTrade,branch,dev,9667243bd2f27727b5d42b80f85dfa2773e409ae,official_history_reachable,0,False
zhaijiaqi/ContestTrade,https://github.com/zhaijiaqi/ContestTrade,branch,main,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
zhaijiaqi/ContestTrade,https://github.com/zhaijiaqi/ContestTrade,tag,v1.0,750251a1cfc96470879ede7e513098466d9c27aa,official_history_reachable,0,False
zhaijiaqi/ContestTrade,https://github.com/zhaijiaqi/ContestTrade,tag,v1.1,3025a7150ca539d43617437c0253fe6caf0c0cba,official_history_reachable,0,False
zhichengshi/ContestTrade,https://github.com/zhichengshi/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
zhuzhubf/ContestTrade,https://github.com/zhuzhubf/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
zkings001/ContestTrade,https://github.com/zkings001/ContestTrade,branch,main,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,official_history_reachable,0,False
zl007700/ContestTrade,https://github.com/zl007700/ContestTrade,branch,main,79249b5ff48f115335041d2364f97fe370947daa,official_history_reachable,0,False
zxcheergo/ContestTrade,https://github.com/zxcheergo/ContestTrade,branch,main,7e960d01f7bba90c4e076fc8da59326838a861a5,official_history_reachable,0,False
