head_commit,repositories_and_refs,ref_count,relation_to_official_history,merge_base_with_official_head,commits_ahead_of_official_head,commits_behind_official_head,unique_commits_beyond_official_history,tracked_paths,data_contest_called_from_main,research_contest_called_from_main,research_model_files,research_predict_signal_scores_method,facility_location_allocator_present,date_loop_backtest_command_present,native_nonpaper_personal_portfolio_ledger_present,native_paper_result_artifact_present,paper_result_credit
01ce65b53015513af4f2d5e2f2bfda72dd4d4c5b,CareyWang/contesttrade:branch:dev,1,official_history_reachable,01ce65b53015513af4f2d5e2f2bfda72dd4d4c5b,0,42,0,93,False,False,0,False,False,False,False,False,False
022eb086ae193aa90fac358e850de2c964e6911c,JZAL9/ContestTrade:branch:main,1,official_history_reachable,022eb086ae193aa90fac358e850de2c964e6911c,0,89,0,68,False,False,0,False,False,False,False,False,False
0664186962f68d74c2fc134b469ef73a58a50e79,BelieveInBehavior/ContestTrade:branch:feature/moreProvider,1,divergent,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2,0,2,119,False,False,0,False,False,False,False,False,False
0a5c917a14d4116f17b14e28d7365b42d5cc6c34,harooos/ContestTrade:branch:fix_bug,1,official_history_reachable,0a5c917a14d4116f17b14e28d7365b42d5cc6c34,0,91,0,68,False,False,0,False,False,False,False,False,False
0bdc59530f6e5196f9701cbe2df8612869176c9e,pppppppw/ContestTrade:branch:main,1,official_history_reachable,0bdc59530f6e5196f9701cbe2df8612869176c9e,0,83,0,68,False,False,0,False,False,False,False,False,False
15ab7977209704cf664436aa1ebc5b2583b2fdcc,ue0007/ContestTrade:branch:personal_version,1,divergent,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,3,0,3,126,False,False,0,False,False,False,False,False,False
16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,hanwenlin/ContestTrade:branch:main;ricksolaris/ContestTrade:branch:main;whitebai968/ContestTrade:branch:main;yhforever4/ContestTrade:branch:main,4,official_history_reachable,16f88b9b748e4398e9a9327aa37e5f0d393e9c3b,0,31,0,100,False,False,0,False,False,False,False,False,False
1a6c73d40f6b5230af52d2f7cbdfee480c74047e,fanyufan/ContestTrade:branch:main,1,divergent,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,1,43,1,89,False,False,0,False,False,False,False,False,False
2015725f5f71266680e721b305ee829bfc2b00b3,ShaneZhengNZ/ContestTrade:branch:main;lee-kylelck/ContestTrade:branch:main,2,official_history_reachable,2015725f5f71266680e721b305ee829bfc2b00b3,0,22,0,104,False,False,0,False,False,False,False,False,False
22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2023bunny/ContestTrade:branch:main;ACodePorter/ContestTrade:branch:main;BelieveInBehavior/ContestTrade:branch:main;GuoYucheng7777/ContestTrade:branch:main;Jayden555/ContestTrade:branch:main;Leidafang/ContestTrade:branch:main;Snake-Dzh/ContestTrade:branch:main;TerryLiu/ContestTrade:branch:main;YiXuan-52/ContestTrade:branch:main;alpha92012/ContestTrade:branch:main;bianjiehui/ContestTrade:branch:main;daozhang107-ctrl/ContestTrade:branch:main;daxiajames/ContestTrade:branch:main;doublew6/ContestTrade:branch:main;gcrong01/ContestTrade:branch:main;geeeeekcoooder/ContestTrade:branch:main;harshitanand/ContestTrade:branch:main;henry989-hub/ContestTrade:branch:main;iihll/ContestTrade:branch:main;jennifer88huang/ContestTrade:branch:main;linyi0422/ContestTrade:branch:main;lxy798132784/ContestTrade:branch:main;manlujun/ContestTrade:branch:main;maoqizhen/ContestTrade:branch:main;margareetdamelo/ContestTrade:branch:main;maxclchen/ContestTrade:branch:main;ni-cheng/ContestTrade:branch:main;perhapsll/ContestTrade:branch:main;sandianshui-18/ContestTrade:branch:main;stormsha/ContestTrade:branch:main;ue0007/ContestTrade:branch:main;wbjqiqi/ContestTrade:branch:main;whitebfz-ctrl/ContestTrade:branch:main;xinghuo2023/ContestTrade:branch:main;xingranya/ContestTrade:branch:main;xraline-oss/ContestTrade:branch:main;xwinwin/ContestTrade:branch:main,37,official_head_exact,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,0,0,0,117,False,False,0,False,False,False,False,False,False
2b580e5770c1b917f26e13252ae7479ef06d6eb0,harooos/ContestTrade:branch:feat/add-stock-symbol-search-akshare,1,divergent,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,17,67,17,86,False,False,0,False,False,False,False,False,False
3025a7150ca539d43617437c0253fe6caf0c0cba,ExileSaber/ContestTrade:tag:v1.1;LiuWQ0809/ContestTrade:tag:v1.1;doublew6/ContestTrade:tag:v1.1;dswcpp/ContestTrade:branch:main;harshitanand/ContestTrade:tag:v1.1;howeSaikou/ContestTrade:tag:v1.1;juliux-yuu/ContestTrade:branch:main;pseudocodes/ContestTrade:tag:v1.1;xdengpao/ContestTrade:tag:v1.1;xwinwin/ContestTrade:tag:v1.1;youyoucaocao/ContestTrade:tag:v1.1;zhaijiaqi/ContestTrade:branch:main;zhaijiaqi/ContestTrade:tag:v1.1,13,official_history_reachable,3025a7150ca539d43617437c0253fe6caf0c0cba,0,48,0,86,False,False,0,False,False,False,False,False,False
380e653386686dd9c3c573e3e946900947076f82,BelieveInBehavior/ContestTrade:branch:test,1,divergent,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,5,0,5,113,False,False,0,False,False,False,False,False,False
42d01c4b404af92b8b6d8e3c678d2259e68176ba,arnjblancer/ContestTrade:branch:codex/implement-backtesting-option-for-analysis,1,divergent,7e960d01f7bba90c4e076fc8da59326838a861a5,4,12,4,118,False,False,0,False,False,True,False,False,False
4947ab058aa5ba479ac17dec8e630f5df86495ff,harooos/ContestTrade:branch:feat/akshare-integration,1,divergent,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,17,67,17,86,False,False,0,False,False,False,False,False,False
542f140bb0b14852ddcf26f5186cc6c3d57e4f77,BourneNeo/ContestTrade:branch:main;CareyWang/contesttrade:branch:main;ExileSaber/ContestTrade:branch:dev;ExileSaber/ContestTrade:branch:main;codeboyjc/ContestTrade:branch:main;lugesot/ContestTrade:branch:main;pseudocodes/ContestTrade:branch:dev;pseudocodes/ContestTrade:branch:main;sf2046/ContestTrade:branch:main;waili8029/ContestTrade:branch:main;youyoucaocao/ContestTrade:branch:dev;youyoucaocao/ContestTrade:branch:main,12,official_history_reachable,542f140bb0b14852ddcf26f5186cc6c3d57e4f77,0,43,0,87,False,False,0,False,False,False,False,False,False
5bf666fd9b0524d557c8bd5d02f2934774ceea6e,whitebai968/ContestTrade:branch:dev,1,official_history_reachable,5bf666fd9b0524d557c8bd5d02f2934774ceea6e,0,30,0,100,False,False,0,False,False,False,False,False,False
5d9b6485446b4ced297b076e1e8416e68ebb31e2,YeKYLI/ContestTrade:branch:main;dfqc0571/ContestTrade:branch:main;hanryang0106/ContestTrade:branch:main;howeSaikou/ContestTrade:branch:main;jo-hero/ContestTrade:branch:main;musthesijie/ContestTrade:branch:main;quantitative-trading-evangelist/ContestTrade:branch:main;shuhua0411/ContestTrade:branch:main;wang378685378/ContestTrade:branch:main;xinzhuwang-wxz/ContestTrade:branch:main,10,official_history_reachable,5d9b6485446b4ced297b076e1e8416e68ebb31e2,0,1,0,117,False,False,0,False,False,False,False,False,False
6a825910761691b00cd8917bd726cb41acb473dc,harooos/ContestTrade:branch:optimize-trade-calendar,1,divergent,8293720e217560c7ac1bd3b04f375e88e4408845,2,68,2,74,False,False,0,False,False,False,False,False,False
6b9f2496c0309ab20430443fc7575cede2465c1a,harooos/ContestTrade:branch:market-manager-offline-cache,1,divergent,fc9134979ab60b9349ae6969f35ec0d9d5fa6b58,10,67,10,85,False,False,0,False,False,False,False,False,False
6ebb1e1d93a30b3b3aa9a294a1aebf210b01740d,maoqizhen/ContestTrade:branch:Integration,1,divergent,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,16,0,16,130,False,False,0,False,False,False,False,False,False
6fc33fd416a00f2e0bd51a855adc77442b7c4e8e,conucleus/ContestTrade:branch:main,1,official_history_reachable,6fc33fd416a00f2e0bd51a855adc77442b7c4e8e,0,115,0,63,False,False,0,False,False,False,False,False,False
706ac85f42eff9afe7a7eca76ef1b0d5e0e7d635,gscr10/ContestTrade:branch:main,1,official_history_reachable,706ac85f42eff9afe7a7eca76ef1b0d5e0e7d635,0,81,0,68,False,False,0,False,False,False,False,False,False
7236f3310091ba66a55906b870711c65284feba2,lugesot/ContestTrade:branch:feature/add_docker,1,official_history_reachable,7236f3310091ba66a55906b870711c65284feba2,0,42,0,89,False,False,0,False,False,False,False,False,False
7354d05b7ae7580c9a2e583cd3a0547c2cf49dd5,doublew6/ContestTrade:branch:codex/fix-research-agent-loop,1,divergent,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,1,0,1,118,False,False,0,False,False,False,False,False,False
750251a1cfc96470879ede7e513098466d9c27aa,ExileSaber/ContestTrade:tag:v1.0;LiuWQ0809/ContestTrade:tag:v1.0;Luxuff/ContestTrade:branch:main;doublew6/ContestTrade:tag:v1.0;feng-sword/ContestTrade:branch:main;fengbichuan/ContestTrade:branch:main;harshitanand/ContestTrade:tag:v1.0;howeSaikou/ContestTrade:tag:v1.0;jh-001/ContestTrade:branch:main;pseudocodes/ContestTrade:tag:v1.0;xdengpao/ContestTrade:tag:v1.0;xwinwin/ContestTrade:tag:v1.0;youyoucaocao/ContestTrade:tag:v1.0;zhaijiaqi/ContestTrade:tag:v1.0,14,official_history_reachable,750251a1cfc96470879ede7e513098466d9c27aa,0,77,0,68,False,False,0,False,False,False,False,False,False
75ca8b1dd50f7a3d6b63f4d41095786aa87a8872,RoyalTeng/ContestTrade:branch:main,1,divergent,92fce9cc479785044b2c930ab9458c80156d8402,6,44,6,97,False,False,0,False,False,False,False,False,False
781c080547e5534fd2f384b1168c0c85fafaf2ef,HenryZhou1002/ContestTrade:branch:main;KevinKDA-Resources/ContestTrade:branch:main;LightKitty/ContestTrade:branch:main;LucaOAI/ContestTrade:branch:main;Sven-LI-sankyuu/ContestTrade:branch:main;a268749/ContestTrade:branch:main;amazinggrey/ContestTrade:branch:main;bygonetime/ContestTrade:branch:main;cantonar/ContestTrade:branch:main;goldenquant/ContestTrade:branch:main;jiafozhima/ContestTrade:branch:main;johny751/ContestTrade:branch:main;xiurui-pan/ContestTrade-Fund:branch:main;xumou1/ContestTrade:branch:main;xxm1616/ContestTrade:branch:main;yb235/ContestTrade:branch:main;zenithfang/ContestTrade:branch:main,17,official_history_reachable,781c080547e5534fd2f384b1168c0c85fafaf2ef,0,79,0,68,False,False,0,False,False,False,False,False,False
