paper_version,submitted_at,pdf_sha256,pdf_bytes,pdf_pages,source_archive_sha256,source_archive_bytes,source_files,source_uncompressed_bytes,main_tex_sha256,distinct_result_row_value_sequences_verified,displayed_table_cells,displayed_figure_series,result_values_same_as_v4,main_result_raster_sha256,ablation_result_raster_sha256,public_repository_commits_at_submission,latest_public_commit_at_submission,data_contest_source_present_at_submission,research_contest_source_present_at_submission,public_source_state,native_result_reproduced,paper_result_credit
v1,2025-08-01T11:48:13Z,323cae5cc50ab6c7a2fa4acbce4d1f27582ad57ad6a1ec5f4ac1f8df92701c88,3971025,9,c6eed2c73639448e91e2957828fb78b67ff27730df6db8d04002be6b2a07dc59,3240263,12,3866542,afd09dba622cef1b51f0d92d39233a9d05691cc3a2a784c3779a026299582c53,16,49,15,True,d8af1c91d75a193d2a76359f6999f3f9998f3b5fb7dcf6a4e2f1c3e67a93f75e,89b27648998bf7fc792f02ed1b2f4fac250acc64b31b657a5ce4fee82dcce38d,0,,False,False,repository_not_yet_created,False,False
v2,2025-08-13T13:17:06Z,63b5845e6db4bff28d2f742bb0e14e8c5b58e8c13e17b422dc63a5fd38bcec77,4015275,9,587ae77726956e0ede5674b0632e8bf082916957a06013f729a3937e3f5f9d2a,3274447,12,3910578,115ed7e294848efb76c41ffd343b3bc3123a29f94aa9d1a6d6f90b751855026f,16,49,15,True,eb9076ab2fd42c764f7a0f4a3bbdd7c2fd76a7bcc5c1a6f5caf7f908d8ef74d3,89b27648998bf7fc792f02ed1b2f4fac250acc64b31b657a5ce4fee82dcce38d,36,13eaf2acb87c348ff695d54a8d861ab3a486c099,False,False,generic_agents_and_legacy_judger_no_data_or_research_contest,False,False
v3,2025-08-18T06:13:10Z,5d4f7f2bb89c871c2c9508391afee7aa3795108aa00d8acc82378978d46b2070,3966023,9,e792beb2c64d8b5f6e45b71278d835fb2eabf4e1580b846d8a966855b3b00e7f,3246448,12,3862059,b7ea1a1d4ffe3193bfd454c95fd01338f11b5caecd9c1da7ce38ab308c4317fd,16,49,15,True,eb9076ab2fd42c764f7a0f4a3bbdd7c2fd76a7bcc5c1a6f5caf7f908d8ef74d3,89b27648998bf7fc792f02ed1b2f4fac250acc64b31b657a5ce4fee82dcce38d,53,750251a1cfc96470879ede7e513098466d9c27aa,False,False,generic_agents_and_legacy_judger_no_data_or_research_contest,False,False
v4,2026-07-08T07:16:24Z,a2fd14e7e9074c535ab238a4a9028365c860169743e06223bd20302de549a15c,3966727,8,0394d207779d165a36fb203eb26683d735d51477df8ddeecbc9482ad96a4bac9,3237611,11,3825318,6cd9686c58273c298d50ec32c8947a5618fd71fc52a790d1c07d53c97ccfdb83,16,49,15,True,eb9076ab2fd42c764f7a0f4a3bbdd7c2fd76a7bcc5c1a6f5caf7f908d8ef74d3,89b27648998bf7fc792f02ed1b2f4fac250acc64b31b657a5ce4fee82dcce38d,130,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,True,True,isolated_contests_present_but_not_reachable_from_public_entrypoint,False,False
