file,size_bytes,sha256,safe_inspection_only,model_class_string_present,objective_regression_l1_present,feature_names,feature_count,expected_five_feature_set,training_dates_split_seed_provenance_present,status
contest_trade/contest/data_analyst/lightgbm_predictor/lgbm_mean_model.joblib,115553,b465f26e4493e77de35b9821038f95ee87074044cff92099d69fdf5478f7036e,True,True,True,reward_mean_1d reward_mean_3d reward_std_3d reward_mean_5d reward_std_5d,5,True,False,shipped_component_without_training_provenance
contest_trade/contest/data_analyst/lightgbm_predictor/lgbm_std_model.joblib,118859,418a45f8848aef18f1b1f1de17b26b9d3873e1d11f7da4e378be3e37d6769fbf,True,True,True,reward_mean_1d reward_mean_3d reward_std_3d reward_mean_5d reward_std_5d,5,True,False,shipped_component_without_training_provenance
