path,extension,historical_blob_versions,first_reachable_commit,first_reachable_committed_at,last_reachable_commit,last_reachable_committed_at,native_structured_result_path,exact_original_v1_result_raster,classification,paper_result_credit
.dockerignore,,1,7236f3310091ba66a55906b870711c65284feba2,2025-08-25T19:28:49+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
.gitignore,,3,e42d8db87b0f54ce4013e47244c1196d612a95f5,2025-08-08T17:06:47+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
CONTRIBUTING.md,.md,2,69d5518f9ad2db0b75b2e83f34b63bb1eb29262e,2025-08-18T16:59:24+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
Dockerfile,,3,7236f3310091ba66a55906b870711c65284feba2,2025-08-25T19:28:49+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
LICENSE,,2,e42d8db87b0f54ce4013e47244c1196d612a95f5,2025-08-08T17:06:47+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
README.md,.md,30,e42d8db87b0f54ce4013e47244c1196d612a95f5,2025-08-08T17:06:47+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
README_cn.md,.md,2,c1085f2a482d4e47937729462b357ca0111dd04c,2025-09-01T14:51:14+08:00,5d9b6485446b4ced297b076e1e8416e68ebb31e2,2025-10-13T20:28:42+08:00,False,False,source_documentation_or_nonresult_media,False
README_en.md,.md,19,2459b89bdb757be342ab8f9631b806bc2f01b31c,2025-08-11T15:56:17+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
assets/architecture.jpg,.jpg,1,1a922c73dc9fefc6e2069d4fccbe400e3f6847ee,2025-08-11T15:57:42+08:00,22432f9bbba5f1d6862d3b6b5508d4d882b40b94,2025-12-22T17:26:26+08:00,False,False,source_documentation_or_nonresult_media,False
assets/cli.jpg,.jpg,1,1a3679b1e37c6ec218e4b0322b5a27ed8f1fe771,2025-08-11T17:57:41+08:00,226ba991115ee31d8cb49a80762252dd5cb13377,2025-08-13T02:29:17+08:00,False,False,source_documentation_or_nonresult_media,False
