file,size_bytes,sha256,paper_result_artifact
contest_trade/contest/data_analyst/data_manager.py,8055,3b5cea3b74b43f2f5264a13354d39b51fdef1d3f49aabd210ae817dc3e7d0c27,False
contest_trade/contest/data_analyst/evaluator.py,15945,948bd379e55a7d75a20990ae966d4f1f5e7241935a891cad8384bc193ce56716,False
contest_trade/contest/data_analyst/lightgbm_predictor/lgbm_mean_model.joblib,115553,b465f26e4493e77de35b9821038f95ee87074044cff92099d69fdf5478f7036e,False
contest_trade/contest/data_analyst/lightgbm_predictor/lgbm_std_model.joblib,118859,418a45f8848aef18f1b1f1de17b26b9d3873e1d11f7da4e378be3e37d6769fbf,False
contest_trade/contest/data_analyst/predictor.py,7841,e5b8c20b2f4308d073a8b5b50cfd89c692d6fcd75d87dc35412491749230a106,False
contest_trade/contest/researcher/__init__.py,165,abc7846d11a4dd8fabcd815ed593be6deeab2efb02f6031fa66049edee6e500e,False
contest_trade/contest/researcher/lightgbm_predictor/train_model.py,2079,f316fac40de6fd1e56e7511fb51ea3101f625e34cc3ac33d2aa7802fbc35ce65,False
contest_trade/contest/researcher/research_contest.py,15841,80004deb52f673d28e7c2ffbfef3f3da68be0794d2445903ad95e584b7f916af,False
contest_trade/contest/researcher/research_contest_types.py,1592,e188dbbfc46e73d827750cbe6aa04b7bb422ccb47508599b86c33963317af4e0,False
contest_trade/contest/researcher/research_data_manager.py,12904,57bf18cba4759e24d1939be4aa5481351a0f6d71646441b24dd712240ec76677,False
contest_trade/contest/researcher/research_predictor.py,16966,36742c53b7abf10d2599642fae05e87f8cd2e9052232d16d2468b6e3e461f0cc,False
contest_trade/contest/researcher/research_signal_judger.py,13012,768699811c13e2c5e480337884a0ec78c3f69b9cf5b1e652c1530ded03aa4e38,False
contest_trade/contest/researcher/research_weight_optimizer.py,4622,509725dc372c401f79158f5dd174c81a9a8da39f8a35c70ad53f462a0fa6296a,False
contest_trade/data_source/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False
contest_trade/data_source/akshare_us_market.py,8606,5cde86234d058a03efa243a9afb7498f3bdf15ee1dbabc7fd0a9cd7a35981d0c,False
contest_trade/data_source/data_source_base.py,1552,ef8fe579b9d30d86f519b66caf9bd7480ff0fa543e64a82cc2fb9b9d1d074561,False
contest_trade/data_source/hot_money.py,27394,10b7c4a23b14cb3cb27ce122a4375a87b75cc642d0ac6fd9a9e9676bc54f72fd,False
contest_trade/data_source/hot_money_akshare.py,15660,c726d8674c398011b8001172afd376a5a65a54742a15257d83a79047a5b19131,False
contest_trade/data_source/price_market.py,15313,da50cec3f32e6753ee4499ba1841c4d8a965c3ebd5ffc2b854aceae40ca227b4,False
contest_trade/data_source/price_market_akshare.py,22434,97cf9acf632c7aa4402948d6051f02c5c4b8035c3476f76272647c349b9e5474,False
contest_trade/data_source/sina_news.py,1241,31cedebb2a724b13b2b33faee7bc8d06e935be98f413b8c57564bdc6e4c6718c,False
contest_trade/data_source/sina_news_crawl.py,15166,f596446fc7b6c66ef7e2218785c5a48da53cd9097901431d3d0851bd1a8ae237,False
contest_trade/data_source/thx_news.py,1231,e1713ee1542490b6023c5d8aef0581979870d17ee8cc5c4aa9fd6a6f2f9483c2,False
contest_trade/data_source/thx_news_crawl.py,13272,5156d3049e5a3e330d17d0d41eba6ca9821d9e1d68be9f4425968edbc37ae0b0,False
contest_trade/data_source/us_polygon_news.py,2870,e5b6fad489c8eaaf794d81b8b06cd3f39440936e9a74db3b2d24bc8c7b272f41,False
