paper_table,scope,strategy_or_configuration,paper_daily_volatility_pct,paper_annualized_volatility_pct,daily_times_sqrt_252_pct,absolute_error,status
2,TSLA,buy_and_hold,4.4084,69.9818,69.98118047818285,0.000619521817156965,rounding_consistent
2,TSLA,finmem,2.9522,46.8649,46.864722123149306,0.00017787685069237114,rounding_consistent
2,TSLA,generative_agents,2.8774,45.6774,45.67730893474352,9.106525647695207e-05,rounding_consistent
2,TSLA,fingpt,3.4145,54.2027,54.20350710978027,0.0008071097802684335,rounding_consistent
2,TSLA,a2c,4.4096,70.0009,70.00022988762252,0.0006701123774774942,rounding_consistent
2,TSLA,ppo,4.411,70.0232,70.02245419863546,0.0007458013645447181,rounding_consistent
2,TSLA,dqn,4.4027,69.89,69.89069578334444,0.000695783344440315,rounding_consistent
2,NFLX,buy_and_hold,3.1964,50.741,50.74127694412115,0.0002769441211469825,rounding_consistent
2,NFLX,finmem,2.2951,36.4342,36.43358300414606,0.0006169958539388176,rounding_consistent
2,NFLX,generative_agents,2.546,40.4168,40.416497027822686,0.0003029721773160077,rounding_consistent
2,NFLX,fingpt,2.6819,42.5732,42.573842646864755,0.0006426468647546812,rounding_consistent
2,NFLX,a2c,3.2071,50.9112,50.9111341782915,6.5821708503222e-05,rounding_consistent
2,NFLX,ppo,3.2086,50.9344,50.934945940091076,0.0005459400910794443,rounding_consistent
2,NFLX,dqn,3.2078,50.9217,50.922246333797965,0.0005463337979634275,rounding_consistent
2,AMZN,buy_and_hold,2.7697,43.9674,43.96762443753358,0.00022443753358203367,rounding_consistent
2,AMZN,finmem,2.6872,42.6576,42.65797753855661,0.0003775385566058276,rounding_consistent
2,AMZN,generative_agents,1.7864,28.3576,28.35822085251471,0.0006208525147073374,rounding_consistent
2,AMZN,fingpt,1.7464,27.7225,27.723240537859205,0.000740537859204693,rounding_consistent
2,AMZN,a2c,2.7706,43.9819,43.98191149461333,1.1494613325169212e-05,rounding_consistent
2,AMZN,ppo,2.7702,43.9761,43.97556169146677,0.000538308533229781,rounding_consistent
2,AMZN,dqn,2.7603,43.8177,43.81840406358954,0.0007040635895378955,rounding_consistent
2,MSFT,buy_and_hold,2.2326,35.4411,35.44142626249683,0.0003262624968343175,rounding_consistent
2,MSFT,finmem,2.0512,32.5617,32.561790535534136,9.053553413451709e-05,rounding_consistent
2,MSFT,generative_agents,1.4318,22.7285,22.729120363093685,0.0006203630936845173,rounding_consistent
2,MSFT,fingpt,1.6442,26.1008,26.1008658339144,6.583391440173614e-05,rounding_consistent
2,MSFT,a2c,2.2357,35.4913,35.490637236882634,0.00066276311736857,rounding_consistent
2,MSFT,ppo,2.2333,35.4532,35.4525384180033,0.0006615819967024095,rounding_consistent
2,MSFT,dqn,2.2326,35.4408,35.44142626249683,0.0006262624968300656,rounding_consistent
2,COIN,buy_and_hold,6.7517,107.1795,107.17991476148877,0.00041476148876995467,rounding_consistent
2,COIN,finmem,5.6538,89.7515,89.7512925749819,0.00020742501808967972,rounding_consistent
2,COIN,generative_agents,4.4783,71.0908,71.09080857804334,8.57804333520562e-06,rounding_consistent
2,COIN,fingpt,5.2736,83.7153,83.71580468418135,0.0005046841813509673,rounding_consistent
3,TSLA_ablation,buy_and_hold,3.805,60.402,60.40250243160461,0.0005024316046089439,rounding_consistent
3,TSLA_ablation,gpt_3_5_turbo,0.8862,14.0683,14.067988871192641,0.0003111288073593954,rounding_consistent
3,TSLA_ablation,gpt_4,3.3339,52.9237,52.92402177574943,0.00032177574943403897,rounding_consistent
3,TSLA_ablation,gpt_4_turbo,2.596,41.21,41.21022242114206,0.00022242114206250108,rounding_consistent
3,TSLA_ablation,davinci_003,0.2269,3.6018,3.6019258348833336,0.00012583488333373083,rounding_consistent
3,TSLA_ablation,llama2_70b_chat,2.1891,34.7503,34.75088517030897,0.0005851703089660987,rounding_consistent
4,TSLA_ablation,buy_and_hold,3.9527,3.805,62.747167243470045,58.942167243470045,paper_internal_annualization_mismatch
4,TSLA_ablation,self_adaptive,2.7419,2.596,43.526313118848,40.930313118848005,paper_internal_annualization_mismatch
4,TSLA_ablation,risk_seeking,3.2722,2.9236,51.944564640393324,49.02096464039332,paper_internal_annualization_mismatch
4,TSLA_ablation,risk_averse,1.7744,0.9358,28.167726758118057,27.231926758118057,paper_internal_annualization_mismatch
5,TSLA_ablation,buy_and_hold,3.805,60.402,60.40250243160461,0.0005024316046089439,rounding_consistent
5,TSLA_ablation,top_1,3.3105,52.5529,52.55255829167597,0.000341708324029355,rounding_consistent
5,TSLA_ablation,top_3,3.1105,49.3779,49.377656718398455,0.00024328160154141187,rounding_consistent
5,TSLA_ablation,top_5,2.596,41.21,41.21022242114206,0.00022242114206250108,rounding_consistent
5,TSLA_ablation,top_10,3.4262,54.3891,54.389238851817005,0.0001388518170060138,rounding_consistent
