paper_table,scope,strategy_or_configuration,metric,paper_value,source_recomputed_value,absolute_error,display_tolerance,status,evidence
2,TSLA,buy_and_hold,cumulative_return_pct,-18.6312,-25.213667991229816,6.582467991229816,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,TSLA,buy_and_hold,sharpe_ratio,-0.541,-0.7203464182630972,0.17934641826309716,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,TSLA,buy_and_hold,daily_volatility_pct,4.4084,4.409855449786354,0.001455449786353924,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,TSLA,buy_and_hold,annualized_volatility_pct,69.9818,70.00428502726545,0.022485027265446433,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,TSLA,buy_and_hold,max_drawdown_pct,55.3208,57.676542904678165,2.3557429046781664,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,TSLA,finmem,cumulative_return_pct,61.7758,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,finmem,sharpe_ratio,2.6789,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,finmem,daily_volatility_pct,2.9522,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,finmem,annualized_volatility_pct,46.8649,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,finmem,max_drawdown_pct,10.7996,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,generative_agents,cumulative_return_pct,13.4636,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,generative_agents,sharpe_ratio,0.599,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,generative_agents,daily_volatility_pct,2.8774,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,generative_agents,annualized_volatility_pct,45.6774,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,generative_agents,max_drawdown_pct,24.3177,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,fingpt,cumulative_return_pct,-7.4554,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,fingpt,sharpe_ratio,-0.2795,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,fingpt,daily_volatility_pct,3.4145,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,fingpt,annualized_volatility_pct,54.2027,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,fingpt,max_drawdown_pct,42.3993,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,a2c,cumulative_return_pct,13.7067,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,a2c,sharpe_ratio,0.3979,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,a2c,daily_volatility_pct,4.4096,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,a2c,annualized_volatility_pct,70.0009,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,a2c,max_drawdown_pct,52.3308,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,ppo,cumulative_return_pct,1.2877,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,ppo,sharpe_ratio,0.0374,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,ppo,daily_volatility_pct,4.411,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,ppo,annualized_volatility_pct,70.0232,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,ppo,max_drawdown_pct,54.3264,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,dqn,cumulative_return_pct,33.3393,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,dqn,sharpe_ratio,0.9694,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,dqn,daily_volatility_pct,4.4027,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,dqn,annualized_volatility_pct,69.89,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,TSLA,dqn,max_drawdown_pct,52.0033,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,buy_and_hold,cumulative_return_pct,35.5111,34.62507587431038,0.886024125689616,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,NFLX,buy_and_hold,sharpe_ratio,1.4109,1.3695719263356572,0.04132807366434288,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,NFLX,buy_and_hold,daily_volatility_pct,3.1964,3.1851919820312364,0.011208017968763695,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,NFLX,buy_and_hold,annualized_volatility_pct,50.741,50.5633551747094,0.17764482529059933,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,NFLX,buy_and_hold,max_drawdown_pct,20.9263,20.926334880702495,3.48807024934672e-05,5.0000001000000005e-05,exact_displayed_precision_match,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,NFLX,finmem,cumulative_return_pct,36.4485,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,finmem,sharpe_ratio,2.0168,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,finmem,daily_volatility_pct,2.2951,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,finmem,annualized_volatility_pct,36.4342,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,finmem,max_drawdown_pct,15.8495,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,generative_agents,cumulative_return_pct,32.0058,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,generative_agents,sharpe_ratio,1.5965,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,generative_agents,daily_volatility_pct,2.546,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,generative_agents,annualized_volatility_pct,40.4168,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,generative_agents,max_drawdown_pct,16.9893,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,fingpt,cumulative_return_pct,9.009,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,fingpt,sharpe_ratio,0.4266,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,fingpt,daily_volatility_pct,2.6819,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,fingpt,annualized_volatility_pct,42.5732,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,fingpt,max_drawdown_pct,28.2705,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,a2c,cumulative_return_pct,14.6155,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,a2c,sharpe_ratio,0.5788,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,a2c,daily_volatility_pct,3.2071,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,a2c,annualized_volatility_pct,50.9112,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,a2c,max_drawdown_pct,25.0184,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,ppo,cumulative_return_pct,8.4121,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,ppo,sharpe_ratio,0.333,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,ppo,daily_volatility_pct,3.2086,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,ppo,annualized_volatility_pct,50.9344,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,ppo,max_drawdown_pct,25.0184,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,dqn,cumulative_return_pct,-12.2067,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,dqn,sharpe_ratio,-0.4833,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,dqn,daily_volatility_pct,3.2078,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,dqn,annualized_volatility_pct,50.9217,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,NFLX,dqn,max_drawdown_pct,28.7017,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,buy_and_hold,cumulative_return_pct,-10.7739,-16.44277966339871,5.668879663398711,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,AMZN,buy_and_hold,sharpe_ratio,-0.498,-0.7448467166086622,0.2468467166086622,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,AMZN,buy_and_hold,daily_volatility_pct,2.7697,2.7812373614174284,0.01153736141742856,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,AMZN,buy_and_hold,annualized_volatility_pct,43.9674,44.1507743721119,0.18337437211189922,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,AMZN,buy_and_hold,max_drawdown_pct,33.6828,33.884734235189505,0.20193423518950482,5.0000001000000005e-05,mismatch_against_pinned_2026_yahoo_retrieval,released_metric_formula_adapter_plus_pinned_current_yahoo_adjusted_close
2,AMZN,finmem,cumulative_return_pct,4.885,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,finmem,sharpe_ratio,0.2327,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,finmem,daily_volatility_pct,2.6872,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,finmem,annualized_volatility_pct,42.6576,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,finmem,max_drawdown_pct,22.9294,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,generative_agents,cumulative_return_pct,-13.9271,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,generative_agents,sharpe_ratio,-0.9981,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,generative_agents,daily_volatility_pct,1.7864,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,generative_agents,annualized_volatility_pct,28.3576,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,generative_agents,max_drawdown_pct,27.7334,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,fingpt,cumulative_return_pct,-29.6781,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,fingpt,sharpe_ratio,-2.1756,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,fingpt,daily_volatility_pct,1.7464,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,fingpt,annualized_volatility_pct,27.7225,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,fingpt,max_drawdown_pct,28.4838,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,a2c,cumulative_return_pct,-6.3591,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,a2c,sharpe_ratio,-0.2938,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,a2c,daily_volatility_pct,2.7706,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,a2c,annualized_volatility_pct,43.9819,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,a2c,max_drawdown_pct,26.1275,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,ppo,cumulative_return_pct,-8.4194,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,ppo,sharpe_ratio,-0.3891,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,ppo,daily_volatility_pct,2.7702,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,ppo,annualized_volatility_pct,43.9761,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,ppo,max_drawdown_pct,33.6828,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,dqn,cumulative_return_pct,-29.982,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
2,AMZN,dqn,sharpe_ratio,-1.3906,,,5.0000001000000005e-05,unverifiable_missing_native_action_series,paper_value_only_no_shipped_checkpoint_action_path_or_trial_output
