commit,path,sha256,parsed_action_rows,first_action_date,last_action_date,schema,direction_values
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/TSLA_A2C_summary_data_seed2_full.csv,ebbd65e54ea0e54ab89259f294f9aeea0de1c1eec4cb3fb194a20378bf02cdd4,208,2022-06-27,2023-04-24,date+action,"-1,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/TSLA_DQN_summary_data_seed1_full.csv,ea286b8884706e98dee7c5f40e79164a60971a0c87092776e1d3c8902bdae462,208,2022-06-27,2023-04-24,date+action,"-1,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/TSLA_PPO_summary_data_seed1_full.csv,bafbd93695f51ffe6f69705edcff45194a655ff9c8d95ffba02212451c2b413b,212,2022-06-27,2023-04-28,date+action,"-1,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/Tsla-new-full.csv,0b811559e460786eaabb6d74b0de4ed89e1b72e9cf90d0614b9c1fcea276de98,281,2022-03-14,2023-04-25,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/action_df_tsla_park_v2.csv,4f2417a4e3925711cebec0e5352d32eac1c10a9f7a9ae3c9f845ceb281dd9f24,281,2022-03-14,2023-04-25,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Actions/tsla_curie.csv,f69591517c5f534976d672b654093feb42f841a88106ce2c1a5851b1e1fd242d,425,2021-08-17,2023-04-25,dates+actions,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/LLM/TSLA_GPT4.csv,0e25224937553b25cb7323e412d324c728d6487a67110acfc51d3f8380358f99,185,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/LLM/Tsla_GPT4_turbo.csv,d1693d1fc44d15dac7870b9fd65c823da42be1805a6a9e75db684a5b4166b483,185,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/LLM/dat_df_GPT3.5_turbo.csv,6e40ebc177d877d419e0de3ccc5f92980d7b821bc8814e136867dfb2bdcb6acc,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/LLM/dat_df_davicin003.csv,f1fb16eb30edc5c3d2e152c9d434d54018f626c5a174f7797893633db9307f28,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/LLM/dat_df_llama.csv,120f2104ba0415b7751774610ea65581035553d7adc851ebead06cba012d9ea0,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Topk/TSLA_top1.csv,b0ce88bc339355d8829f1f41076e1c3f4f80fd521b08421566ced2f8bd27b08b,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Topk/TSLA_top10.csv,1b4c406443039515efdc6600070d2ff6c25825d50a5791b8979384421f68fe59,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Topk/TSLA_top3.csv,a2a45a0eb0ffb64e235e8b8ea5476bc94961ff81f332d91442ef3cd72375e551,184,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/Topk/TSLA_top5.csv,6856c5acd886641d59bf525fdc97fc4e9fb61b01ced34105b8840673a626578d,186,2022-04-04,2022-12-28,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/character/TSLA_Bi.csv,6856c5acd886641d59bf525fdc97fc4e9fb61b01ced34105b8840673a626578d,186,2022-04-04,2022-12-28,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/character/TSLA_averse_V6.csv,849cb6771eb3c807a07f88d4c42bc69e08877189492392ae0f6a731ae01537f8,185,2022-04-04,2022-12-27,date+direction,"-1,0,1"
0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/character/TSLA_seeking_V8.csv,710e087b658d1d8ed6b4f7af0b7b2c98a2c9bcf097a1009834f2a06418520ae8,185,2022-04-04,2022-12-27,date+direction,"-1,0,1"
