version,submitted_at,pdf_sha256,pdf_bytes,pdf_pages,source_archive_sha256,source_archive_bytes,source_entries,source_files,source_uncompressed_bytes,table_4_pdf_page,table_4_page_visually_inspected,table_4_values_verified_in_pdf_text,table_4_values_verified_in_primary_tex,annualization_equation_verified_in_primary_tex,table_4_revision_status
v1,2023-11-23T00:24:40Z,a7b67bc4a2c2ffe9d7428ce12c230fb9e8760269488016b560700a474aa4f293,7573802,22,b767e14d10dcccf6881ecfd71346f2f8baff77debce97713ebd3c70421e926f9,17012431,33,32,18976429,17,yes,yes,yes,yes,same_numeric_values_retained_across_v1_and_v2
v2,2023-12-03T16:18:55Z,acb7527d02871cfad7d2754314b9a803f917b326847a456579df9cf7b0a648b9,7799225,22,62888b9c2ca94b531bdfff66fb44fe7c361bd46f2154b1d2a7d82f603ffb3ff2,20438499,40,39,22789668,18,yes,yes,yes,yes,same_numeric_values_retained_across_v1_and_v2
