paper_table,scope,strategy_or_configuration,metric,paper_value,historical_notebook_value,absolute_error,display_tolerance,status,evidence_commit,evidence_path
2,TSLA,buy_and_hold,cumulative_return_pct,-18.6312,-18.6312,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,buy_and_hold,sharpe_ratio,-0.541,-0.541048,4.799999999993698e-05,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,buy_and_hold,daily_volatility_pct,4.4084,4.408399999999999,8.881784197001252e-16,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,buy_and_hold,annualized_volatility_pct,69.9818,69.9818,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,buy_and_hold,max_drawdown_pct,55.3208,55.320800000000006,7.105427357601002e-15,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,finmem,cumulative_return_pct,61.7758,61.775800000000004,7.105427357601002e-15,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,finmem,sharpe_ratio,2.6789,2.678859,4.099999999995774e-05,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,finmem,daily_volatility_pct,2.9522,2.9522,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,finmem,annualized_volatility_pct,46.8649,46.8649,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,finmem,max_drawdown_pct,10.7996,10.7996,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,generative_agents,cumulative_return_pct,13.4636,13.463600000000001,1.7763568394002505e-15,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,generative_agents,sharpe_ratio,0.599,0.599015,1.4999999999987246e-05,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,generative_agents,daily_volatility_pct,2.8774,2.8774,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,generative_agents,annualized_volatility_pct,45.6774,45.6774,0.0,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,generative_agents,max_drawdown_pct,24.3177,24.317700000000002,3.552713678800501e-15,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
2,TSLA,fingpt,cumulative_return_pct,-7.4554,-7.455399999999999,8.881784197001252e-16,5.0000001000000005e-05,author_output_exact_displayed_precision_match,0b7f499e556668bf49885fd8836efe85ef51558f,Visualize-metrics-test/metrics.ipynb
