ticker,paper_linked_url,html_sha256,production_bundle_sha256,source_map_sha256,source_map_entries,source_contents_present,trading_days,first_date,last_date,input_fields,human_interface_source_recovered,human_interface_protocol_executable,trusttrade_pipeline_source_recovered,participant_output_recovered,private_participant_endpoint_probed,native_trusttrade_result_credit
AAPL,https://tradingagents-human-aapl.netlify.app/,675419373ac5c161feeee0acc4a6545f2fd33fc23efeb8f44b15d8cf542f2a44,2f7bbdee865fc537f399d1d4ac03a36c9e27de7c53c9f7381fe7c5a8bb2ac479,1c5dd3c4e46537198380acfb47b38890ed2b17ca60c5783fde4bdd54af410d8d,847,847,61,2024-01-02,2024-03-28,15,True,True,False,False,False,False
GOOG,https://tradingagents-human-goog.netlify.app/,33b4d675133f16088e99c419b0786e4c3da5536ee0d2fd8a8a0346d614de7ca5,fc08a53c413bfb5b82bfb91e3888b0f0eae07e4887f62b1b3e3c89e212885c93,d39a33ae7c9f79b57a52d8ea627cea6931dcef7ea33c0aa339e8017075d15509,847,847,61,2024-01-02,2024-03-28,15,True,True,False,False,False,False
NVDA,https://tradingagents-human-nvda.netlify.app/,8bfbc4310a80aed1cc9193cadbb362a23a25d889ca1477b21c8c448d43a80423,4188151e2785730cd4ec1f5ea10ce2812587eeaa1080f377e3b09549475ad3c6,68616c909279471c472fb4dc5d44ffaabb1d8e7f839040571a32d20c4d0b2b53,847,847,61,2024-01-02,2024-03-28,15,True,True,False,False,False,False
