repository,url,branch,head_commit,relation_to_official_head,commits_ahead_of_official,commits_behind_official,tag_refs,unique_commits_beyond_official_history,unique_blobs_beyond_official_history,native_result_artifact_found,paper_result_credit
2275131633/MadEvolve,https://github.com/2275131633/MadEvolve,main,8b881d3a45d8f68050c28c8d64c2bb653001103a,official_head_exact,0,0,0,0,0,False,False
mardom/MadEvolve,https://github.com/mardom/MadEvolve,main,679b50b462ede99b91920e48fcca4c18d777ae61,official_history_ancestor,0,5,0,0,0,False,False
