paper_version,filename,sha256,result_bearing,raw_plot_data_released,native_result_reproduced,status
v1,backtest_profit_LGB.pdf,9305d6fe3431eeec4b4bbc191cbd0eded20fb731e413bcf3b131f0de9a6b9a40,True,False,False,rendered_result_without_raw_plot_data
v1,backtest_profit_MLP.pdf,93a7ef23ff669afd4eb85d33eb5d7ab9a05d8be6f426723be6f81742f444def7,True,False,False,rendered_result_without_raw_plot_data
v1,case_study_1.png,493c9f28c9c70789b961e66d3d535a59952197e43ec03418724d779c94c79a7d,False,False,False,qualitative_or_method_illustration
v1,case_study_2.png,0dbcb1e7062a626663cae995becbe158bb9cb373090fcba8d9156bda86dec98f,False,False,False,qualitative_or_method_illustration
v1,case_study_3.png,571218471fc730741ed02529417e1aa60f91bbf74afd2b3bd71b2e75d05b3ef0,False,False,False,qualitative_or_method_illustration
v1,case_study_4.png,be5cc171e209ae6962ef9c86fa80cd6b51854a48a3a30a4d074d7fb45355bcd7,False,False,False,qualitative_or_method_illustration
v1,case_study_5.png,b581c06099399fe5ec6b0c75c4f8dc4e209bf6d81fa108a532c181342104d739,False,False,False,qualitative_or_method_illustration
v1,freq_efficiency.pdf,4296560336da599809dfdb28d1e689e284b32d501e5a11579111951bf044d3c3,True,False,False,rendered_result_without_raw_plot_data
v1,freq_subtree_desp.png,6ae297532d29a1f94dcd4c7acea8069d3d5ba2eafa779837c956f3bb5d2efad3,False,False,False,qualitative_or_method_illustration
v1,mcts_law.pdf,1ff846f765a2dd798efda08853cb9e35a22144c12f1ea3493633cd7350fa1c17,True,False,False,rendered_result_without_raw_plot_data
v1,method_interpretability_comparison.pdf,aff17b71178ddf5fd92d6f18cb2692ad0959b7d0bec1c6ed587621ab07440601,True,False,False,rendered_result_without_raw_plot_data
v1,method_performance.pdf,854acbe9103997ee76bc2fdfe03cbe2f111c76e3f56f3acbb8612425846d99bf,True,False,False,rendered_result_without_raw_plot_data
v1,overview.png,468d0701d7c74c98cb9736ec94304c8a47a72db3c17a71f914008eb69fd9e461,False,False,False,qualitative_or_method_illustration
v1,parameter_sensitivity_analysis.pdf,912ff1b875cba2c8c0a8d8b773e0805431f3370970402bbdc98ff7626937ca81,True,False,False,rendered_result_without_raw_plot_data
v3,backtest_profit_LGB.pdf,a3b7c273c72b3761cb12b0676ea23cb637de34e511bf91dd801ad9d9ab0092af,True,False,False,rendered_result_without_raw_plot_data
v3,backtest_profit_MLP.pdf,0e59c812f00b150b2f75abc3ac077bd23dd6bc751254442e48951a95b2d451e3,True,False,False,rendered_result_without_raw_plot_data
v3,case_study_1.png,ddc27327c097834cc30e68d68f04270fd012bc9df1890ba73842829273e0c16a,False,False,False,qualitative_or_method_illustration
v3,case_study_2.png,731038b401825eceb7dc842a387549397f43091863309b8d78422b637c3ce330,False,False,False,qualitative_or_method_illustration
v3,case_study_3.png,e72a3ba996e05671b287919f0b22c0a1cb5c361e316e97f70c21f2c9d570825d,False,False,False,qualitative_or_method_illustration
v3,case_study_4.png,6b495b1c2291f5e21ee16163443a023c762682d61d60f48a9ec9f2cf82867ce9,False,False,False,qualitative_or_method_illustration
v3,case_study_5.png,3013554e4fe0307e18ae7efb953772700871f7c2ffb749a3ecb0cbf9b91db2f2,False,False,False,qualitative_or_method_illustration
v3,computation_cost.pdf,ddbb8eb23753f7e27b6d28af5b7c2e288f4b29227a4ab9349ac9fd666d8548b9,True,False,False,rendered_result_without_raw_plot_data
v3,efficiency_comparison.pdf,4c1e4508c1093ce6a20f4caca6244d4857b8c456117c09b6ec66bceb20852727,True,False,False,rendered_result_without_raw_plot_data
v3,freq_subtree_desp.pdf,9216bcb0325cc233b681799467d6d7dd599b96543c00671556361d1be56fbd21,False,False,False,qualitative_or_method_illustration
v3,mcts_law.pdf,f80dec0a222cd1418fe6a73f5731450130f3f209e3c043ec38d761876beae6c3,True,False,False,rendered_result_without_raw_plot_data
v3,method_interpretability_comparison.pdf,4ebcd9644f20141c4a56001a5fbb2a2a92b8aba234ab30ae0857b76d6cc86520,True,False,False,rendered_result_without_raw_plot_data
v3,method_performance.pdf,e6739d628603ce1607d1c90052ca6e5e54a419059e7d312b92d2004e1e4fdb2c,True,False,False,rendered_result_without_raw_plot_data
v3,overview.pdf,11ef48261713ceed2647a6a89bd998a7b872b862903487f4a31b87d4280164ab,False,False,False,qualitative_or_method_illustration
v3,parameter_sensitivity_analysis.pdf,4967ad14c3e511b28342b66278972b2c19dd40ccbc1cef79916cb680487fdb17,True,False,False,rendered_result_without_raw_plot_data
v3,pipeline.pdf,2cacd653b47c47f72fb239a828c756d6497b2bfbf49b3b73f1f6b6f4f46d5251,False,False,False,qualitative_or_method_illustration
