version_pair,lineage_id,paper_table,mapping,earlier_version,earlier_row_index,earlier_metric,earlier_value,current_version,current_row_index,current_metric,current_value,same_numeric_display_value,AR_to_AER_semantic_relabel,current_AR_header_conflicts_with_AER_definition,status,native_reproduction_credit
v2_v3,same_table_cell_ordinal/v2/ablation/row0/LightGBM_IC->v3/ablation/row0/LightGBM_IC,ablation,same_table_cell_ordinal,v2,0,LightGBM_IC,0.0434,v3,0,LightGBM_IC,0.0434,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/LightGBM_RankIC->v3/ablation/row0/LightGBM_RankIC,ablation,same_table_cell_ordinal,v2,0,LightGBM_RankIC,0.0395,v3,0,LightGBM_RankIC,0.0395,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/LightGBM_AER->v3/ablation/row0/LightGBM_AER,ablation,same_table_cell_ordinal,v2,0,LightGBM_AER,0.0707,v3,0,LightGBM_AER,0.0707,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/LightGBM_IR->v3/ablation/row0/LightGBM_IR,ablation,same_table_cell_ordinal,v2,0,LightGBM_IR,0.7461,v3,0,LightGBM_IR,0.7461,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/MLP_IC->v3/ablation/row0/MLP_IC,ablation,same_table_cell_ordinal,v2,0,MLP_IC,0.0421,v3,0,MLP_IC,0.0421,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/MLP_RankIC->v3/ablation/row0/MLP_RankIC,ablation,same_table_cell_ordinal,v2,0,MLP_RankIC,0.0393,v3,0,MLP_RankIC,0.0393,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/MLP_AER->v3/ablation/row0/MLP_AER,ablation,same_table_cell_ordinal,v2,0,MLP_AER,0.0922,v3,0,MLP_AER,0.0922,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row0/MLP_IR->v3/ablation/row0/MLP_IR,ablation,same_table_cell_ordinal,v2,0,MLP_IR,0.9962,v3,0,MLP_IR,0.9962,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/LightGBM_IC->v3/ablation/row1/LightGBM_IC,ablation,same_table_cell_ordinal,v2,1,LightGBM_IC,0.0459,v3,1,LightGBM_IC,0.0459,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/LightGBM_RankIC->v3/ablation/row1/LightGBM_RankIC,ablation,same_table_cell_ordinal,v2,1,LightGBM_RankIC,0.0427,v3,1,LightGBM_RankIC,0.0427,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/LightGBM_AER->v3/ablation/row1/LightGBM_AER,ablation,same_table_cell_ordinal,v2,1,LightGBM_AER,0.0868,v3,1,LightGBM_AER,0.0868,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/LightGBM_IR->v3/ablation/row1/LightGBM_IR,ablation,same_table_cell_ordinal,v2,1,LightGBM_IR,0.9337,v3,1,LightGBM_IR,0.9337,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/MLP_IC->v3/ablation/row1/MLP_IC,ablation,same_table_cell_ordinal,v2,1,MLP_IC,0.0452,v3,1,MLP_IC,0.0452,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/MLP_RankIC->v3/ablation/row1/MLP_RankIC,ablation,same_table_cell_ordinal,v2,1,MLP_RankIC,0.0435,v3,1,MLP_RankIC,0.0435,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/MLP_AER->v3/ablation/row1/MLP_AER,ablation,same_table_cell_ordinal,v2,1,MLP_AER,0.0945,v3,1,MLP_AER,0.0945,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row1/MLP_IR->v3/ablation/row1/MLP_IR,ablation,same_table_cell_ordinal,v2,1,MLP_IR,1.0348,v3,1,MLP_IR,1.0348,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/LightGBM_IC->v3/ablation/row2/LightGBM_IC,ablation,same_table_cell_ordinal,v2,2,LightGBM_IC,0.0409,v3,2,LightGBM_IC,0.0409,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/LightGBM_RankIC->v3/ablation/row2/LightGBM_RankIC,ablation,same_table_cell_ordinal,v2,2,LightGBM_RankIC,0.0374,v3,2,LightGBM_RankIC,0.0374,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/LightGBM_AER->v3/ablation/row2/LightGBM_AER,ablation,same_table_cell_ordinal,v2,2,LightGBM_AER,0.0941,v3,2,LightGBM_AER,0.0941,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/LightGBM_IR->v3/ablation/row2/LightGBM_IR,ablation,same_table_cell_ordinal,v2,2,LightGBM_IR,0.9775,v3,2,LightGBM_IR,0.9775,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/MLP_IC->v3/ablation/row2/MLP_IC,ablation,same_table_cell_ordinal,v2,2,MLP_IC,0.0400,v3,2,MLP_IC,0.0400,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/MLP_RankIC->v3/ablation/row2/MLP_RankIC,ablation,same_table_cell_ordinal,v2,2,MLP_RankIC,0.0376,v3,2,MLP_RankIC,0.0376,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/MLP_AER->v3/ablation/row2/MLP_AER,ablation,same_table_cell_ordinal,v2,2,MLP_AER,0.0935,v3,2,MLP_AER,0.0935,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row2/MLP_IR->v3/ablation/row2/MLP_IR,ablation,same_table_cell_ordinal,v2,2,MLP_IR,1.0010,v3,2,MLP_IR,1.0010,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/LightGBM_IC->v3/ablation/row3/LightGBM_IC,ablation,same_table_cell_ordinal,v2,3,LightGBM_IC,0.0501,v3,3,LightGBM_IC,0.0501,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/LightGBM_RankIC->v3/ablation/row3/LightGBM_RankIC,ablation,same_table_cell_ordinal,v2,3,LightGBM_RankIC,0.0476,v3,3,LightGBM_RankIC,0.0476,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/LightGBM_AER->v3/ablation/row3/LightGBM_AER,ablation,same_table_cell_ordinal,v2,3,LightGBM_AER,0.1003,v3,3,LightGBM_AER,0.1003,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/LightGBM_IR->v3/ablation/row3/LightGBM_IR,ablation,same_table_cell_ordinal,v2,3,LightGBM_IR,1.0106,v3,3,LightGBM_IR,1.0106,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/MLP_IC->v3/ablation/row3/MLP_IC,ablation,same_table_cell_ordinal,v2,3,MLP_IC,0.0486,v3,3,MLP_IC,0.0486,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/MLP_RankIC->v3/ablation/row3/MLP_RankIC,ablation,same_table_cell_ordinal,v2,3,MLP_RankIC,0.0462,v3,3,MLP_RankIC,0.0462,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/MLP_AER->v3/ablation/row3/MLP_AER,ablation,same_table_cell_ordinal,v2,3,MLP_AER,0.1023,v3,3,MLP_AER,0.1023,True,False,False,unchanged_between_v2_v3,False
v2_v3,same_table_cell_ordinal/v2/ablation/row3/MLP_IR->v3/ablation/row3/MLP_IR,ablation,same_table_cell_ordinal,v2,3,MLP_IR,1.0462,v3,3,MLP_IR,1.0462,True,False,False,unchanged_between_v2_v3,False
