path,bytes,sha256,role,is_executable_system_source,replication_credit
00README.json,380,3e8b75d934ae0e739826500bab105217b3ff13b46d2652feea74b28237263151,bibliography_or_typesetting_support,False,False
1.pdf,66143,d6c9b3feb92eb08df09bd3701a773cb3849497c6748ee32b970b398254dd7c9f,published_figure,False,False
10.pdf,72854,40e5833a89c8ad9400b9cbc6a296588ad0daf6cc7a413d040d0cc259ded057fe,published_figure,False,False
2.pdf,379889,1bc5fae935ba3539f61f9c5719935fa9b8b9bd1e67cc44a0f5746226ca57a85a,published_figure,False,False
3.pdf,342732,125503484b975a7eb6d64ab3514ba063976c724a1e10c7225f258ff8267044af,published_figure,False,False
4.pdf,100341,c81e132cc1df600826abac1d00493904dba95d93a1f414a52d6acdba9a943aac,published_figure,False,False
5.pdf,29536,b5ae2652a3f13bbd6064bc8acf0f37d6a6d624f7eb88f2f10e369b86518d627e,published_figure,False,False
6.pdf,356524,0bb82b01dfd504c5150117a44543c8b46a3887e94b9235f5af6ad6a6452d23c9,published_figure,False,False
7.pdf,34532,b0fa23d5de19ca3259dbeb615d5846b49a274b5726bf20eee6c6b4b1caf29ad4,published_figure,False,False
8.pdf,61995,02fb0ef1bcbf1004b8adb7dafabab164a59f1474fd30efe493f0be098f7408c8,published_figure,False,False
9.pdf,61569,7f5c83a6bc36682d4a2bf21610aa4ce504a89decfc9023aa0434243098a8075b,published_figure,False,False
acl.sty,11823,50c78fb4eea9575981ae2728638a237afddc9ca3648bac37d9d894e3523bec43,bibliography_or_typesetting_support,False,False
acl_natbib.bst,44731,baf485e622cb3dc174c5498f4624fc393644b76a0ee91f4b71a4ce2c8dc6acb9,bibliography_or_typesetting_support,False,False
camera.bbl,13499,b5b8badbbc9c1345f9438ba498677d82414efa31038421b3d48f796a1c8ff0d0,bibliography_or_typesetting_support,False,False
camera.tex,144376,3a9fab8762b8a5dc07e0b53ab87b1e95b8c8773229c7b70a2c15721ef906a946,primary_manuscript_source,False,False
quant.bib,91457,99843c99e358c46d6ac2cef1f9ccd302d6fe2bc235cad88f07373bbbf83d0484,bibliography_or_typesetting_support,False,False
