strategy_no,candidate_id,n_months,return_tstat,ff5mom_alpha_tstat_hac,full_alpha_tstat_hac,beats_ff5mom,strict_additive
1,guru_greenblatt_magic_formula,305,0.883873174052248,0.4818531119508877,3.357793984237721,False,True
2,guru_equal_weight_style_ensemble,305,1.97793351290118,2.1120984830959424,3.257671432470688,True,True
3,guru_graham_deep_value_defensive,305,1.0350310452213434,1.511752171798002,3.2445408700526417,False,False
4,alphacrafter_full_stack_multifactor,305,1.194177334107321,0.3355416687258172,3.105001433793833,False,True
5,alphaagents_risk_averse_quality_lowrisk,305,0.3290530697723279,0.1719457670047349,2.908538463272896,False,False
6,code_ai_trader_value_quality,305,2.196165844841072,2.704695756646645,2.680793421392141,True,False
7,code_quantaalpha_self_evolving_factor,305,2.3335788559413655,2.3572731054774465,2.5795037080063747,True,False
8,hedgeagents_balanced_lowrisk_alpha,305,0.0752642091760242,0.1602467030046278,2.4893280255591312,False,False
9,paper_alpha_gpt_interactive_formula,305,1.841173354445558,0.1469914115797572,2.4845473567840703,False,False
10,repo_alphaagent_decay_resistant_quality,305,4.013596522157522,4.263717671948606,2.482985649836876,True,False
11,paper_alphaagentevo_evolved_seed,305,2.1414134777552265,1.654717670070211,2.427586832897774,False,False
12,code_vibe_trading_prompt_allocation,305,1.280714659021784,1.3372934995779158,2.203296570133672,False,False
13,paper_quantagents_risk_controlled_system,305,1.5284150472537503,2.593407826510848,2.0203088856097655,True,False
14,code_ai_hedge_fund_buffett_munger,305,2.7733484387070924,2.418893459855344,2.015498221743111,True,False
15,repo_alphaforgebench_executable_multifactor,305,1.59975305653962,1.3836013642995948,1.9933615941071312,False,False
16,repo_rd_agent_factor_model_compact_ensemble,305,-0.1336315181934175,-0.7893129461197043,1.902035699911279,False,False
17,alphaagents_risk_neutral_fundamental_momentum,305,2.040134475265506,0.131124588943481,1.8004360801698924,False,False
18,paper_llmfactor_explainable_price_news,305,0.688197472225446,-0.3054340664944556,1.6769388176643416,False,False
19,code_alpha_r1_reasoning_screen,305,2.2045858413698673,2.6279748982342,1.5638632271885848,True,False
20,paper_p1gpt_structured_workflow,305,1.9928721213189269,1.433296353033689,1.5294806848039633,False,False
21,guru_buffett_quality_compounder,305,3.3190287141908317,2.7016757591483302,1.3760681982622738,True,False
22,paper_timi_minutes_technical_proxy,305,1.1533127307165336,0.564194422467928,1.3636681778774482,False,False
23,paper_alpha_gpt2_full_pipeline,305,0.8123758764891404,0.0542486172985361,1.2610609613255792,False,False
24,code_tradingagents_multi_agent,305,1.19081999510653,1.30655783271616,1.256561936129064,False,False
25,code_alphaforge_program_factor,305,0.8517042235845734,-0.754157363970928,1.2509566330542083,False,False
26,code_agentictrading_lab_allocation,305,1.5552167568738753,1.7624438122169963,1.2422867354338805,False,False
27,guru_altman_distress_avoidance,305,1.6578737747433798,2.1666107397794714,1.2354763009704606,False,False
28,paper_cogalpha_code_evolved_hybrid,305,1.4934922833594944,1.3192457799263746,1.2000132956644471,False,False
29,paper_factormad_debate_interpretable,305,1.5374451292176152,0.710779737580798,1.1962349597759363,False,False
30,guru_piotroski_fscore_proxy,305,2.285812249929313,1.6627838749497628,0.9787859894530152,False,False
31,repo_quantagent_hft_price_pattern,305,0.14737541354181585,-0.5450020893956278,0.908708040576352,False,False
32,paper_factorminer_memory_diverse_library,305,2.1260075348400975,1.7311362752402977,0.8886288120650024,False,False
33,repo_deepfund_prudent_fund_manager,305,3.9531296590042992,0.955813088476574,0.8228679800143057,False,False
34,fama_value_momentum_interpretable,305,2.1828777342612486,-0.1837938673961219,0.8173031636916943,False,False
35,contesttrade_internal_contest_trailing_sharpe,281,2.653399971066112,1.1111512642567067,0.8164609560445177,False,False
36,code_alphaquanter_tool_orchestrated_rl,305,1.0962390843414132,0.2984796123128371,0.7171389163277638,False,False
37,quantagent_three_soldiers_trend,305,1.0852660862030665,0.8300784366490209,0.6785322183152804,False,False
38,alphalogics_value_quality_growth,305,0.9674058277992417,0.4684135491269864,0.6024071580240749,False,False
39,repo_alphaprobe_dag_diverse_factor_blend,305,2.2699356082051003,1.378741194280524,0.599737030084258,False,False
40,efs_short_reversal_low_noise,305,0.9502977818165099,1.7561359581317666,0.5633077866483092,False,False
41,marketsense_value_momentum_quality,305,1.2906919671543355,0.3526975353079107,0.457972937256304,False,False
42,alpha_jungle_volatility_compression_trend,305,1.2535653003428018,0.5927177925644949,0.2994920730262012,False,False
43,repo_quantevolver_return_sharpe_proxy,305,1.5928808482499501,0.6514961447297817,0.2390217837307302,False,False
44,efs_momentum_low_vol_breakout,305,0.820567979368,-0.7835507212488502,0.2349916149613115,False,False
45,paper_factorengine_program_knowledge,305,0.9227066676394553,1.436739753885049,0.2087357254016331,False,False
46,repo_tradetrap_robust_safety_proxy,305,0.8346454286787895,1.2968582629355123,0.0326761386185219,False,False
47,code_alphagen_symbolic_factor,305,0.8580729244786899,0.1441427689435077,-0.0435139575572242,False,False
48,paper_flag_trader_gradient_policy,305,1.1834460863448608,1.0675358550557148,-0.0584334493761362,False,False
49,quantagent_volatility_breakout,305,0.24253030241002332,-0.5758153237338658,-0.105554974592591,False,False
50,mm_drex_dynamic_router_proxy,305,0.9348514598658918,0.2162816982048129,-0.2058402103151551,False,False
51,alpha_jungle_price_volume_momentum,305,0.22138644857465178,-0.4281621742243973,-0.2925391104587654,False,False
52,efs_sparse_top5_momentum_low_vol,305,3.9056339718085664,1.6659784112549838,-0.3770196574093113,False,False
53,paper_mountainlion_multimodal_allocation,305,1.0631984034951973,0.5113577294327775,-0.4856032676349596,False,False
54,repo_fincon_cvar_risk_controlled_allocator,305,3.019352517020164,-0.8702963839866859,-0.5088973726395765,False,False
55,paper_chain_of_alpha_formula_chain,305,0.25072963805989423,-0.7798340675733807,-0.5795530391160337,False,False
56,paper_finagent_multimodal_generalist,305,3.275921540350729,0.2749299521091902,-0.6635895177611636,False,False
57,paper_janus_q_event_driven_proxy,305,0.056950617914021784,-0.4800193259141644,-0.7483162239630377,False,False
58,code_finmem_memory_trend,305,1.3598759306368915,1.175177285349304,-0.9004899011546221,False,False
59,finvision_trend_dip_risk_control,305,1.7139520291774424,1.490589535154505,-0.9834995118169354,False,False
60,repo_trading_r1_risk_adjusted_reasoning,305,1.5393519534531621,1.460810442859584,-1.2498555072049482,False,False
61,repo_alphabench_formulaic_price_volume,305,-0.144319435390712,-2.1830180489439,-1.3026524753119155,False,False
