display_cell_id,paper_table,cell_role,entity,market,metric,v1_period,v1_value,v2_period,v2_value,status,paper_result_credit
2|DeepSeek-R1 best-of-10|CSI500|MDD_pct,2,result,DeepSeek-R1 best-of-10,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-14.95,2021-01-01 to 2024-12-31,-14.95,unchanged,False
2|DeepSeek-R1 best-of-10|S&P500|AR_pct,2,result,DeepSeek-R1 best-of-10,S&P500,AR_pct,2021-01-01 to 2024-12-31,2.75,2021-01-01 to 2024-12-31,2.75,unchanged,False
2|DeepSeek-R1 best-of-10|S&P500|IC,2,result,DeepSeek-R1 best-of-10,S&P500,IC,2021-01-01 to 2024-12-31,0.0048,2021-01-01 to 2024-12-31,0.0048,unchanged,False
2|DeepSeek-R1 best-of-10|S&P500|ICIR,2,result,DeepSeek-R1 best-of-10,S&P500,ICIR,2021-01-01 to 2024-12-31,0.0369,2021-01-01 to 2024-12-31,0.0369,unchanged,False
2|DeepSeek-R1 best-of-10|S&P500|IR,2,result,DeepSeek-R1 best-of-10,S&P500,IR,2021-01-01 to 2024-12-31,0.24,2021-01-01 to 2024-12-31,0.24,unchanged,False
2|DeepSeek-R1 best-of-10|S&P500|MDD_pct,2,result,DeepSeek-R1 best-of-10,S&P500,MDD_pct,2021-01-01 to 2024-12-31,-15.34,2021-01-01 to 2024-12-31,-15.34,unchanged,False
2|LSTM|CSI500|AR_pct,2,result,LSTM,CSI500,AR_pct,2021-01-01 to 2024-12-31,4.96,2021-01-01 to 2024-12-31,4.96,unchanged,False
2|LSTM|CSI500|IC,2,result,LSTM,CSI500,IC,2021-01-01 to 2024-12-31,0.0175,2021-01-01 to 2024-12-31,0.0175,unchanged,False
2|LSTM|CSI500|ICIR,2,result,LSTM,CSI500,ICIR,2021-01-01 to 2024-12-31,0.1521,2021-01-01 to 2024-12-31,0.1521,unchanged,False
2|LSTM|CSI500|IR,2,result,LSTM,CSI500,IR,2021-01-01 to 2024-12-31,0.6225,2021-01-01 to 2024-12-31,0.6225,unchanged,False
2|LSTM|CSI500|MDD_pct,2,result,LSTM,CSI500,MDD_pct,2021-01-01 to 2024-12-31,-9.68,2021-01-01 to 2024-12-31,-9.68,unchanged,False
2|LSTM|S&P500|AR_pct,2,result,LSTM,S&P500,AR_pct,2021-01-01 to 2024-12-31,-1.51,2021-01-01 to 2024-12-31,-1.51,unchanged,False
2|LSTM|S&P500|IC,2,result,LSTM,S&P500,IC,2021-01-01 to 2024-12-31,0.0028,2021-01-01 to 2024-12-31,0.0028,unchanged,False
