market,aggregation,run_count,run_ids,all_runs_cover_full_paper_period,ic,icir,annualized_return_pct,information_ratio,max_drawdown_pct,display_metrics_matching,display_cells_matching,valid_period_display_cells_matching,all_five_display_cells_match,paper_result_credit,interpretation
CSI500,mean,2,40264f4583ef4d4c93ccd2aae8d54536;60a7b861fc6d4fbd964c04bb414493eb,True,0.021020116768045126,0.19156215380162792,11.711966595394088,1.4065856339541993,-9.40051228570977,,0,0,False,False,full-period released-record aggregation matches no displayed cell
CSI500,median,2,40264f4583ef4d4c93ccd2aae8d54536;60a7b861fc6d4fbd964c04bb414493eb,True,0.021020116768045126,0.19156215380162792,11.711966595394088,1.4065856339541993,-9.40051228570977,,0,0,False,False,full-period released-record aggregation matches no displayed cell
CSI500,mean,2,40264f4583ef4d4c93ccd2aae8d54536;841183815fe44a69bd70b31cdff59969,False,0.021112701709198774,0.18971878790287836,10.47049934705692,1.2408889398291203,-11.372651113123526,,0,0,False,False,partial-period aggregation matches no displayed cell
CSI500,median,2,40264f4583ef4d4c93ccd2aae8d54536;841183815fe44a69bd70b31cdff59969,False,0.021112701709198774,0.18971878790287836,10.47049934705692,1.2408889398291203,-11.372651113123526,,0,0,False,False,partial-period aggregation matches no displayed cell
CSI500,mean,2,60a7b861fc6d4fbd964c04bb414493eb;841183815fe44a69bd70b31cdff59969,False,0.021444415605122204,0.19396980266637445,9.65466719974615,1.195723667482332,-11.165720149889719,,0,0,False,False,partial-period aggregation matches no displayed cell
CSI500,median,2,60a7b861fc6d4fbd964c04bb414493eb;841183815fe44a69bd70b31cdff59969,False,0.021444415605122204,0.19396980266637445,9.65466719974615,1.195723667482332,-11.165720149889719,,0,0,False,False,partial-period aggregation matches no displayed cell
CSI500,mean,3,40264f4583ef4d4c93ccd2aae8d54536;60a7b861fc6d4fbd964c04bb414493eb;841183815fe44a69bd70b31cdff59969,False,0.021192411360788702,0.1917502481236269,10.612377714065719,1.2810660804218839,-10.646294516241005,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
CSI500,median,3,40264f4583ef4d4c93ccd2aae8d54536;60a7b861fc6d4fbd964c04bb414493eb;841183815fe44a69bd70b31cdff59969,False,0.02135183066396856,0.1921264367676249,10.896134448083318,1.361420361607411,-9.607443248943575,,0,0,False,False,partial-period aggregation matches no displayed cell
S&P500,mean,2,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b,False,0.005583802234699207,0.05309743616548383,7.2662859074749395,0.7719577371182531,-16.247769096826477,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,median,2,37716ba581664a6c865f52aec6449f40;77b227f86e5a47bab48178cac409a98b,False,0.005583802234699207,0.05309743616548383,7.2662859074749395,0.7719577371182531,-16.247769096826477,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,2,37716ba581664a6c865f52aec6449f40;db47a8ecacf541cc957fe5a4459a0fdc,False,0.0055810829326415415,0.05237991809783704,6.772386612441707,0.5636033350366896,-25.209433023025436,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,median,2,37716ba581664a6c865f52aec6449f40;db47a8ecacf541cc957fe5a4459a0fdc,False,0.0055810829326415415,0.05237991809783704,6.772386612441707,0.5636033350366896,-25.209433023025436,IC,1,0,False,False,partial-period aggregation numeric coincidence; no paper-period credit
S&P500,mean,2,37716ba581664a6c865f52aec6449f40;efb8aaa80be0432988a62b2e0ce7b210,False,0.006261876340492641,0.06106781839090748,6.421384891962763,0.5648470532578708,-21.945106212896818,,0,0,False,False,partial-period aggregation matches no displayed cell
