paper_version,submitted_at,pdf_url,pdf_sha256,pdf_bytes,pdf_pages,source_url,source_sha256,source_archive_bytes,source_files,source_uncompressed_bytes,source_tree_sha256,main_tex,numeric_table_cells,numeric_result_cells,numeric_configuration_cells,active_figure_assets,compile_passes,compiled_pdf_pages,undefined_reference_warnings_after_pass_2,source_commits_at_submission,source_cutoff_commit,source_cutoff_date,source_cutoff_tracked_files,source_cutoff_native_run_records,source_cutoff_factor_zoo_files,paper_document_reproduced,paper_experiment_reproduced
v1,2025-02-24T02:56:46Z,https://arxiv.org/pdf/2502.16789v1,943b286b40186ce03b8e39fc0dbd2f268807042c6192e9200e68972cb45ab890,1188155,10,https://export.arxiv.org/e-print/2502.16789v1,229d28d990237c781b2507b531ffd3cef038b9299eb1c9945e1a950d61938371,1735844,26,2235538,229bb105ce8f188899fe02d9d2497a54a33e09fc53f7ea9d291e5951248de97f,SIGKDD_main.tex,106,100,6,6,2,10,0,438,0bc7a34ed9701a0149ae990b6484e7c73b347ea0,2025-02-17T15:07:43+08:00,455,0,0,True,False
v2,2025-06-09T01:44:51Z,https://arxiv.org/pdf/2502.16789v2,cf620c3b33a98edd4124230458b65741e1767fa37a3a180828de1035ded52ab1,1924216,10,https://export.arxiv.org/e-print/2502.16789v2,ac8bb821ed1935931a089056778b44e4f864fec85f7101b52e39a1c82246079f,1442257,15,1867776,6a8e4bbba891c4fc78469f0ae387a5d02c7a8b434c6425e533231cf390f1d2d9,SIGKDD_CAMERA-READY_VERSION.tex,106,100,6,7,2,10,0,483,d4770f11f0ed1ea3d26cf519ede1560c6bab744d,2025-06-07T17:32:08+08:00,181,0,0,True,False
