formation_month,regime,trailing_six_month_market_return,audit_start,audit_end,audit_history_months,regime_audit_months,regime_sparse_fallback,single_market_pool_count,admitted_pool_members,finite_scores,selected__trend,pool_performance__trend,pool_robustness__trend,router_weight__trend,selected__reversal,pool_performance__reversal,pool_robustness__reversal,router_weight__reversal,selected__breakout,pool_performance__breakout,pool_robustness__breakout,router_weight__breakout,selected__exposure_control,pool_performance__exposure_control,pool_robustness__exposure_control,router_weight__exposure_control
1999-07-31,bull,0.12190182505648717,1989-07-31,1999-06-30,120,92,False,12,20,937,trend__interaction|trend__primary|trend__risk_adjusted|trend__pair_mean|trend__secondary,0.014550183621553758,0.51,0.28837653700959615,reversal__risk_adjusted|reversal__pair_mean|reversal__primary|reversal__interaction|reversal__secondary,0.010202136102245274,0.5,0.2630399958241433,breakout__interaction|breakout__risk_adjusted|breakout__triple_mean|breakout__pair_mean|breakout__primary,-0.007583190790630094,0.505,0.18476773653847484,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.010141041438868934,0.5083333333333333,0.26381573062778574
1999-08-31,bull,0.15737322467243486,1989-08-31,1999-07-31,120,93,False,12,20,928,trend__interaction|trend__primary|trend__risk_adjusted|trend__pair_mean|trend__secondary,0.01596693917142137,0.51,0.29603822737350644,reversal__risk_adjusted|reversal__pair_mean|reversal__primary|reversal__interaction|reversal__secondary,0.00891286762487747,0.505,0.2564431907662282,breakout__interaction|breakout__risk_adjusted|breakout__triple_mean|breakout__pair_mean|breakout__primary,-0.006120897350978741,0.505,0.18984953968866616,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.009192975170789368,0.5033333333333333,0.25766904217159925
1999-09-30,bull,0.07627910561425733,1989-09-30,1999-08-31,120,94,False,12,20,916,trend__interaction|trend__primary|trend__pair_mean|trend__risk_adjusted|trend__secondary,0.01691496291364418,0.51,0.3015545739106239,reversal__risk_adjusted|reversal__pair_mean|reversal__interaction|reversal__primary|reversal__secondary,0.007994359475317118,0.505,0.25164992596301944,breakout__triple_mean|breakout__interaction|breakout__risk_adjusted|breakout__pair_mean|breakout__primary,-0.005138415762367786,0.51,0.1940049034506003,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.008262152435519908,0.5033333333333333,0.2527905966757564
1999-10-31,bull,0.10288806820711427,1989-10-31,1999-09-30,120,95,False,12,20,890,trend__interaction|trend__primary|trend__pair_mean|trend__risk_adjusted|trend__secondary,0.01729651930452039,0.51,0.3040046976638668,reversal__risk_adjusted|reversal__pair_mean|reversal__interaction|reversal__primary|reversal__secondary,0.007752165886480422,0.5049999999999999,0.25054939476262056,breakout__triple_mean|breakout__interaction|breakout__risk_adjusted|breakout__pair_mean|breakout__primary,-0.004808672551683825,0.5,0.19440416506035516,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.007891989771660592,0.5033333333333333,0.25104174251315764
1999-11-30,bull,0.18267854304935027,1989-11-30,1999-10-31,120,96,False,12,20,874,trend__interaction|trend__primary|trend__pair_mean|trend__risk_adjusted|trend__secondary,0.019744974989286245,0.5149999999999999,0.31883712228697886,reversal__risk_adjusted|reversal__pair_mean|reversal__interaction|reversal__primary|reversal__secondary,0.006305268395402841,0.505,0.2424720029768039,breakout__risk_adjusted|breakout__triple_mean|breakout__interaction|breakout__pair_mean|breakout__primary,-0.003384370849869058,0.5,0.19925660514629218,exposure_control__interaction|exposure_control__risk_adjusted|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.00571656899388711,0.5033333333333333,0.2394342695899251
1999-12-31,bull,0.2535303479373612,1989-12-31,1999-11-30,120,97,False,12,20,914,trend__primary|trend__interaction|trend__pair_mean|trend__risk_adjusted|trend__secondary,0.022740085543392987,0.52,0.33775158478543515,reversal__interaction|reversal__pair_mean|reversal__secondary|reversal__primary|reversal__triple_mean,0.0025793000828883187,0.4966666666666667,0.22305721167173612,breakout__interaction|breakout__primary|breakout__triple_mean|breakout__risk_adjusted|breakout__pair_mean,-0.0005626174852461498,0.5,0.20982138232767575,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__pair_mean|exposure_control__primary,0.0034330007966195857,0.5183333333333333,0.22936982121515295
2000-01-31,bull,0.25661831762742926,1990-01-31,1999-12-31,120,97,False,12,20,923,trend__primary|trend__pair_mean|trend__interaction|trend__risk_adjusted|trend__secondary,0.02395142903435355,0.4999999999999999,0.3422537902781404,reversal__interaction|reversal__pair_mean|reversal__triple_mean|reversal__primary|reversal__secondary,0.0030553912142849793,0.5016666666666667,0.2255326901018757,breakout__triple_mean|breakout__primary|breakout__interaction|breakout__risk_adjusted|breakout__pair_mean,-0.0008327033294676886,0.5050000000000001,0.20900744877886307,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__pair_mean,0.0023702402285119563,0.5083333333333333,0.2232060708411209
2000-02-29,bull,0.35520778190931,1990-02-28,2000-01-31,120,98,False,12,20,919,trend__primary|trend__pair_mean|trend__interaction|trend__risk_adjusted|trend__secondary,0.028007851032432335,0.51,0.3727632667967257,reversal__interaction|reversal__pair_mean|reversal__primary|reversal__triple_mean|reversal__secondary,0.00014283831292103037,0.5066666666666667,0.21314583944170662,breakout__interaction|breakout__primary|breakout__triple_mean|breakout__risk_adjusted|breakout__secondary,-0.00017481256073013278,0.5066666666666666,0.21179601247658716,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__secondary|exposure_control__primary,-0.0026363374722908938,0.5133333333333333,0.20229488128498038
2000-03-31,bull,0.5031881919961707,1990-03-31,2000-02-29,120,99,False,12,20,866,trend__primary|trend__pair_mean|trend__interaction|trend__risk_adjusted|trend__secondary,0.024004291306396936,0.5,0.3413593630252884,reversal__interaction|reversal__pair_mean|reversal__primary|reversal__risk_adjusted|reversal__triple_mean,0.006063442261857526,0.49333333333333335,0.23764678119580235,breakout__interaction|breakout__primary|breakout__triple_mean|breakout__risk_adjusted|breakout__pair_mean,-0.0013016413515682698,0.525,0.2083703696790301,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__secondary,-0.00012468413912919613,0.5183333333333333,0.21262348609987897
2000-04-30,bull,0.34124641124230415,1990-04-30,2000-03-31,120,100,False,12,20,892,trend__primary|trend__interaction|trend__pair_mean|trend__risk_adjusted|trend__secondary,0.021704772990117985,0.505,0.3311045620294455,reversal__pair_mean|reversal__interaction|reversal__primary|reversal__secondary|reversal__risk_adjusted,0.005227414856945356,0.49499999999999994,0.23695898336771168,breakout__interaction|breakout__triple_mean|breakout__primary|breakout__pair_mean|breakout__risk_adjusted,-0.0017836614195533215,0.5,0.2064721496264593,exposure_control__risk_adjusted|exposure_control__interaction|exposure_control__triple_mean|exposure_control__primary|exposure_control__secondary,0.002282821194961221,0.5133333333333333,0.22546430497638356
