formation_month,reflection_cutoff,long_reflection_start,long_reflection_end,long_reflection_months,short_reflection_months,buy_count,hold_count,sell_count,mean_absolute_position,mean_risk_cap,stale_position_resets,finite_scores,mean_consensus__fundamentals,high_consensus_count__fundamentals,reflection_rankic__fundamentals,reliability__fundamentals,mean_consensus__market,high_consensus_count__market,reflection_rankic__market,reliability__market,mean_consensus__news,high_consensus_count__news,reflection_rankic__news,reliability__news,mean_consensus__sentiment,high_consensus_count__sentiment,reflection_rankic__sentiment,reliability__sentiment
1999-07-31,1998-07-31,1993-08-31,1998-07-31,60,12,315,348,337,0.24019236302712213,0.5,0,1000,0.6441471087786442,360,0.0008010999246440536,0.13153842630476653,0.7569435344554517,650,0.06942747145294702,0.5189598162040651,0.7185021633075341,648,0.03962891943656795,0.2859609932884919,0.7666072511708794,775,-0.035579768490150994,0.06354076420267657
1999-08-31,1998-08-31,1993-09-30,1998-08-31,60,12,328,311,361,0.29412564562307775,0.5,0,1000,0.6397214588422344,349,0.002779499677903235,0.11244721588832739,0.7576296179991524,662,0.08280622296381615,0.5572524590872313,0.720293744784001,651,0.050227570716274456,0.29045403605285397,0.7848421011067825,780,-0.04909323249532831,0.03984628897158741
1999-09-30,1998-09-30,1993-10-31,1998-09-30,60,12,319,311,370,0.3110764817640838,0.5,2,1000,0.6428138332001484,366,0.00499027583665455,0.0917109782948692,0.7489436340042727,645,0.09780591535989995,0.5869589480735845,0.7275096173371817,657,0.06415143429042347,0.29942538686355485,0.7790523112884503,785,-0.06660679767244503,0.021904686767991465
1999-10-31,1998-10-31,1993-11-30,1998-10-31,60,12,322,330,348,0.3259921410440874,0.5,2,1000,0.6423582277419898,370,0.003190247013197157,0.0739738911537212,0.7338796213610569,598,0.10842943961485842,0.6069801330175332,0.7180580697945854,649,0.07391008302092346,0.3043288709045969,0.7936517823759852,818,-0.0775448425413998,0.014717104924148695
1999-11-30,1998-11-30,1993-12-31,1998-11-30,60,12,351,291,358,0.3348418194892363,0.5,2,1000,0.6471926714323708,377,0.003103819687620351,0.06331172630458044,0.7275854485694552,603,0.11754859528384473,0.6245092077144889,0.7210781420468618,605,0.08124374137277467,0.30213350685712004,0.8040813276555805,855,-0.0889431754649108,0.010045559123810503
1999-12-31,1998-12-31,1994-01-31,1998-12-31,60,12,346,288,366,0.34256741613518615,0.5,4,1000,0.656612807942383,406,-0.00024325516570472723,0.0538318579695167,0.7345432641787467,624,0.12317166569121471,0.6353422719468701,0.7185869417069404,627,0.08624799995565116,0.3035937775952589,0.8209513095240423,856,-0.10061010695101141,0.007232092488354293
2000-01-31,1999-01-31,1994-02-28,1999-01-31,60,12,331,329,340,0.34111169257847346,0.5,9,1000,0.654095228786982,383,-0.00352647292372041,0.05257804965793251,0.7338077224028196,594,0.12183868862266989,0.6452268476146192,0.7253620581481063,650,0.08282282450079334,0.29568203600048937,0.7851085456557939,806,-0.10795088797652647,0.0065130667269589345
2000-02-29,1999-02-28,1994-03-31,1999-02-28,60,12,363,271,366,0.3525049788198154,0.5000000000000001,8,1000,0.6669329841345832,415,-0.007130576472009677,0.046308458247970696,0.7454344700959068,637,0.12537843403303744,0.6555698373117071,0.7126841973306043,596,0.08518812687146682,0.293447484502874,0.8169287859732435,845,-0.121793693343543,0.004674219937448175
2000-03-31,1999-03-31,1994-04-30,1999-03-31,60,12,291,398,311,0.325889252679955,0.5,30,1000,0.6586612220480403,393,-0.010581697005920203,0.044643960359610484,0.7113386469382376,530,0.12130779983676554,0.6242238067479404,0.7218674996587681,661,0.08900347490898203,0.3271512068106081,0.7716959891645656,799,-0.13144066882062452,0.003981026081841074
2000-04-30,1999-04-30,1994-05-31,1999-04-30,60,12,295,377,328,0.33644646719164495,0.5,21,1000,0.6605955356752049,391,-0.009506253650039539,0.04689038858888853,0.70883028310657,509,0.11619890320997281,0.5793552559268437,0.736944875253415,724,0.09378633770004854,0.3700597752477235,0.7455425057826391,695,-0.13655354242329,0.003694580236544292
